hour,node,lambda_reference_eur_per_mwh
1,N1,48.08700370061927
1,N2,41.409051260818515
1,N3,47.10408645247679
1,N4,55.000002356516106
1,N5,63.08201729533721
1,N6,55.31155015638922
1,N7,55.052540929502584
1,N8,61.72572841330811
1,N9,68.77888385085512
2,N1,48.086999343935815
2,N2,41.409044788358536
2,N3,47.10408178698259
2,N4,55.000000195615456
2,N5,63.08201769722882
2,N6,55.311548094286785
2,N7,55.05253878660553
2,N8,61.72572838584361
2,N9,68.77888605931807
3,N1,48.08699903124659
3,N2,41.40904431389208
3,N3,47.10408145344846
3,N4,55.00000005723359
3,N5,63.08201775662492
3,N6,55.311547962695386
3,N7,55.052538649320255
3,N8,61.725728411054696
3,N9,68.77888625804245
4,N1,48.086998939927966
4,N2,41.409044167836356
4,N3,47.1040813561095
4,N4,55.00000002745801
4,N5,63.082017794461734
4,N6,55.311547934793225
4,N7,55.05253861935748
4,N8,61.72572843657272
4,N9,68.77888634343292
5,N1,48.086999080647246
5,N2,41.4090443766233
5,N3,47.10408150461987
5,N4,55.000000092130094
5,N5,63.082017775765976
5,N6,55.31154799759088
5,N7,55.052538684745045
5,N8,61.72572843317873
5,N9,68.77888626598265
6,N1,61.72572769607132
6,N2,61.7257273365595
6,N3,61.72572766624342
6,N4,61.725728108923434
6,N5,61.725728568627616
6,N6,61.72572812877745
6,N7,61.72572812135577
6,N8,61.72572849881049
6,N9,61.725728883552335
7,N1,70.4591500282844
7,N2,70.45915002145836
7,N3,70.45915004531611
7,N4,70.45915006596358
7,N5,70.45915009206477
7,N6,70.4591500664362
7,N7,70.45915006905233
7,N8,70.45915008044318
7,N9,70.45915009951338
8,N1,74.9999998180799
8,N2,74.99999981356217
8,N3,74.99999983184236
8,N4,74.99999984732426
8,N5,74.99999986679958
8,N6,74.99999984458901
8,N7,74.99999984425004
8,N8,74.99999984950642
8,N9,74.99999986888189
9,N1,70.45915022006612
9,N2,70.45915021952453
9,N3,70.45915023257335
9,N4,70.45915024086577
9,N5,70.45915025261056
9,N6,70.45915023620138
9,N7,70.45915023681373
9,N8,70.45915022565232
9,N9,70.45915024870929
10,N1,55.0000002509301
10,N2,55.00000025090973
10,N3,55.000000262765035
10,N4,55.00000026919587
10,N5,55.00000027846809
10,N6,55.00000026297492
10,N7,55.00000026601711
10,N8,55.0000002492461
10,N9,55.000000273707315
11,N1,54.99999973841939
11,N2,54.99999974344759
11,N3,54.999999753543335
11,N4,54.99999976706696
11,N5,54.999999769999626
11,N6,54.9999997423189
