hour,lambda_system,system_net_injection_residual_mw
1,67.17039865891219,-6.064363420856566e-14
2,67.16555215951102,6.536899928664879e-15
3,67.1620586596693,1.2078296372770517e-14
4,67.16018065971642,-1.0694261300599284e-14
5,67.16341165971438,4.2293268429239597e-16
6,67.17310465927618,-5.2855798667919164e-14
7,67.18707504326305,4.965504692515841e-14
8,67.19013335509088,1.0465963873145895e-13
9,67.17643765841967,-6.12668215355103e-15
10,60.05216879352677,5.2938035290205626e-14
11,60.0303056833193,-2.0594459655048565e-14
12,60.02263348006199,-5.2431803161591575e-14
13,60.02054525103162,2.384891869725363e-14
14,60.01886697657086,-2.830230492422346e-15
15,60.01711783682779,-2.31770329092084e-14
16,60.02262251285717,8.871432885285543e-15
17,60.04508008955566,5.653821218558156e-14
18,67.15491636654673,1.2185161396168878e-14
19,67.17486706901725,2.49192883725514e-14
20,67.1806054229669,6.713214397048015e-14
21,67.18267072000256,5.999976934492322e-14
22,67.1821755398937,7.728496214083952e-15
23,67.17962776437737,-2.8347155320848525e-15
24,67.17531237004609,-1.0531080535659641e-14
