unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_reference_eur_per_mwh,spot_revenue_eur,degradation_cost_eur
I1,1,N1,5.321889866961512e-07,4.908295366276628e-07,-4.135945006848845e-08,59.99999973376303,-2.4815669930978926e-06,7.672638924928605e-06
I1,1,N2,5.332843482270644e-07,4.938448261316314e-07,-3.943952209543298e-08,59.999999621902425,-2.3663713108139913e-06,7.703468807690218e-06
I1,1,N3,4.12735473523566e-07,7.328312034824233,7.328311622088759,59.99999973393183,439.6986953754951,54.962343356697794
I1,1,N4,5.322965453453742e-07,4.909466365616282e-07,-4.1349908783746054e-08,59.99999974936212,-2.48099451666091e-06,7.67432386430252e-06
I1,1,N5,5.327594622589811e-07,4.919060034783517e-07,-4.0853458780629424e-08,59.99999975775818,-2.4512075169413493e-06,7.684990993029995e-06
I1,1,N6,4.1273547257397664e-07,6.93012136194036,6.930120949204888,59.99999974626401,415.80725519387215,51.97591331006875
I1,1,N7,5.332791648233581e-07,4.938392579832395e-07,-3.9439906840118635e-08,59.9999996998245,-2.366394398568224e-06,7.703388171049483e-06
I1,1,N8,4.1273547992757026e-07,5.475913457501599,5.475913044766119,59.99999972865981,328.55478120013186,41.069354026778086
I1,1,N9,4.127354934242056e-07,2.6895977059574783,2.689597293221985,59.99999973476487,161.37583687994342,20.171985890197288
I1,2,N1,5.320763488998963e-07,4.909420031823415e-07,-4.113434571755484e-08,59.9999992016583,-2.4680607102140267e-06,7.672637640616784e-06
I1,2,N2,5.331304062679662e-07,4.93999213463519e-07,-3.913119280444714e-08,59.99999908498601,-2.347871532461239e-06,7.70347214798614e-06
I1,2,N3,4.127354834133661e-07,5.242924819999233,5.24292440726375,59.99999919993326,314.57546024113554,39.32193924551037
I1,2,N4,5.321838610164423e-07,4.910591544729284e-07,-4.1124706543513896e-08,59.99999921508198,-2.4674823603313102e-06,7.67432261617028e-06
I1,2,N5,5.326298113916649e-07,4.920354929366707e-07,-4.059431845499414e-08,59.99999922071143,-2.43565907566496e-06,7.684989782462518e-06
I1,2,N6,4.1273548245406816e-07,5.049736827449774,5.049736414714292,59.99999921198693,302.9841809035992,37.87302930138942
I1,2,N7,5.331252264410312e-07,4.939936414534594e-07,-3.913158498757179e-08,59.99999916290809,-2.347895066497574e-06,7.70339150920868e-06
I1,2,N8,4.1273548974941353e-07,4.2272938892782665,4.227293476542777,59.999999193258084,253.6376051822318,31.70470726510317
I1,2,N9,4.1273550289542735e-07,2.367907028081821,2.367906615346318,59.999999200529146,142.07439502770674,17.75930580612993
I1,3,N1,5.305679134821287e-07,4.92452587682452e-07,-3.811532579967672e-08,59.999996613443514,-2.2869194189008996e-06,7.672653758734355e-06
I1,3,N2,5.314814319313568e-07,4.956627129020527e-07,-3.581871902930403e-08,59.99999649573894,-2.1491230162400995e-06,7.703581086250571e-06
I1,3,N3,4.127355333766275e-07,2.1329243199711874,2.132923907235654,59.99999661473352,127.97542721362343,15.996935495300406
I1,3,N4,5.306745478233705e-07,4.925706861510465e-07,-3.8103861672323965e-08,59.99999662626264,-2.2862315717870165e-06,7.674339254808128e-06
I1,3,N5,5.310761021616182e-07,4.93595247486365e-07,-3.748085467525325e-08,59.999996630582885,-2.248851154226562e-06,7.685035122359875e-06
I1,3,N6,4.127355324013708e-07,2.1038364642664655,2.103836051530933,59.999996625202286,126.23015599183489,15.778776577514984
I1,3,N7,5.314762949346621e-07,4.956570945078373e-07,-3.5819200426824795e-08,59.999996573661015,-2.1491519028807647e-06,7.703500420818747e-06
