iteration,investor,termination,solve_seconds,profit_belief_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,6.243749399669468,1694597.58293074,1.277076080441475e-07,118.04138547773366,291.2033378291205,3.9098844509583643,3.9749837949108247,68.68661592226816
1,I2,optimal,8.267269600182772,1693894.6074554976,1.1664815247058868e-07,117.71167246144152,290.4988465371601,4.090115549041636,4.167538502380071,71.73234832865779
2,I1,optimal,17.691199300345033,521315.26891407155,5.157198756933212e-08,92.59912564502932,239.27565925162747,0.7,0.7,14.001683381457418
2,I2,optimal,37.08156489999965,711587.2022517106,7.171183824539185e-08,122.94405803430868,411.3264799806144,9.969064248815405,27.199375331195,42.72511011054452
3,I1,optimal,9.939221300184727,1001996.4377635983,3.4279655665159225e-06,123.12765156686449,340.2431344518265,19.645863060207777,19.645862770575615,45.38720150679291
3,I2,optimal,7.048935200087726,991844.6683754086,4.85684722661972e-07,105.10224568592051,359.23570885693107,0.8548204916515818,0.7565563952900397,40.23451414831604
4,I1,optimal,8.734533000271767,1052430.578463087,3.073364496231079e-08,111.09873506865135,276.5775989078025,0.61531449411083,0.6136227340608738,22.319665931708155
4,I2,optimal,7.105785500258207,1101720.0515676937,4.423782229423523e-09,142.4825833744085,447.1263447449426,3.256687124285413,3.43859524983438,50.73657434556973
5,I1,optimal,14.476310400292277,794299.6029769264,6.55418261885643e-08,107.12493488017688,298.0039997196128,0.5055509512169083,0.4750324518578326,25.193010604883582
5,I2,optimal,12.512376500293612,755142.1399036511,2.3283064365386963e-09,137.16513251428725,468.552746785542,0.7724260295621386,0.7584895096086451,17.073320015495945
6,I1,optimal,5.655500200111419,1064702.5120982195,1.0593794286251068e-08,129.42542728712277,348.55736369835654,2.3593925837182343,1.316946289968017,41.394615633332286
6,I2,optimal,5.192843500059098,785514.0235685998,2.9173679649829865e-07,134.81410203282778,459.9821850885935,0.269393528790006,0.27008885183040354,9.961806348412225
7,I1,optimal,4.660217000171542,1077608.5925151468,3.585591912269592e-08,129.25218423457568,358.79831942137827,2.6897770589652654,2.466191968468352,7.161464600498078
7,I2,optimal,3.73760739993304,1060652.4191387843,7.508788257837296e-08,132.09343469517313,476.7357559460598,0.3026330451443291,0.34388279340037625,8.398911268793288
8,I1,optimal,17.595035099890083,1085904.9457607477,2.8172507882118225e-08,128.98917499045479,354.0864977672215,0.6999998053773288,0.699999790705416,14.326554279350784
8,I2,optimal,3.2334988000802696,1064801.0349395885,5.541369318962097e-08,144.97710122705186,471.30106474711897,0.976015872297544,1.02729312507418,18.889692573664274
9,I1,optimal,5.978106399998069,1077234.4949735154,8.032657206058502e-09,128.83571604686642,355.4711169843476,0.39437541210069293,0.3961201602395468,4.012759182499728
9,I2,optimal,3.648627399932593,1058358.8466559502,8.149072527885437e-09,134.11276647157263,474.6219890376877,0.46897489702738915,0.48062551988918334,17.935274790445064
10,I1,optimal,8.763993999920785,1081353.4238677819,3.317650407552719e-05,118.0887489012581,354.767236832218,0.6999986051237405,0.6999986605797596,15.678734618283919
10,I2,optimal,7.068536199629307,1060446.8518121256,2.164545003324747e-05,147.3768007047116,474.3430864582674,0.8805220436485175,0.9337860317329921,17.8819025166803
11,I1,optimal,3.7166675999760628,1079711.5578622539,1.3632234185934067e-07,114.68425603686605,355.00378603803,0.6999975550392105,0.6999977515528871,4.703635199334432
11,I2,optimal,3.5414187000133097,1059904.6759168354,6.507616490125656e-08,133.18645767689713,474.6211106725532,0.5287507468675267,0.5478813341811268,20.193096120667782
12,I1,optimal,4.7021564999595284,1079184.4296102754,6.094807758927345e-06,124.58001700893875,354.9214070410267,6.969548609591248,6.9697330448893915,14.049683930311797
12,I2,optimal,4.855495899915695,1060299.1296473593,9.103678166866302e-08,130.3107273181152,474.53893194818477,0.2331427659599249,0.36379430973822263,4.195894290052987
13,I1,optimal,3.772520999889821,1080060.5265971723,1.4086253941059113e-08,116.79005302169016,354.9543200141547,0.6905121510053599,0.6917540134825477,11.093458217493286
13,I2,optimal,5.154342399910092,1060676.595114586,6.96512870490551e-07,128.95558367426042,474.57184547680595,0.13773614810714646,0.08724196629984209,1.9009252781131458
14,I1,optimal,4.321911400184035,1079029.3860932323,1.280568540096283e-09,125.53156146087774,354.9411557090952,2.5087797190974217,2.427583674327858,12.473885677361224
14,I2,optimal,5.831934800371528,1060283.7806881864,6.752088665962219e-09,127.56723803552943,474.55877864338026,0.1678513833231363,0.07403924711192252,1.997478976479231
15,I1,optimal,5.876189700327814,1080116.8151263406,1.6298145055770874e-08,118.99595491529777,354.9463519951717,0.5348438695385858,0.5794381717816655,9.33087465787795
15,I2,optimal,8.606232000049204,1060762.244252418,8.847564458847046e-09,127.98717232016686,474.5639752761649,0.06115520991766017,0.05512153555556335,0.6056080635655414
16,I1,optimal,5.968648800160736,1079003.20691794,1.0249204933643341e-06,126.72851658825633,354.94427465667354,1.360946913934541,1.4702728308169757,11.044225553225175
16,I2,optimal,4.575747199822217,1060401.8371958851,1.3279495760798454e-06,126.90134132033477,474.56199524962886,0.1478438965024685,0.18743089694503418,1.55360460045224
17,I1,optimal,5.571188200265169,1080125.4134889604,4.190951585769653e-08,119.82116996832701,354.945036085345,0.5149774615402599,0.564580878620396,9.86662282554438
17,I2,optimal,5.944638799875975,1060818.3655031708,1.4326069504022598e-06,127.33564274825825,474.5627570230219,0.06939849211030483,0.13186734060182337,0.62145014208222
18,I1,optimal,6.792114799842238,1078997.9752190798,1.30385160446167e-08,127.43186978749488,354.94473281928316,1.1699509579801457,1.317817804005152,10.872010973367903
18,I2,optimal,4.3036465998739,1060451.6051761287,1.0477378964424133e-09,126.4849981833179,474.56245469265485,0.12694138303289124,0.1375197051751712,1.2156233974943378
19,I1,optimal,5.431928399950266,1080110.4236641824,7.2177499532699585e-09,120.32359914740927,354.94485255675886,0.5035773328588321,0.5516286904927287,10.154494686763492
19,I2,optimal,16.831259400118142,1060821.3729001218,1.6170088201761246e-07,126.81364523646684,474.56257414972544,0.2238663138184009,0.22386329878941236,1.199067493973823
20,I1,optimal,7.5663239997811615,1078996.277636326,1.955777406692505e-08,127.9479476139545,354.9448056378918,1.0880718846276727,1.2416374193386392,10.891842067327113
20,I2,optimal,31.82560979994014,1060483.2763612522,1.953949686139822e-05,126.32843633117136,474.5625276252935,0.15661255813074956,0.1566013658125347,0.8388490084385225
21,I1,optimal,7.993738600052893,1080101.5189929844,7.171183824539185e-08,120.5880204278504,354.9448233726201,0.5030190909747329,0.5465466617784678,10.514137705944128
21,I2,optimal,9.043343599885702,1060822.7807704187,2.8847716748714447e-07,126.45858498621283,474.5625450493796,0.04378702745258186,0.0437957678142653,0.23466189365214873
