fleet,case,gamma,primal_termination,dual_termination,solve_seconds,primal_objective_eur_per_day,unpenalized_market_cost_eur_per_day,generation_cost_eur_per_day,degradation_cost_eur_per_day,soft_balance_penalty_eur_per_day,unregularized_dual_objective_eur_per_day,strong_duality_gap_eur_per_day,max_abs_nodal_balance_residual_mw,max_abs_hourly_system_balance_residual_mw,lambda_min_eur_per_mwh,lambda_max_eur_per_mwh,max_abs_lambda_diff_vs_hard_eur_per_mwh,mean_abs_lambda_diff_vs_hard_eur_per_mwh,max_abs_storage_node_hour_net_diff_vs_hard_mw,max_abs_storage_system_hour_net_diff_vs_hard_mw,max_abs_generation_dispatch_diff_vs_hard_mw,max_abs_soft_primal_vs_dual_lambda_eur_per_mwh,max_abs_h_plus_gamma_lambda_mw
with_penalty,hard_min_norm,,optimal,optimal,3.499872200191021,371897.85462815955,371897.85462815955,363671.9709049284,8225.883723231127,0.0,371897.85462816356,-4.016328603029251e-09,0.0,0.0,29.885443866856782,60.000000590398734,0.0,0.0,0.0,0.0,0.0,,
with_penalty,gamma_1e-02,0.01,optimal,optimal,2.6086975999642164,368677.5317316624,365517.45325141837,357285.87889928673,8231.574352131605,3160.078480244035,371837.61903814244,-0.008661392785143107,0.6000000000053215,5.400000000040846,5.4657319790555335e-09,60.00000000053215,38.47178528271894,4.353974655147352,1.9993623889840757,4.567803943089321,8.821480995737275,0.00010847891566356793,1.0847891566360263e-06
with_penalty,gamma_3e-03,0.003,optimal,optimal,2.531419599894434,370904.5193843219,369942.3779066815,361710.8035544143,8231.574352267206,962.1414776403509,371866.6697213903,-0.008768254425376654,0.18000000000186092,1.6200000000146098,2.9224056842964468e-08,60.000000000620304,38.47178505810019,3.692602778313121,0.5905572917027868,1.330532577169726,2.681775560608486,0.0002617642062503478,7.852926187518205e-07
with_penalty,gamma_1e-03,0.001,optimal,optimal,2.6349651999771595,371552.39665733726,371217.0626430982,362985.48829110217,8231.574351996038,335.3340142390827,371887.7406630306,-0.009135742438957095,0.06000000000064985,0.5400000000051336,19.23962850801578,60.00000000064985,19.231951750700645,1.726537955631908,0.28849080898874213,0.4967686567073508,0.9540994474725295,0.011269255277248647,1.1269255277245038e-05
with_penalty,gamma_3e-04,0.0003,optimal,optimal,2.5768597999121994,371793.4612158407,371689.0678039097,363460.2503012923,8228.817502617441,104.39341193097671,371897.86392797105,-0.009300545090809464,0.01800000000019841,0.1620000000015709,29.908697550346325,60.00000000066137,0.023254157884444737,0.0021536699582866393,0.08005029583228662,0.14847869084009435,0.2955829372712486,2.9592213621754127e-05,8.877664086498482e-09
with_penalty,gamma_1e-04,0.0001,optimal,optimal,2.543220599880442,371863.0568240632,371828.25902004394,363601.39737033943,8226.861649704528,34.7978040192327,371897.8639329887,-0.009304621838964522,0.006000000000066485,0.054000000000526745,29.90869797839397,60.00000000066485,0.02325482511582777,0.0021536823657459956,0.02592898442569247,0.04944281088904767,0.09851658282015308,1.0403671140579718e-05,1.0403671136388626e-09
with_penalty,gamma_3e-05,3e-05,optimal,optimal,2.558396799955517,371887.4152869273,371876.9759457191,363650.7988445469,8226.177101172243,10.439341208187328,371897.86393334594,-0.009305114217568189,0.0018000000000199822,0.01620000000015835,29.90869804948901,60.00000000066607,0.023254948136404607,0.0021536835962289048,0.008040010389787966,0.01482957161345888,0.030183548222652234,9.660915104348078e-06,2.8982745326963655e-10
with_penalty,gamma_1e-05,1e-05,optimal,optimal,2.5029871999286115,371894.3748477488,371890.8950673459,363664.9135514677,8225.981515878175,3.479780402935809,371897.86393343663,-0.00930525193689391,0.0006000000000066643,0.005400000000052816,29.908698067453972,60.000000000666425,0.023254978947257143,0.0021536839904957297,0.0032604196597709745,0.006274249783920993,0.011674249783993673,9.466251199796716e-06,9.46625119870731e-11
no_penalty,hard_min_norm,,optimal,optimal,4.831090199993923,371897.83860372315,371897.83860372315,363671.95488693455,8225.883716788601,0.0,371897.83860372135,1.8044374883174896e-09,0.0,0.0,29.88571104296207,60.00000059042937,0.0,0.0,0.0,0.0,0.0,,
no_penalty,gamma_1e-02,0.01,optimal,optimal,4.065874499967322,368677.38000579237,365517.30152498686,357285.655894431,8231.645630555879,3160.0784808054827,371837.4673343063,-0.008661589468829334,0.6000000000053116,5.400000000040747,5.544658462380843e-09,60.00000000053116,38.47205245420819,4.353999382843682,1.954157906693986,4.576270859344181,8.813003815109198,0.0001310667906369023,1.3106679063682597e-06
