iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
11,I1,1.0,4843.933943447812,0.9848323780957632,0.0001,0.798401275158576,4842.150709794558
11,I2,1.0,4475.0024819813225,1.8043743792474258,0.0001,0.5523779034382074,4472.645729698637
11,I3,1.0,147335.9894888429,2.28431123237818,0.0001,0.4880865030428662,147333.21709110748
11,I4,1.0,243464.95756095415,3.0007921175476024,0.0001,0.46488227638631147,243461.49188656022
12,I1,1.0,4833.546277474408,1.2008074378614757,0.0001,0.5602359346191256,4831.785234101928
12,I2,1.0,4464.938730328735,1.618300845717668,0.0001,0.6599940035435605,4462.660435479474
12,I3,1.0,147358.22547984845,2.0280542217214155,0.0001,0.4678744963398423,147355.72955113038
12,I4,1.0,243487.17929248756,6.901162273603707,0.0001,0.6053259939787968,243479.67280421997
13,I1,1.0,4821.026289843767,1.2476336258589251,0.0001,0.5618797803416231,4819.216776437566
13,I2,1.0,4454.109835683107,1.7248084798591599,0.0001,0.6734777618948682,4451.711549441353
13,I3,1.0,147346.9251391921,1.8141534221618494,0.0001,0.4394255191341618,147344.6715602508
13,I4,1.0,243668.07151986397,1.2765350712607946,0.0001,0.7842920469986685,243666.0106927457
14,I1,1.0,4806.98164908825,1.1210483286286628,0.0001,0.8066332546278684,4805.053967504994
14,I2,1.0,4442.425031721202,1.802449849255897,0.0001,0.6274302158756041,4439.99515165607
14,I3,1.0,147395.6991105249,1.7470340560521085,0.0001,0.47073086005198894,147393.4813456088
14,I4,1.0,243685.47759155193,0.8780275936621951,0.0001,0.44008035852843863,243684.15948359974
15,I1,1.0,4800.1536227705665,1.6023903329156235,0.0001,0.5622555844389283,4797.988976853212
15,I2,1.0,4437.974664471339,2.0334146475765436,0.0001,0.6801590076325723,4435.26109081613
15,I3,1.0,147407.16130711205,1.9342593808469957,0.0001,0.4585935340312992,147404.76845419718
15,I4,1.0,243914.5807221533,0.6918001473750176,0.0001,0.3985092182351772,243913.49041278768
