iteration,investor,update_rule,selection,termination,solve_seconds,profit_eur_per_day,selected_tick_price_eur_per_mw_day,access_payment_eur_per_day,auction_strong_duality_gap,spot_strong_duality_gap,max_abs_price_dual_fraction_of_bound,max_abs_internal_dual_fraction_of_bound,embedded_storage_pair_count,variable_count,constraint_count,selected_total_bid_quantity_mw,embedded_active_award_mw,selected_total_award_mw,common_reclear_max_award_change_mw,max_quantity_change_mw,max_price_change_eur_per_mw_day,max_duration_change_hours,max_award_change_mw
1,I1,seidel,candidate,optimal,10.906998499995098,15934.852028470981,,3547.999899540107,3.300601747469045e-07,0.017911665607243776,0.20136714624902138,0.9803274738467075,12,3200,3193,99.99999946712599,99.99999794425206,99.99839960788584,99.99957828922827,5.328740115828623e-07,2.429999724780437,0.7112632396227383,99.9999979788141
1,I2,seidel,candidate,optimal,11.118957300088368,15152.722877931268,,3547.999963038306,0.0,0.004007590294349939,0.20136714624905314,0.8183312342852223,12,3200,3193,100.0,100.00000050271007,0.000422710745048566,99.99957828922827,0.0,5.479784661588383e-07,0.7112632315194443,99.9999977843418
1,I3,seidel,candidate,optimal,13.565513599896803,136887.39334414437,,3547.9998324530006,3.183231456205249e-12,0.0033734490862116218,0.20136714632983102,0.6974550907482563,12,3200,3193,99.99999885820301,99.99999672629276,0.0005023671209245864,99.99957828922827,1.1417969858484867e-06,2.5799994860413165,0.7112633315954664,100.00000015910776
1,I4,seidel,candidate,optimal,16.789305199985392,158372.24270827297,,3547.9997688257113,0.0,0.005753309989813715,0.20136714637381478,0.9906866281641167,12,3200,3193,99.9999978968726,99.99999480376724,0.0006763142456126456,99.99957828922827,2.1031274002325517e-06,0.43999953188047414,0.7112633360368816,99.99999624667342
2,I1,seidel,candidate,optimal,7.611704200040549,15934.802763273707,,3547.999647793095,9.094947017729282e-13,0.0008734735893085599,0.20136714623470606,0.6979601909297921,12,3200,3193,99.99999635469915,99.999991719398,99.97430361901777,0.024095988868069185,3.1124268389248755e-06,3.088919413585245e-07,3.152696503860852e-08,0.0015921115121528828
2,I2,seidel,candidate,optimal,6.349307300057262,15152.722442744089,,3547.9997854058183,1.8189894035458565e-12,0.004285490314941853,0.2013671462490258,0.9999950353444168,12,3200,3193,99.99999830667606,99.99999562335651,0.021230403270711018,0.024095988868069185,1.6933239379568477e-06,4.5130263970349915e-08,1.3630660156138674e-08,99.99999179810159
2,I3,seidel,candidate,optimal,8.509308199980296,136887.4000569016,,3547.9998695142385,4.547473508864641e-13,0.004801576025784016,0.20136714632983035,0.9643767313830512,12,3200,3193,99.99999952148833,99.99999805460473,0.0034250336842898965,0.024095988868069185,6.632853200017053e-07,1.0067270039826326e-07,1.1768725549643477e-08,99.99999727988332
2,I4,seidel,candidate,optimal,15.10129850008525,158372.174904764,,3547.9997881320196,4.547473508864641e-13,0.002222560055088252,0.20136714637381392,0.8989804297416205,12,3200,3193,99.99999846170404,99.99999593228723,0.0010419440246642875,0.024095988868069185,5.648314385098274e-07,2.0733581607146334e-07,3.0714435439449517e-09,99.99999572229933
3,I1,seidel,candidate,optimal,12.100781300105155,15934.813366862729,,3547.999943482954,4.547473508864641e-13,0.003180301166139543,0.20136714624906782,0.7984468268606052,12,3200,3193,100.0,100.0000003853445,99.9932588250554,0.018955206037631456,3.6453008505077378e-06,1.177791801865169e-07,2.4087256633720244e-08,0.02569676632673179
3,I2,seidel,candidate,optimal,17.53391850006301,15152.712162230617,,3547.999919811337,-9.094947017729282e-13,0.0009013088420033455,0.20136714624911195,0.7128904037429217,12,3200,3193,100.0,99.99999981835964,0.004449801145151394,0.018955206037631456,1.6933239379568477e-06,1.443318993210596e-07,1.2505004143292808e-08,100.00000000794292
3,I3,seidel,candidate,optimal,7.7632118000183254,136887.3756805065,,3547.9996965368373,-4.547473508864641e-13,0.0017412285087630153,0.20136714632983507,0.8275732833091386,12,3200,3193,99.99999726463179,99.99999364946301,0.0013798145651144136,0.018955206037631456,2.2568565469782698e-06,1.6682976422544016e-07,2.3973762530715703e-08,99.99999768931998
3,I4,seidel,candidate,optimal,11.320343100000173,158372.17776426004,,3547.999612037595,0.0,0.002142772951629013,0.20136714637381536,0.8742428136570285,12,3200,3193,99.9999961788413,99.99999136347951,0.0009125592317702595,0.018955206037631456,2.282862737956748e-06,1.399313092065313e-07,2.5178246154666795e-08,99.99999017126922
