investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I1,N1,3.000004051543508,6.0000094852679595,2.0000004607263593,0.01500002025771754,1.490668854285101e-06
I1,N2,3.000002087091095,6.000004972430291,2.000000266082515,0.015000010435455475,7.804929730332124e-07
I1,N3,3.0000042586638,6.0000101712552745,2.0000005513084425,0.015000021293319,1.8266956901751173e-06
I1,N4,3.0000043703888246,6.00001039250825,2.000000550576065,0.015000021851944123,1.718667184210551e-06
I1,N5,49.211669582131506,166.66165783454224,3.3866288067384773,0.24605834791065753,3.253431504520745e-06
I2,N1,3.000000520911396,6.000001873068069,2.000000277081711,0.01500000260455698,3.7599843938204344e-07
I2,N2,3.000000219362484,6.000000759456032,2.000000106910347,0.015000001096812422,1.6169324157819572e-07
I2,N3,3.000000456747346,6.000001593192281,2.0000002265658283,0.01500000228373673,4.659744533764306e-08
I2,N4,3.000000532007774,6.000001808973233,2.0000002483191848,0.01500000266003887,4.293704409281211e-08
I2,N5,49.212938811554636,166.66086599805962,3.3865253736671694,0.24606469405777318,-0.01859986450868742
I3,N1,3.000012839390437,6.000028979490411,2.0000011002318034,0.015000064196952186,1.8065766483507152e-07
I3,N2,3.0000075785843396,6.000017247549055,2.000000696791698,0.015000037892921697,-1.8817919615047117e-06
I3,N3,3.0000068518652774,6.000015573314093,2.0000006231930896,0.015000034259326387,-1.6366364357464942e-06
I3,N4,3.0000046402667184,6.000010905962702,2.000000541808917,0.015000023201333592,-1.2283933022675318e-06
I3,N5,50.787693900384276,191.4454955653214,3.7695252700550923,0.2539384695019214,-3.5063880917402344e-05
I4,N1,3.0000028860669725,6.0000078284326985,2.0000006854322585,0.015000014430334862,7.084023457550455e-08
I4,N2,3.000002006268538,6.0000057069590005,2.0000005648069306,0.01500001003134269,-1.0729109411907367e-07
I4,N3,3.0000018504040122,6.000005325835685,2.000000541675553,0.015000009252020061,-1.219113054946145e-07
I4,N4,3.0000020704533275,6.000005439769203,2.000000432953884,0.015000010352266637,9.130292831975808e-07
I4,N5,50.78769770592959,191.44550646816504,3.769525202277742,0.25393848852964795,3.250533462342728e-07
