iteration,node,total_before_mw,scale
33,N8,200.000000475805,0.999999997620975
34,N8,200.00000049775525,0.9999999975112237
35,N8,200.00000049779365,0.9999999975110317
36,N8,200.0000004977497,0.9999999975112515
37,N8,200.0000004977682,0.999999997511159
38,N8,200.00000049823853,0.9999999975088073
39,N8,200.00000049823785,0.9999999975088107
40,N8,200.0000004982324,0.9999999975088381
41,N8,200.00000049822603,0.9999999975088698
42,N8,200.00000049817743,0.9999999975091128
43,N8,200.0000004880265,0.9999999975598675
78,N8,200.00000038202026,0.9999999980898987
79,N8,200.00000049714288,0.9999999975142856
80,N8,200.00000049713054,0.9999999975143473
81,N8,200.00000049711082,0.9999999975144459
82,N8,200.00000049683018,0.9999999975158491
83,N8,200.0000004971982,0.999999997514009
84,N8,200.00000049740783,0.9999999975129609
85,N8,200.00000049782136,0.9999999975108932
86,N8,200.0000004979015,0.9999999975104924
87,N8,200.00000048132003,0.9999999975933999
88,N8,200.0000004981778,0.9999999975091111
89,N8,200.00000046862095,0.9999999976568953
90,N8,200.00000049786317,0.9999999975106841
91,N8,200.0000004659948,0.9999999976700261
92,N8,200.0000004656427,0.9999999976717865
93,N8,200.00000049776443,0.9999999975111779
94,N8,200.00000049772646,0.9999999975113677
95,N8,200.00000049770495,0.9999999975114753
96,N8,200.00000049767118,0.9999999975116441
97,N8,200.00000049766135,0.9999999975116932
