iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,11.594026999999187,19722.18520789072,2.3836037144064903e-07,87.4843482473838,315.867380323612,1.5000000000347609,5.181837182289419,60.00000069702463
1,I2,optimal,24.41348059999291,18776.567964178575,1.3445969671010971e-08,87.48434813553948,315.8673802627178,1.500000000041625,5.181837182921372,60.0000006972286
1,I3,optimal,51.2992993999942,142302.6387818159,4.190951585769653e-08,87.57819166149706,316.21873055614026,1.5000000000342915,5.181837189738835,60.00000069701069
1,I4,optimal,176.53037239999685,205789.7000085828,1.1641532182693481e-09,105.71111646657417,384.1083991022605,2.1833483541068888,5.181837190197426,60.000000692703054
2,I1,optimal,23.65239649999421,232.68712390335145,7.8580342233181e-09,37.249669470344024,140.59182010275288,0.6999999995051467,0.6999999988930328,23.817754206936836
2,I2,optimal,27.24332979999599,160.663344798801,9.89530235528946e-10,37.249669261811825,116.7689439413264,0.6999999977863862,0.6999999984996909,23.817753428769706
2,I3,optimal,24.534576100006234,140849.91185609132,6.292248144745827e-08,43.77346426823603,165.01689113578948,0.699999919759769,0.6999999487153421,24.04717975697034
2,I4,optimal,8.478996300007566,208265.6721369214,3.2334355637431145e-07,52.977354441737624,192.91182484393588,0.6999999616856808,0.699999951848572,29.377208763313376
3,I1,optimal,22.788487800004077,12086.653025662152,2.2759195417165756e-08,70.84294882739576,240.49110006371578,2.684080944265046,1.590598371697565,40.116339302596806
3,I2,optimal,14.178940799989505,10665.096120959704,6.2282197177410126e-09,70.29321523740033,217.58399774461887,2.749249454597276,1.383294718224661,45.93292352571453
3,I3,optimal,32.418237400008366,138675.6966202215,1.3812677934765816e-07,79.31582209948178,264.7958484725778,2.811527310818158,1.5290088594565439,38.491729016244264
3,I4,optimal,17.59432589999051,203416.62594048903,3.150780685245991e-07,86.02801907007805,285.58846996912126,1.6659148977758051,0.9010462483901883,39.70642956147693
