iteration,investor,max_rel_delta_offer,max_rel_delta_price,abs_offer_step_mw,abs_price_step_eur_per_mwh,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh,charge_offer_capacity_hours_mwh,discharge_offer_capacity_hours_mwh,mean_charge_bid_price_eur_per_mwh,mean_discharge_offer_price_eur_per_mwh
57,I1,1.0,1.0994540908868045,34.66988537524328,94.2343634989081,34.669885250250616,94.2343634989081,0.0,0.0,-7.5,7.5
57,I2,1.0,8.308855186169234,0.04332462709647977,171.7645821944929,0.043324409084501726,171.7645821944929,0.0,0.0,-7.5,7.5
57,I3,4.100759504369755,112.42265303830513,7.17985431258217,178.29012939538504,7.179854312582238,173.86206354471406,462.47960705821754,736.2981064983364,-16.969014604530354,34.622869838344045
57,I4,0.8855701422004948,28.41914592291686,6.811280052060512,97.6652592576321,6.811280052061204,97.6652592576321,3911.1569594827383,3928.959815277713,-24.939682527712186,21.039405310330647
58,I1,0.25548713767106274,24.004427447202648,0.15211370227985696,99.5818223299168,0.1521137022798756,99.5818223299168,4.854256223964165,3.0342234334711815,-19.140594786018394,12.911704610363495
58,I2,0.16127327037247702,55.05848809594384,0.002875839317963142,294.44529750331816,0.0028758393179692445,294.44529750331816,3.8705584889394484,3.850634089686983,-40.6075204079748,38.295881012559946
58,I3,0.9999955642984601,77.29858109270607,8.182463001465662,214.56017255652972,8.182463001465692,214.56017255652972,824.8986607871238,818.2161709133604,-28.508668002069264,26.179715690269525
58,I4,0.8522727524418108,9.304471379806438,1.3079130805912582,57.738898543436385,1.307913080593194,57.738898543436385,3849.1005898060703,3858.7505189006706,-30.719168956115208,20.113879403662313
59,I1,0.25548713767106274,1.371647905155894,0.15211370227985696,99.5818223299168,0.15211352202219133,99.5818223299168,0.0,0.0,-7.5,7.5
59,I2,0.16127327037247702,1.3091238042122646,0.002875839317963142,294.44529750331816,0.0028758047337185317,294.44529750331816,0.0,0.0,-7.5,7.5
59,I3,7.759314274250008,21.18041529615149,7.797657243272481,131.73951555580152,7.797657243286555,129.51661276723877,653.9557082374151,911.9440042749126,-35.476751719177564,57.98331053896831
59,I4,1.1839198245908336,18.8241000462406,4.937041264896145,221.80026087255644,4.9370412648962265,221.80026087255644,3902.99453894895,3883.1124856141228,-60.1683934107708,68.32499995111833
