investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I3,N1,0.0,0.0,0.0,0.0,9.130219190291524e-08
I3,N2,0.0,0.0,0.0,0.0,1.0246601361638322e-07
I3,N3,0.00015348319363219838,0.0003074168231619014,2.002934757134283,1.5348319363219838e-06,1.7028210946647218e-07
I3,N4,0.0,0.0,0.0,0.0,9.128209209535881e-08
I3,N5,0.0,0.0,0.0,0.0,9.136602543173139e-08
I3,N6,0.0,0.0,0.0,0.0,9.10926087707841e-08
I3,N7,0.0,0.0,0.0,0.0,1.0281265413308244e-07
I3,N8,45.60249322877482,139.51478065469126,3.0593673892956916,0.4560249322877482,6.876936757227528e-05
I3,N9,0.08522430146887285,0.1704500558577357,2.0000170481888966,0.0008522430146887285,1.841569399613277e-07
I4,N1,0.0,0.0,0.0,0.0,9.08262405741162e-08
I4,N2,0.0,0.0,0.0,0.0,9.409318620771651e-08
I4,N3,46.48710560056516,111.09662118174248,2.3898373483676694,0.4648710560056516,1.6618050883024921e-07
I4,N4,0.0,0.0,0.0,0.0,9.082698444445628e-08
I4,N5,0.0,0.0,0.0,0.0,9.082077750266277e-08
I4,N6,0.0,0.0,0.0,0.0,9.38475347023267e-08
I4,N7,0.0,0.0,0.0,0.0,9.265127789409844e-08
I4,N8,54.31420279048048,258.0994749459234,4.751970234039041,0.5431420279048048,30.803188697338154
I4,N9,48.97474362077185,135.40554733359613,2.764803597178323,0.4897474362077185,1.601337740336898e-07
I1,N1,6.50009003813379e-05,0.00013152609662823533,2.0234503807888355,6.500090038133789e-07,9.082145693938197e-08
I1,N2,7.50879927956714e-05,0.00015167454488596282,2.0199573758576537,7.508799279567141e-07,9.076871775681488e-08
I1,N3,0.00013609058135942084,0.000273235025466957,2.0077438330969577,1.3609058135942084e-06,1.6982534069758747e-07
I1,N4,6.500073373112716e-05,0.00013152577122832243,2.0234505624563153,6.500073373112716e-07,9.082145633803571e-08
I1,N5,6.616780152580508e-05,0.0001338680532307024,2.0231600588768934,6.616780152580508e-07,9.081680199844165e-08
I1,N6,7.941699199765181e-05,0.00016035153597212786,2.0191086559519795,7.941699199765181e-07,9.079633243185547e-08
I1,N7,7.420788492481407e-05,0.00014989681932707423,2.0199581146794126,7.420788492481406e-07,9.132577631229708e-08
I1,N8,0.019799750626077896,0.039601010336957024,2.000076217364033,0.00019799750626077895,0.0001316133535423153
I1,N9,0.00013704675764773938,0.0002751453919179477,2.007675311992223,1.3704675764773937e-06,1.783525397758632e-07
I2,N1,0.0,0.0,0.0,0.0,9.081828595412576e-08
I2,N2,5.478813194568672e-05,0.00011078064080144264,2.021982441585399,5.478813194568672e-07,9.081829534546634e-08
I2,N3,0.0,0.0,0.0,0.0,1.697927872410841e-07
I2,N4,0.0,0.0,0.0,0.0,9.081828595397426e-08
I2,N5,5.287310131283908e-05,0.00010697211541302966,2.0231859444010674,5.287310131283908e-07,9.081828686929611e-08
I2,N6,5.312814578883074e-05,0.00010746403716645095,2.0227326884998003,5.312814578883073e-07,9.081830123371015e-08
I2,N7,5.47875555391056e-05,0.00011077912830499237,2.0219761078028347,5.47875555391056e-07,9.081829454536601e-08
I2,N8,0.0014672606087732785,0.0029357223218139583,2.0008186032257798,1.4672606087732785e-05,0.00014330726619515247
I2,N9,6.540911189096825e-05,0.00013202324841593528,2.018422886340476,6.540911189096825e-07,1.7837274132471473e-07
