fleet,investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
with_penalty,I1,N1,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N2,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N3,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N4,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N5,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N6,20.49879305096435,63.86347671318519,3.115474972326763,0.10249396525482174,0.0
with_penalty,I1,N7,0.0,0.0,0.0,0.0,0.0
with_penalty,I1,N8,27.8361771080392,69.14415714371083,2.4839674239513916,0.139180885540196,0.0
with_penalty,I1,N9,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N1,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N2,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N3,0.5649429659205422,2.1119095510292603,3.7382703713958536,0.0028247148296027106,0.0
with_penalty,I2,N4,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N5,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N6,20.09256049277537,62.38676156827473,3.1049682090397077,0.10046280246387684,0.0
with_penalty,I2,N7,0.0,0.0,0.0,0.0,0.0
with_penalty,I2,N8,27.143631620586717,66.55552975503063,2.451975869896219,0.13571815810293358,0.0
with_penalty,I2,N9,0.5937575959365746,2.2184963602628707,3.7363671226192636,0.002968787979682873,0.0
with_penalty,I3,N1,0.0,0.0,0.0,0.0,0.0
with_penalty,I3,N2,0.0,0.0,0.0,0.0,0.0
with_penalty,I3,N3,1.678198744237536,5.70873315127225,3.4017026713161598,0.00839099372118768,0.0
with_penalty,I3,N4,0.0,0.0,0.0,0.0,0.0
with_penalty,I3,N5,0.0,0.0,0.0,0.0,0.0
with_penalty,I3,N6,14.408820704363357,54.92309881160053,3.8117691890612826,0.07204410352181678,0.0
with_penalty,I3,N7,0.0,0.0,0.0,0.0,0.0
with_penalty,I3,N8,21.093207060030686,65.28715232210064,3.0951742964592914,0.10546603530015343,0.0
with_penalty,I3,N9,1.1475955346848765,4.294159444109237,3.741875350960118,0.005737977673424382,0.0
with_penalty,I4,N1,0.0,0.0,0.0,0.0,0.0
with_penalty,I4,N2,0.0,0.0,0.0,0.0,0.0
with_penalty,I4,N3,0.4614651875944504,1.7275051563159747,3.7435221610566183,0.0023073259379722518,1.944070305461288e-06
with_penalty,I4,N4,0.0,0.0,0.0,0.0,0.0
with_penalty,I4,N5,0.0,0.0,0.0,0.0,0.0
with_penalty,I4,N6,13.78120353639555,50.4896357229033,3.6636593886421025,0.06890601768197775,-4.6417771408785954e-07
with_penalty,I4,N7,0.0,0.0,0.0,0.0,0.0
with_penalty,I4,N8,15.84611034003144,38.05417445323883,2.4014836219525733,0.0792305517001572,-7.83923275090262e-07
with_penalty,I4,N9,22.112676045693902,60.80872124032199,2.749948541491139,0.11056338022846951,-6.875861634344303e-07
no_penalty,I1,N1,0.0,0.0,0.0,0.0,0.0
no_penalty,I1,N2,0.0,0.0,0.0,0.0,0.0
no_penalty,I1,N3,2.235259975333756,8.368813302899069,3.743999979979727,0.01117629987666878,0.0
