fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
with_penalty,hard_min_norm,,N4,3,60.00000058566839,60.00000058566839,0.0,0.0
with_penalty,hard_min_norm,,N4,4,60.00000046175655,60.00000046175655,0.0,0.0
with_penalty,hard_min_norm,,N4,5,60.00000058791432,60.00000058791432,0.0,0.0
with_penalty,hard_min_norm,,N4,6,60.00000058987299,60.00000058987299,0.0,0.0
with_penalty,hard_min_norm,,N4,7,60.00000059000394,60.00000059000394,0.0,0.0
with_penalty,hard_min_norm,,N4,8,60.00000059001516,60.00000059001516,0.0,0.0
with_penalty,hard_min_norm,,N4,9,60.00000058970952,60.00000058970952,0.0,0.0
with_penalty,hard_min_norm,,N4,10,52.20000051219013,52.20000051219013,0.0,0.0
with_penalty,hard_min_norm,,N4,11,60.00000058976112,60.00000058976112,0.0,0.0
with_penalty,hard_min_norm,,N4,12,59.99999871579255,59.99999871579255,0.0,0.0
with_penalty,hard_min_norm,,N4,13,60.000000511651386,60.000000511651386,0.0,0.0
with_penalty,hard_min_norm,,N4,14,59.99999767807409,59.99999767807409,0.0,0.0
with_penalty,hard_min_norm,,N4,15,59.999998711960664,59.999998711960664,0.0,0.0
with_penalty,hard_min_norm,,N4,16,60.00000058442727,60.00000058442727,0.0,0.0
with_penalty,hard_min_norm,,N4,17,52.20000051211503,52.20000051211503,0.0,0.0
with_penalty,hard_min_norm,,N4,18,60.00000058958074,60.00000058958074,0.0,0.0
with_penalty,hard_min_norm,,N4,19,60.000000590103284,60.000000590103284,0.0,0.0
with_penalty,hard_min_norm,,N4,20,60.000000590348435,60.000000590348435,0.0,0.0
with_penalty,hard_min_norm,,N4,21,60.00000059017148,60.00000059017148,0.0,0.0
with_penalty,hard_min_norm,,N4,22,60.00000059004898,60.00000059004898,0.0,0.0
with_penalty,hard_min_norm,,N4,23,60.00000058999206,60.00000058999206,0.0,0.0
with_penalty,hard_min_norm,,N4,24,60.000000589933634,60.000000589933634,0.0,0.0
with_penalty,hard_min_norm,,N5,1,60.000000589836915,60.000000589836915,0.0,0.0
with_penalty,hard_min_norm,,N5,2,60.000000589302466,60.000000589302466,0.0,0.0
with_penalty,hard_min_norm,,N5,3,60.00000058567093,60.00000058567093,0.0,0.0
with_penalty,hard_min_norm,,N5,4,60.00000046175887,60.00000046175887,0.0,0.0
with_penalty,hard_min_norm,,N5,5,60.00000058791722,60.00000058791722,0.0,0.0
with_penalty,hard_min_norm,,N5,6,60.000000589878915,60.000000589878915,0.0,0.0
with_penalty,hard_min_norm,,N5,7,60.000000590018246,60.000000590018246,0.0,0.0
with_penalty,hard_min_norm,,N5,8,60.0000005900345,60.0000005900345,0.0,0.0
with_penalty,hard_min_norm,,N5,9,60.00000058971424,60.00000058971424,0.0,0.0
with_penalty,hard_min_norm,,N5,10,52.200000512183145,52.200000512183145,0.0,0.0
with_penalty,hard_min_norm,,N5,11,57.30487861168248,57.30487861168248,0.0,0.0
with_penalty,hard_min_norm,,N5,12,57.30487738521483,57.30487738521483,0.0,0.0
with_penalty,hard_min_norm,,N5,13,57.30487856054059,57.30487856054059,0.0,0.0
with_penalty,hard_min_norm,,N5,14,57.304876706029084,57.304876706029084,0.0,0.0
with_penalty,hard_min_norm,,N5,15,57.304877382659164,57.304877382659164,0.0,0.0
