investor,node,hour,full_power_available_mw,bid_charge_eur_per_mwh,offer_discharge_eur_per_mwh
I1,N1,1,0.0,-7.5,7.5
I1,N1,2,0.0,-7.5,7.5
I1,N1,3,0.0,-7.5,7.5
I1,N1,4,0.0,-7.5,7.5
I1,N1,5,0.0,-7.5,7.5
I1,N1,6,0.0,-7.5,7.5
I1,N1,7,0.0,-7.5,7.5
I1,N1,8,0.0,-7.5,7.5
I1,N1,9,0.0,-7.5,7.5
I1,N1,10,0.0,-7.5,7.5
I1,N1,11,0.0,-7.5,7.5
I1,N1,12,0.0,-7.5,7.5
I1,N1,13,0.0,-7.5,7.5
I1,N1,14,0.0,-7.5,7.5
I1,N1,15,0.0,-7.5,7.5
I1,N1,16,0.0,-7.5,7.5
I1,N1,17,0.0,-7.5,7.5
I1,N1,18,0.0,-7.5,7.5
I1,N1,19,0.0,-7.5,7.5
I1,N1,20,0.0,-7.5,7.5
I1,N1,21,0.0,-7.5,7.5
I1,N1,22,0.0,-7.5,7.5
I1,N1,23,0.0,-7.5,7.5
I1,N1,24,0.0,-7.5,7.5
I1,N2,1,0.0,-7.5,7.5
I1,N2,2,0.0,-7.5,7.5
I1,N2,3,0.0,-7.5,7.5
I1,N2,4,0.0,-7.5,7.5
I1,N2,5,0.0,-7.5,7.5
I1,N2,6,0.0,-7.5,7.5
I1,N2,7,0.0,-7.5,7.5
I1,N2,8,0.0,-7.5,7.5
I1,N2,9,0.0,-7.5,7.5
I1,N2,10,0.0,-7.5,7.5
I1,N2,11,0.0,-7.5,7.5
I1,N2,12,0.0,-7.5,7.5
I1,N2,13,0.0,-7.5,7.5
I1,N2,14,0.0,-7.5,7.5
I1,N2,15,0.0,-7.5,7.5
I1,N2,16,0.0,-7.5,7.5
I1,N2,17,0.0,-7.5,7.5
I1,N2,18,0.0,-7.5,7.5
I1,N2,19,0.0,-7.5,7.5
I1,N2,20,0.0,-7.5,7.5
I1,N2,21,0.0,-7.5,7.5
I1,N2,22,0.0,-7.5,7.5
I1,N2,23,0.0,-7.5,7.5
I1,N2,24,0.0,-7.5,7.5
I1,N3,1,0.0,-7.5,7.5
I1,N3,2,0.0,-7.5,7.5
I1,N3,3,0.0,-7.5,7.5
I1,N3,4,0.0,-7.5,7.5
I1,N3,5,0.0,-7.5,7.5
I1,N3,6,0.0,-7.5,7.5
I1,N3,7,0.0,-7.5,7.5
I1,N3,8,0.0,-7.5,7.5
I1,N3,9,0.0,-7.5,7.5
I1,N3,10,0.0,-7.5,7.5
I1,N3,11,0.0,-7.5,7.5
I1,N3,12,0.0,-7.5,7.5
I1,N3,13,0.0,-7.5,7.5
I1,N3,14,0.0,-7.5,7.5
I1,N3,15,0.0,-7.5,7.5
I1,N3,16,0.0,-7.5,7.5
I1,N3,17,0.0,-7.5,7.5
I1,N3,18,0.0,-7.5,7.5
I1,N3,19,0.0,-7.5,7.5
I1,N3,20,0.0,-7.5,7.5
I1,N3,21,0.0,-7.5,7.5
I1,N3,22,0.0,-7.5,7.5
I1,N3,23,0.0,-7.5,7.5
I1,N3,24,0.0,-7.5,7.5
I1,N4,1,0.0,-7.5,7.5
I1,N4,2,0.0,-7.5,7.5
I1,N4,3,0.0,-7.5,7.5
I1,N4,4,0.0,-7.5,7.5
I1,N4,5,0.0,-7.5,7.5
I1,N4,6,0.0,-7.5,7.5
I1,N4,7,0.0,-7.5,7.5
I1,N4,8,0.0,-7.5,7.5
I1,N4,9,0.0,-7.5,7.5
I1,N4,10,0.0,-7.5,7.5
I1,N4,11,0.0,-7.5,7.5
I1,N4,12,0.0,-7.5,7.5
I1,N4,13,0.0,-7.5,7.5
I1,N4,14,0.0,-7.5,7.5
I1,N4,15,0.0,-7.5,7.5
I1,N4,16,0.0,-7.5,7.5
I1,N4,17,0.0,-7.5,7.5
I1,N4,18,0.0,-7.5,7.5
I1,N4,19,0.0,-7.5,7.5
I1,N4,20,0.0,-7.5,7.5
I1,N4,21,0.0,-7.5,7.5
I1,N4,22,0.0,-7.5,7.5
I1,N4,23,0.0,-7.5,7.5
I1,N4,24,0.0,-7.5,7.5
I1,N5,1,0.0,-7.5,7.5
I1,N5,2,0.0,-7.5,7.5
I1,N5,3,0.0,-7.5,7.5
I1,N5,4,0.0,-7.5,7.5
I1,N5,5,0.0,-7.5,7.5
I1,N5,6,0.0,-7.5,7.5
I1,N5,7,0.0,-7.5,7.5
I1,N5,8,0.0,-7.5,7.5
I1,N5,9,0.0,-7.5,7.5
I1,N5,10,0.0,-7.5,7.5
I1,N5,11,0.0,-7.5,7.5
I1,N5,12,0.0,-7.5,7.5
I1,N5,13,0.0,-7.5,7.5
I1,N5,14,0.0,-7.5,7.5
I1,N5,15,0.0,-7.5,7.5
I1,N5,16,0.0,-7.5,7.5
I1,N5,17,0.0,-7.5,7.5
I1,N5,18,0.0,-7.5,7.5
I1,N5,19,0.0,-7.5,7.5
I1,N5,20,0.0,-7.5,7.5
I1,N5,21,0.0,-7.5,7.5
I1,N5,22,0.0,-7.5,7.5
I1,N5,23,0.0,-7.5,7.5
I1,N5,24,0.0,-7.5,7.5
I1,N6,1,4.454450232105253,-431.55204647271887,403.3795230793709
I1,N6,2,4.454450232105253,-431.52100270695803,403.3838768209049
I1,N6,3,4.454450232105253,-431.48742450528846,403.3939198339665
I1,N6,4,4.454450232105253,-431.4624568955074,403.18813884443307
I1,N6,5,4.454450232105253,-431.47068636793654,403.2504529679643
I1,N6,6,4.454450232105253,-431.473515349231,403.405758188357
I1,N6,7,4.454450232105253,-431.4738461580076,403.2149966902868
I1,N6,8,4.454450232105253,-431.4766483793427,403.40377382473025
I1,N6,9,4.454450232105253,-431.4844981187741,403.342177140893
I1,N6,10,4.454450232105253,-418.0449169433832,405.4451965260255
I1,N6,11,4.454450232105253,-422.05142808434334,405.57463975104065
I1,N6,12,4.454450232105253,-426.08678002948625,408.8681171552343
I1,N6,13,4.454450232105253,-425.8834553836792,408.8657682067079
I1,N6,14,4.454450232105253,-337.1433146559257,426.27499434225587
I1,N6,15,4.454450232105253,-4.265480567667936,434.76502412196675
I1,N6,16,4.454450232105253,-425.5271372810894,402.7633689871272
I1,N6,17,4.454450232105253,-417.805405792538,405.39439838963426
I1,N6,18,4.454450232105253,-431.7338442698551,403.4051852827116
I1,N6,19,4.454450232105253,-431.81335998513975,403.3752149997782
I1,N6,20,4.454450232105253,-465.54488742949525,-414.75421555395144
I1,N6,21,4.454450232105253,-431.8119425878716,403.3603129582096
I1,N6,22,4.454450232105253,-431.73100793126576,403.38112690798954
I1,N6,23,4.454450232105253,-431.66834259798986,403.39029981777594
I1,N6,24,4.454450232105253,-431.6227527296736,403.1809712920518
I1,N7,1,0.0,-7.5,7.5
I1,N7,2,0.0,-7.5,7.5
I1,N7,3,0.0,-7.5,7.5
I1,N7,4,0.0,-7.5,7.5
I1,N7,5,0.0,-7.5,7.5
I1,N7,6,0.0,-7.5,7.5
I1,N7,7,0.0,-7.5,7.5
I1,N7,8,0.0,-7.5,7.5
I1,N7,9,0.0,-7.5,7.5
I1,N7,10,0.0,-7.5,7.5
I1,N7,11,0.0,-7.5,7.5
I1,N7,12,0.0,-7.5,7.5
I1,N7,13,0.0,-7.5,7.5
I1,N7,14,0.0,-7.5,7.5
I1,N7,15,0.0,-7.5,7.5
I1,N7,16,0.0,-7.5,7.5
I1,N7,17,0.0,-7.5,7.5
I1,N7,18,0.0,-7.5,7.5
I1,N7,19,0.0,-7.5,7.5
I1,N7,20,0.0,-7.5,7.5
I1,N7,21,0.0,-7.5,7.5
I1,N7,22,0.0,-7.5,7.5
I1,N7,23,0.0,-7.5,7.5
I1,N7,24,0.0,-7.5,7.5
I1,N8,1,0.0,-7.5,7.5
I1,N8,2,0.0,-7.5,7.5
I1,N8,3,0.0,-7.5,7.5
I1,N8,4,0.0,-7.5,7.5
I1,N8,5,0.0,-7.5,7.5
I1,N8,6,0.0,-7.5,7.5
I1,N8,7,0.0,-7.5,7.5
I1,N8,8,0.0,-7.5,7.5
I1,N8,9,0.0,-7.5,7.5
I1,N8,10,0.0,-7.5,7.5
I1,N8,11,0.0,-7.5,7.5
I1,N8,12,0.0,-7.5,7.5
I1,N8,13,0.0,-7.5,7.5
I1,N8,14,0.0,-7.5,7.5
I1,N8,15,0.0,-7.5,7.5
I1,N8,16,0.0,-7.5,7.5
I1,N8,17,0.0,-7.5,7.5
I1,N8,18,0.0,-7.5,7.5
I1,N8,19,0.0,-7.5,7.5
I1,N8,20,0.0,-7.5,7.5
I1,N8,21,0.0,-7.5,7.5
I1,N8,22,0.0,-7.5,7.5
I1,N8,23,0.0,-7.5,7.5
I1,N8,24,0.0,-7.5,7.5
I1,N9,1,0.0,-7.5,7.5
I1,N9,2,0.0,-7.5,7.5
I1,N9,3,0.0,-7.5,7.5
I1,N9,4,0.0,-7.5,7.5
I1,N9,5,0.0,-7.5,7.5
I1,N9,6,0.0,-7.5,7.5
I1,N9,7,0.0,-7.5,7.5
I1,N9,8,0.0,-7.5,7.5
I1,N9,9,0.0,-7.5,7.5
I1,N9,10,0.0,-7.5,7.5
I1,N9,11,0.0,-7.5,7.5
I1,N9,12,0.0,-7.5,7.5
I1,N9,13,0.0,-7.5,7.5
I1,N9,14,0.0,-7.5,7.5
I1,N9,15,0.0,-7.5,7.5
I1,N9,16,0.0,-7.5,7.5
I1,N9,17,0.0,-7.5,7.5
I1,N9,18,0.0,-7.5,7.5
I1,N9,19,0.0,-7.5,7.5
I1,N9,20,0.0,-7.5,7.5
I1,N9,21,0.0,-7.5,7.5
I1,N9,22,0.0,-7.5,7.5
I1,N9,23,0.0,-7.5,7.5
I1,N9,24,0.0,-7.5,7.5
I2,N1,1,0.0,-7.5,7.5
I2,N1,2,0.0,-7.5,7.5
I2,N1,3,0.0,-7.5,7.5
I2,N1,4,0.0,-7.5,7.5
I2,N1,5,0.0,-7.5,7.5
I2,N1,6,0.0,-7.5,7.5
I2,N1,7,0.0,-7.5,7.5
I2,N1,8,0.0,-7.5,7.5
I2,N1,9,0.0,-7.5,7.5
I2,N1,10,0.0,-7.5,7.5
I2,N1,11,0.0,-7.5,7.5
I2,N1,12,0.0,-7.5,7.5
I2,N1,13,0.0,-7.5,7.5
I2,N1,14,0.0,-7.5,7.5
I2,N1,15,0.0,-7.5,7.5
I2,N1,16,0.0,-7.5,7.5
