investor,node,power_mw,energy_mwh
I1,N1,0.0,0.0
I1,N2,0.0,0.0
I1,N3,0.0,0.0
I1,N4,0.0,0.0
I1,N5,0.0,0.0
I1,N6,4.454450232105253,8.908900519409862
I1,N7,0.0,0.0
I1,N8,0.0,0.0
I1,N9,0.0,0.0
I2,N1,0.0,0.0
I2,N2,0.0,0.0
I2,N3,0.005124247362333774,0.014452891670993824
I2,N4,0.0,0.0
I2,N5,0.0,0.0
I2,N6,5.1986720814515905,10.415636116042476
I2,N7,0.0,0.0
I2,N8,0.17213087857187795,0.34652463597979993
I2,N9,0.008969613029891214,0.027081326161748888
I3,N1,0.0,0.0
I3,N2,0.0,0.0
I3,N3,10.604825291205996,29.72849270028421
I3,N4,0.0,0.0
I3,N5,0.0,0.0
I3,N6,13.190284956072711,37.021238753875465
I3,N7,0.0,0.0
I3,N8,7.129229661402701,19.317656523365244
I3,N9,11.254975682389603,31.451683962152643
I4,N1,9.963410821206882,19.926821677065355
I4,N2,0.0,0.0
I4,N3,38.40745424024716,96.87454918330454
I4,N4,10.660968192419112,21.32193641948982
I4,N5,0.0,0.0
I4,N6,49.29895242810194,136.38240137968606
I4,N7,0.0,0.0
I4,N8,38.62720271771832,100.52660149026406
I4,N9,38.93669048923871,96.53839853955458
