iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw
1,I3,optimal,57.2529214999995,148061.17960276414,1.7293084026670205e-06,0.0017589592025615275,36.674246691080874,92.94325472094053,0.6999989390692534,0.699998930965125,35.89272209057803,16.20483264431436,78.18349029492818,0,41.959803954517
1,I2,optimal,116.05236080000032,3578.855554997737,0.35612896459696564,0.0007433079299516976,47.74957649362175,137.1192904340691,0.6999982611836743,0.6999983812927619,31.40685289247958,11.740121450216167,7.2476023569959835,0,26.10108674998026
1,I1,optimal,37.09372489999987,6756.6071355589,24.896848647022352,0.0013306488399393857,59.843386197930904,209.2440754799203,0.69999825708053,0.6999982341903219,24.78461557917239,9.594093870654019,5.148062474763245,0,23.564999941720494
1,I4,optimal,15.278075499999431,237029.26262591573,38.544672625822024,0.0017314236611127853,93.47812708448762,314.1600669838184,0.30538076018265076,0.6143694985563272,15.412153884312318,10.760857612179894,131.44079733048974,0,10.637408288581039
2,I3,optimal,30.929697399999895,147489.40209010718,20.70212904322618,0.001529780391138047,30.293376383836222,68.52949243820345,0.6999829343696934,0.6999880077450379,6.153162660026881,5.605704427898149,47.53815297572548,0,6.594349161096653
2,I2,optimal,130.01764420000018,3026.1481998504123,1.468888890812674e-06,0.0007927417173050344,29.303419656682884,94.72743822827692,0.6999948930627037,0.6999948681146348,10.719995974904338,3.478311815020802,2.7474800545406803,0,7.83032923545113
2,I1,optimal,48.28623550000066,6185.540656498475,28.511533993200327,0.0011958634131588042,51.909720341054786,181.33057567438968,0.6999937314547635,0.6999936565092029,10.570457952200064,3.5176583288515952,1.6491660499993308,0,9.332048726676572
2,I4,optimal,25.28096060000007,233208.16735317925,34.040732565181536,0.001631685474421829,107.85698241587494,342.3519606625171,0.30050396084648584,0.31857942188816507,12.98312152880936,4.770923253847905,67.25289660140601,0,13.664116779300635
3,I3,optimal,20.085342200000014,146587.66216672846,43.11752070959495,0.0014345215749926865,27.250996834344825,58.98326720640589,0.5494616246123303,0.6999579045538469,3.232817971272697,1.7225953942637373,23.484968096019333,0,3.9465006108179557
3,I2,optimal,131.43994470000052,2903.300461778975,3.499942084247171e-06,0.0004957755445502698,23.30869016298062,79.52374361775078,0.6999916998175569,0.6999916190711684,3.642924815583718,1.1033596526749105,1.5652430352840165,0,2.480518020857545
3,I1,optimal,52.96582479999961,6412.958856497071,20.435911544950784,0.0012757048825733364,48.98476432451588,174.15476269131668,0.699995043467781,0.6999950255916474,4.620766002429506,2.8560106326072603,1.2211273347200067,0,4.974704611548777
3,I4,optimal,26.56908139999996,233721.44152446187,37.4709524911723,0.0016201160033233464,112.45133370132591,363.110279179874,0.4942355995665042,0.6974076705986676,35.35219765806662,1.9983333026645844,33.95699887738638,0,29.226517361518276
