investor,node,power_mw,energy_mwh
I1,N1,0.0,0.0
I1,N2,0.0,0.0
I1,N3,0.35964570466229334,1.346012876204187
I1,N4,0.0,0.0
I1,N5,0.0,0.0
I1,N6,27.05430538778931,87.20163014917331
I1,N7,0.0,0.0
I1,N8,35.685533329922166,83.3208738556805
I1,N9,0.36279447724225167,1.3582891477070664
I3,N1,0.0,0.0
I3,N2,0.0,0.0
I3,N3,27.68792090496863,94.88078689010639
I3,N4,0.0,0.0
I3,N5,0.0,0.0
I3,N6,4.31738889931401,20.202184393392244
I3,N7,0.0,0.0
I3,N8,4.9235731390501725,9.847287126178239
I3,N9,22.04503723652756,76.50692799014377
I4,N1,0.0,0.0
I4,N2,0.0,0.0
I4,N3,23.156621019742996,57.64494473689105
I4,N4,0.0,0.0
I4,N5,0.0,0.0
I4,N6,12.837920280415101,49.464522987375645
I4,N7,0.0,0.0
I4,N8,9.75279003339017,19.677377389462347
I4,N9,18.875174613154247,46.43668982582554
