sweep,investor,termination,optimal,solve_seconds,best_feasible_objective,best_objective_bound,profit_eur_per_day,old_power_mw,best_response_power_mw,new_power_mw,old_energy_mwh,best_response_energy_mwh,new_energy_mwh,max_raw_deviation_mw,max_raw_deviation_mwh,max_iterate_change_mw,max_iterate_change_mwh,max_raw_bid_deviation_eur_per_mwh,max_iterate_bid_change_eur_per_mwh
1,I1,optimal,True,1.477974999928847,,,18818.931031679527,0.0,187.18215270019837,46.79553764218333,0.0,547.1951724127086,136.79879200862817,83.87709673457253,233.48983240430294,20.969274183643133,58.372458101075736,0.0,0.0
1,I3,optimal,True,3.1814006000058725,,,125752.88665786227,0.0,186.8025086894019,46.70062567419259,0.0,547.1949914922182,136.79874430830105,83.87709673457253,233.48983240430294,20.969274183643133,58.372458101075736,0.0,0.0
1,I4,optimal,True,7.206272499985062,,,183406.669441542,0.0,187.18215114808834,46.79553775960826,0.0,547.1949712783742,136.79874271002723,83.87709673457253,233.48983240430294,20.969274183643133,58.372458101075736,0.0,0.0
2,I1,optimal,True,3.4805914000608027,,,9409.268987402378,46.79553764218333,93.68598734400474,58.51814988684977,136.79879200862817,273.5976951409779,170.99851737566803,48.12805813055472,149.3186817396821,12.032014532638678,37.32967043492052,0.0,0.0
2,I3,optimal,True,12.139575999928638,,,125203.40746064775,46.70062567419259,93.21142645145466,58.3283258685081,136.79874430830105,273.59743348944005,170.9984166035858,48.12805813055472,149.3186817396821,12.032014532638678,37.32967043492052,0.0,0.0
2,I4,optimal,True,2.0025111999129876,,,185514.0754663152,46.79553775960826,93.68599018953279,58.51815039624152,136.79874271002723,273.59743842107173,170.99841558390057,48.12805813055472,149.3186817396821,12.032014532638678,37.32967043492052,0.0,0.0
3,I1,optimal,True,7.056448900024407,,,7056.804323898931,58.51814988684977,70.33567354393804,61.47253080112184,170.99851737566803,205.19835149543457,179.54847590560968,42.74276886323999,113.17032896272443,10.685692215809999,28.292582240681106,0.0,0.0
3,I3,optimal,True,3.1322174000088125,,,125446.75313785888,58.3283258685081,69.76621004046906,61.187794884098835,170.9984166035858,206.33755491092157,179.83319643619663,42.74276886323999,113.17032896272443,10.685692215809999,28.292582240681106,0.0,0.0
3,I4,optimal,True,7.455266400007531,,,185933.96498002444,58.51815039624152,70.33567568906342,61.472531719447,170.99841558390057,205.1980359477803,179.54832067441038,42.74276886323999,113.17032896272443,10.685692215809999,28.292582240681106,0.0,0.0
4,I1,optimal,True,2.9417325999820605,,,6458.635802490564,61.47253080112184,64.52182495240976,62.23485390227898,179.54847590560968,187.8136674375916,181.61477288645636,28.471720925109658,75.84392174075064,7.117930231277413,18.960980435187665,0.0,0.0
4,I3,optimal,True,3.67653389996849,,,125502.19159770255,61.187794884098835,63.85744325518537,61.855206071631514,179.83319643619663,190.60413248751323,182.5259277495381,28.471720925109658,75.84392174075064,7.117930231277413,18.960980435187665,0.0,0.0
4,I4,optimal,True,2.800949800061062,,,186042.4183341456,61.472531719447,64.52182715448073,62.23485522976549,179.54832067441038,187.8133006868824,181.61456488575223,28.471720925109658,75.84392174075064,7.117930231277413,18.960980435187665,0.0,0.0
5,I1,optimal,True,4.3395703000715,,,6294.548541296931,62.23485390227898,63.09208845685375,62.44916254092267,181.61477288645636,183.05468895851726,181.97475190346321,26.495109842064824,78.56022152240641,6.623777460516205,19.640055380601602,0.0,0.0
