iteration,regularization_stage,dual_tikhonov_gamma,proximal_coefficient_eur_per_mw2_day,complementarity_epsilon,investor,termination,solve_seconds,preparation_seconds,attempt_count,retry_status,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,max_complementarity_product,sum_complementarity_products,max_original_nodal_balance_residual_mw,total_absolute_original_nodal_balance_residual_mwh,max_hourly_system_balance_residual_mw,signed_primal_dual_gap_eur_per_day,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw,max_undamped_delta_energy_mwh,max_undamped_rel_delta_power,max_undamped_rel_delta_energy,undamped_capacity_residual_mw_equivalent,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh
101,1,0.001,18.0,,I1,optimal,3.867236799967941,1.286659499979578,1,not_needed,4555.875108787763,0.0,0.001405728457029909,0.0,0.0,0.06000000965055419,11.391067285119643,0.5400000593877179,0.001405728457029909,48.315722400884454,132.91757875245932,0.000409498205843878,0.0007740569255434647,,,,,0.043414156571024876,0.19773586575649915,0.0016379928233753388,0.003096227702173859,,,
101,1,0.001,18.0,,I2,optimal,2.2224991000257432,1.2811676999554038,1,not_needed,4333.667529405551,0.0,0.0013916848110966384,0.0,0.0,0.06000000814428352,11.391067131689061,0.5400000524407386,0.0013916848110966384,48.375645264149284,133.18264438895508,0.004812386271942248,0.010064389914684812,,,,,0.019249545087769215,0.1343974225662734,0.019249545087769215,0.04025755965873925,,,
101,1,0.001,18.0,,I3,optimal,2.8660602999734692,1.2716219000285491,1,not_needed,125436.24362574075,0.0,0.0017112682689912617,0.0,0.0,0.060000038551270674,12.160974376860196,0.540000138323511,0.0017112682689912617,38.34706960475084,130.30319779943756,0.004480070064575482,0.004622397525005668,,,,,0.020565233604729283,0.13566006041838108,0.017920280258302314,0.018489590100022258,,,
101,1,0.001,18.0,,I4,optimal,2.959974500001408,1.258809899969492,1,not_needed,186071.29219057702,0.0,0.001733873737975955,0.0,0.0,0.06000003965683742,12.160974419449916,0.5400001411679403,0.001733873737975955,52.2207029873141,151.1700911482347,0.005211166558389213,0.009775529276722095,,,,,0.020844666233556797,0.13607236253675836,0.020844666233556797,0.03910211710688827,,,
102,1,0.001,18.0,,I1,optimal,2.6667980999918655,1.2921654999954626,1,not_needed,4552.753543324592,0.0,0.0013993899920023978,0.0,0.0,0.060000009619849415,11.39106731266265,0.5400000595307373,0.0013993899920023978,48.29647333146804,132.8275199813228,0.0004096894366611863,0.0007746774923308056,,,,,0.04341747784789973,0.19774121044218163,0.001638757746644572,0.0030987099693235566,,,
102,1,0.001,18.0,,I2,optimal,5.731032599986065,1.2632615000475198,1,not_needed,4330.695516785049,0.0,0.0013923139194957912,0.0,0.0,0.06000000814405526,11.391067088223652,0.5400000515186741,0.0013923139194957912,48.35639778634231,133.09259138307502,0.004812310949620757,0.010166915447808629,,,,,0.01924924379848303,0.13439682747066684,0.01924924379848303,0.040667661791234516,,,
102,1,0.001,18.0,,I3,optimal,4.693717400019523,1.263587900029961,1,not_needed,125435.661430949,9.688787878915097e-08,0.0017112892237491906,0.0,0.0,0.06000003855089808,12.16097437654339,0.5400001383357262,0.0017112892237491906,38.36631709879813,130.39325169595423,0.0044762672465345965,0.0045826409094857235,,,,,0.020639832698319482,0.13573596600271998,0.017905068986138577,0.018330563637943307,,,
102,1,0.001,18.0,,I4,optimal,2.954363500000909,1.271148500032723,1,not_needed,186070.71003791105,0.0,0.0017338659963570535,0.0,0.0,0.060000039656855186,12.160974419681049,0.5400001411791056,0.0017338659963570535,52.239950797476574,151.26014555002382,0.005212406261785207,0.009772845602048053,,,,,0.02084962504714094,0.1360771279236772,0.02084962504714094,0.03909138240819221,,,
103,1,0.001,18.0,,I1,optimal,3.1010677000158466,1.2914270999608561,1,not_needed,4549.631994984457,0.0,0.0014037442742846906,0.0,0.0,0.060000009626470785,11.3910673070462,0.5400000593656941,0.0014037442742846906,48.27722535777407,132.73746394585945,0.0004098379295469092,0.0007752637084364656,,,,,0.04341468611009702,0.19773754413655809,0.0016393517181872898,0.003101054833746085,,,
103,1,0.001,18.0,,I2,optimal,4.6787590000312775,1.2812027999898419,1,not_needed,4327.7236362591575,0.0,0.0013934610760770738,0.0,0.0,0.060000008140852934,11.391067079319198,0.5400000485141969,0.0013934610760770738,48.337150619884014,133.00253931769885,0.004812165176201311,0.010271359637401818,,,,,0.019248660704805354,0.13439537484995867,0.019248660704805354,0.041085438549607375,,,
103,1,0.001,18.0,,I3,optimal,3.8432586999842897,1.2651072000153363,1,not_needed,125435.07921986669,0.0,0.0017112920177169144,0.0,0.0,0.06000003855054192,12.16097437651497,0.5400001384058581,0.0017112920177169144,38.38556490365527,130.4833064623567,0.004468476710923853,0.0045479751318594774,,,,,0.020696139560345772,0.13579579385301344,0.0178739068436956,0.01819190052743791,,,
103,1,0.001,18.0,,I4,optimal,2.769658699980937,1.2551930000190623,1,not_needed,186070.12783164636,1.8721114303679237e-07,0.0017338638426735997,0.0,0.0,0.06000003965686718,12.160974419486475,0.5400001411783406,0.0017338638426735997,52.25919891840956,151.35020082165437,0.0052142948482673535,0.009772567248592323,,,,,0.02085717939306958,0.13607833194269858,0.02085717939306958,0.03909026899436918,,,
104,1,0.001,18.0,,I1,optimal,2.852029000001494,1.2865795000107028,1,not_needed,4546.510359298894,0.0,0.001403694855980575,0.0,0.0,0.06000000962259344,11.391067297440724,0.5400000593504655,0.001403694855980575,48.25797691713667,132.64740639018902,0.0004100143527270711,0.0007758741491994787,,,,,0.04341586702009792,0.19773982275020785,0.0016400574109082845,0.0031034965967979148,,,
104,1,0.001,18.0,,I2,optimal,3.2003027999890037,1.278904800012242,1,not_needed,4324.7515961923655,0.0,0.001393291458953172,0.0,0.0,0.060000008144895034,11.391067077084688,0.5400000489891156,0.001393291458953172,48.31790325689369,132.91248674901107,0.004812168880425682,0.010378115861065362,,,,,0.01924867552170273,0.13439526433563742,0.01924867552170273,0.04151246344426155,,,
104,1,0.001,18.0,,I3,optimal,2.9208662000019103,1.2714992000255734,1,not_needed,125434.49702711216,7.938384436787523e-08,0.0017112672794610262,0.0,0.0,0.060000038550185764,12.160974376038661,0.5400001383237726,0.0017112672794610262,38.40481251214722,130.5733607446145,0.004457530259315203,0.004516942302938674,,,,,0.020737693783476008,0.1358430348799331,0.017830121037261195,0.01806776921175449,,,
104,1,0.001,18.0,,I4,optimal,2.9132314000162296,1.249784899991937,1,not_needed,186069.527392206,5.682830488069541e-08,0.0015231893048621714,0.0,0.0,0.06000002165350038,12.16097369885822,0.5400000928399294,0.0015231893048621714,52.27845877870916,151.44027469547865,0.005248307025594812,0.009703590309068644,,,,,0.020993228102379302,0.1362333741247923,0.020993228102379302,0.03881436123627424,,,
105,1,0.001,18.0,,I1,optimal,3.1225307999993674,1.2927452999865636,1,not_needed,4543.388121398321,0.0,0.0014037797809578478,0.0,0.0,0.06000000962655605,11.391067305390944,0.5400000593584006,0.0014037797809578478,48.23872575088881,132.55734504909657,0.000410250674677147,0.0007765013698981074,,,,,0.043421191362611467,0.1977461314083726,0.001641002698708588,0.003106005479592095,,,
105,1,0.001,18.0,,I2,optimal,76.65525690000504,1.299964200006798,1,not_needed,4321.779895230471,0.0,0.002372223825659603,0.0,0.0,0.06000000814078277,11.391067105607299,0.5400000399818611,0.002372223825659603,48.29865297881839,132.82243607101688,0.0048128346041999,0.010486994334905346,,,,,0.01925133841679949,0.13437904084675978,0.01925133841679949,0.04194797733962128,,,
105,1,0.001,18.0,,I3,optimal,3.209610400022939,1.2916607999941334,1,not_needed,125433.91497503484,0.0,0.001711292308755219,0.0,0.0,0.060000038549819834,12.160974376239828,0.5400001383564433,0.001711292308755219,38.424057204459395,130.66341051917206,0.004444142925643,0.004488547228805174,,,,,0.020767573389125937,0.13586867571621752,0.01777657170257219,0.017954188915220902,,,
105,1,0.001,18.0,,I4,optimal,2.599920199951157,1.3161729000275955,1,not_needed,186068.94311214512,5.682417304066515e-08,0.0015231893630698323,0.0,0.0,0.060000021653760616,12.160973679911098,0.5400000928602084,0.0015231893630698323,52.29771571877311,151.53034405779292,0.005240757059066459,0.00971766222606063,,,,,0.020963028236265946,0.136200787857355,0.020963028236265946,0.038870648904242744,,,
106,1,0.001,18.0,,I1,optimal,3.695655599993188,1.2951660999679007,1,not_needed,4540.266121225088,0.0,0.0014047891600057483,0.0,0.0,0.06000000963922947,11.391067300116086,0.5400000593607382,0.0014047891600057483,48.21947451427674,132.46728181677219,0.0004104203023925425,0.0007771297301635623,,,,,0.043421370287948236,0.19775247709101507,0.0016416812095696488,0.003108518920654026,,,
106,1,0.001,18.0,,I2,optimal,4.336423099972308,1.278977899986785,1,not_needed,4318.806869179925,0.0,0.0013928016414865851,0.0,0.0,0.060000008144577066,11.39106707705117,0.5400000502782931,0.0013928016414865851,48.279402652341446,132.73237718905835,0.004812817606311581,0.010598987545271422,,,,,0.019251270425246547,0.13440359546554248,0.019251270425246547,0.0423959501810858,,,
106,1,0.001,18.0,,I3,optimal,4.152296099986415,1.2465655999840237,1,not_needed,125433.33286267445,1.0423084948234988e-08,0.001711313147097826,0.0,0.0,0.06000003854947078,12.16097437667357,0.5400001382591932,0.001711313147097826,38.44330184980995,130.7534585144994,0.004429464258406319,0.004462647599696818,,,,,0.02079096889237464,0.13588769333374273,0.017717857033625654,0.017850590398787475,,,
106,1,0.001,18.0,,I4,optimal,2.956123900017701,1.2559374999837019,1,not_needed,186068.38130567112,0.0,0.0017338581383228302,0.0,0.0,0.06000003965690359,12.160974419836768,0.5400001411783932,0.0017338581383228302,52.31696067996885,151.6203925584801,0.005200225309177409,0.009796713174872851,,,,,0.020800901236709635,0.13602040388572334,0.020800901236709635,0.03918685269949174,,,
107,1,0.001,18.0,,I1,optimal,4.160921199945733,1.3070834000245668,1,not_needed,4537.145178961411,0.0,0.0014041221584193408,0.0,0.0,0.06000000962605512,11.39106727282787,0.5400000592431736,0.0014041221584193408,48.20022672976647,132.377226681781,0.0004105074699695443,0.0007776700925874197,,,,,0.043414215504100184,0.1977361943395124,0.0016420298798783509,0.0031106803703496787,,,
107,1,0.001,18.0,,I2,optimal,2.289007599989418,1.29308759997366,1,not_needed,4315.8354909165555,0.0,0.0013918420299887657,0.0,0.0,0.0600000081449692,11.391067112577005,0.540000051964971,0.0013918420299887657,48.26015531429802,132.64232467464947,0.004812087872362203,0.010628022312779928,,,,,0.01924835148944859,0.1343947084680508,0.01924835148944859,0.04251208925111982,,,
107,1,0.001,18.0,,I3,optimal,4.1716295999940485,1.2598355999798514,1,not_needed,125432.75053984053,0.0,0.0017116627423092723,0.0,0.0,0.06000003854909375,12.16097438013504,0.5400001372640008,0.0017116627423092723,38.46254948469381,130.8435129145327,0.004414247818115256,0.004438981917035457,,,,,0.020811322627293682,0.13591576916641657,0.017656991272460835,0.017755927668141627,,,
