hour,node,lambda_eur_per_mwh
1,N1,54.99999993779328
1,N2,54.9999998950086
1,N3,54.99999995518764
1,N4,55.000000025930476
1,N5,55.00000009982845
1,N6,55.00000002718793
1,N7,55.00000003104792
1,N8,55.00000008881405
1,N9,55.00000014272495
2,N1,54.99999988297872
2,N2,54.99999983224245
2,N3,54.999999901547916
2,N4,54.99999998566091
2,N5,55.00000006967301
2,N6,54.99999998498712
2,N7,54.99999998849528
2,N8,55.00000005560714
2,N9,55.00000011977654
3,N1,54.99999981029299
3,N2,54.9999997429365
3,N3,54.99999982885776
3,N4,54.999999936429774
3,N5,55.000000041643986
3,N6,54.99999993482091
3,N7,54.999999937642485
3,N8,55.000000022962226
3,N9,55.00000010663214
4,N1,54.99999968700778
4,N2,54.99999959943956
4,N3,54.999999704327635
4,N4,54.9999998383791
4,N5,54.99999996905387
4,N6,54.99999983678342
4,N7,54.99999983878266
4,N8,54.9999999454917
4,N9,55.000000051898766
5,N1,54.99999982582815
5,N2,54.999999752518114
5,N3,54.99999984338625
5,N4,54.999999957561684
5,N5,55.00000007035559
5,N6,54.99999995681029
5,N7,54.999999959430355
5,N8,55.00000005073876
5,N9,55.000000140621985
6,N1,54.99999996634851
6,N2,54.99999991780335
6,N3,54.99999998264915
6,N4,55.00000005934058
6,N5,55.00000014093903
6,N6,55.000000061985894
6,N7,55.000000065683786
6,N8,55.00000012926988
6,N9,55.00000018909165
7,N1,74.99999982313925
7,N2,74.99999980573209
7,N3,74.99999983924104
7,N4,74.99999987514445
7,N5,74.9999999164286
7,N6,74.99999987516829
7,N7,74.99999987936297
7,N8,74.99999990056055
7,N9,74.99999993449663
8,N1,74.99999993809251
8,N2,74.9999999325016
8,N3,74.99999995220422
8,N4,74.99999997005234
8,N5,74.99999999040026
8,N6,74.99999996595406
8,N7,74.99999996362904
8,N8,74.99999995927598
8,N9,74.99999999022732
9,N1,74.9999998070473
9,N2,74.99999980550801
9,N3,74.99999981953063
9,N4,74.99999983108017
9,N5,74.99999984271308
9,N6,74.99999982174711
9,N7,74.99999981524107
9,N8,74.99999978720892
9,N9,74.99999983197715
10,N1,55.000000250939
10,N2,55.0000002509188
10,N3,55.00000026277293
10,N4,55.000000269199944
10,N5,55.00000027847626
10,N6,55.000000262983775
10,N7,55.00000026602601
10,N8,55.00000024925483
10,N9,55.000000273716466
11,N1,54.99999973842466
11,N2,54.99999974345219
11,N3,54.99999975354803
11,N4,54.999999767069376
11,N5,54.99999977000388
11,N6,54.99999974232402
11,N7,54.99999974042705
11,N8,54.99999968207101
11,N9,54.99999976064259
12,N1,46.00793686652495
12,N2,46.007937132907806
12,N3,46.007936946330474
12,N4,46.007937060515545
12,N5,46.00793713651477
12,N6,46.00793660951882
12,N7,46.007936359909785
12,N8,46.007934852679575
12,N9,46.00793718965855
13,N1,46.007936127799866
13,N2,46.00793636585717
13,N3,46.0079362030243
13,N4,46.00793631059929
13,N5,46.00793636359405
13,N6,46.00793588137448
13,N7,46.007935657130126
13,N8,46.00793434889371
13,N9,46.007936288502634
14,N1,43.89686595877242
14,N2,43.89686776070477
14,N3,43.89686642617046
14,N4,43.896866987124206
14,N5,43.89686753703152
14,N6,43.896864022499706
14,N7,43.89686207508336
14,N8,43.89685282269176
14,N9,43.896868928163
15,N1,46.00792836884629
15,N2,46.00792808586984
15,N3,46.00792831615536
15,N4,46.007928155874815
15,N5,46.00792809949267
15,N6,46.007928556047915
15,N7,46.00792864234785
15,N8,46.00793047497455
15,N9,46.007928748817164
16,N1,46.007936498847485
16,N2,46.00793667838243
16,N3,46.0079365571015
16,N4,46.007936650008844
16,N5,46.00793671093862
16,N6,46.00793642810589
16,N7,46.00793641406711
16,N8,46.00793536607671
16,N9,46.00793643992985
17,N1,54.99999994711317
17,N2,54.99999995025125
17,N3,54.999999965825275
17,N4,54.999999978822146
17,N5,54.99999998600963
17,N6,54.999999964351474
17,N7,54.999999968305026
17,N8,54.99999995054029
17,N9,54.99999997878667
18,N1,74.99999953483749
18,N2,74.99999953399323
18,N3,74.99999955295371
18,N4,74.99999956907247
18,N5,74.99999958658488
18,N6,74.99999956097145
18,N7,74.99999956398686
18,N8,74.9999995408449
18,N9,74.99999958120885
19,N1,74.9999999751426
19,N2,74.99999995937392
19,N3,74.99999999059257
19,N4,75.00000002556669
19,N5,75.00000006194031
19,N6,75.0000000189563
19,N7,75.00000001296988
19,N8,75.00000002559398
19,N9,75.00000007237966
20,N1,74.9999999611148
20,N2,74.99999992332641
20,N3,74.99999997430362
20,N4,75.00000003726173
20,N5,75.00000010338351
20,N6,75.0000000334716
20,N7,75.00000002857138
20,N8,75.00000007495082
20,N9,75.00000013683972
21,N1,74.99999992311045
21,N2,74.99999987404564
21,N3,74.99999993568822
21,N4,75.00000001186098
21,N5,75.00000009281977
21,N6,75.00000001067049
21,N7,75.00000000840267
21,N8,75.00000006925512
21,N9,75.00000013812382
22,N1,74.99999987388827
22,N2,74.99999982314557
22,N3,74.99999988803827
22,N4,74.9999999659697
22,N5,75.00000005028525
22,N6,74.99999996770869
22,N7,74.99999996937818
22,N8,75.0000000320151
22,N9,75.00000009896883
23,N1,74.9999994902363
23,N2,74.99999942019068
23,N3,74.99999950340887
23,N4,74.99999960407686
23,N5,74.999999713229
23,N6,74.99999960990874
23,N7,74.99999961575371
23,N8,74.99999969838454
23,N9,74.99999978012578
24,N1,55.000000015568105
24,N2,54.999999951830205
24,N3,55.00000003002316
24,N4,55.00000012468349
24,N5,55.00000022590733
24,N6,55.000000128951505
24,N7,55.000000132140414
24,N8,55.00000021145475
24,N9,55.00000028767037
