hour,lambda_system,system_net_injection_residual_mw
1,55.0000005471162,0.0
2,55.00000054325139,4.973799150320701e-14
3,55.000000541857595,-1.4210854715202004e-14
4,55.00000054139902,-4.973799150320701e-14
5,55.000000542113646,9.237055564881302e-14
6,55.00000054702554,2.1316282072803006e-14
7,62.77850891233874,2.842170943040401e-14
8,62.77850891743202,-1.4210854715202004e-14
9,62.77850891978321,-2.842170943040401e-14
10,55.00000054456963,0.0
11,60.33333392465036,-5.684341886080802e-14
12,30.831059441596153,5.684341886080802e-14
13,30.000000293997665,-1.4210854715202004e-14
14,30.000000291855944,-2.1316282072803006e-14
15,30.00000029282753,5.684341886080802e-14
16,30.83105943382634,0.0
17,60.333333923583965,0.0
18,75.00000073260874,-1.4210854715202004e-14
19,75.00000073981613,-1.4210854715202004e-14
20,75.00000074042296,-1.4210854715202004e-14
21,75.0000007395834,-2.842170943040401e-14
22,75.00000073159626,-6.394884621840902e-14
23,75.00000072587305,-2.1316282072803006e-14
24,55.000000569711155,-1.4210854715202004e-14
