iteration,investor,node,x_power_mw,x_energy_mwh,proposed_x_power_mw,headroom_mw
1,I1,N1,66.00000062845494,207.9230789609581,90.00000089779277,7.19999960966058
1,I1,N2,3.000000154182673,6.000000327138253,2.2026096040473413e-07,93.9999995711933
1,I1,N3,3.0000000409682954,6.000000089589659,5.8526135769130114e-08,93.99999985251524
1,I1,N4,3.0000000574941947,6.000000126659486,8.213456357190545e-08,93.99999973397193
1,I1,N5,49.32815098440746,98.65630196348538,66.1830728348678,28.874184809302022
1,I2,N1,26.799999761884482,82.28205071480672,33.99999965983498,7.19999960966058
1,I2,N2,3.000000274624024,6.000000921292912,3.9232003370753543e-07,93.9999995711933
1,I2,N3,3.000000106516459,6.000000402763421,1.5216636974496786e-07,93.99999985251524
1,I2,N4,3.000000208533875,6.000000831720601,2.979055351095421e-07,93.99999973397193
1,I2,N5,21.797664206290527,43.59532844123311,26.853806008986467,28.874184809302022
2,I1,N1,71.04000085757141,321.7147874250387,73.2000009557642,0.6479996177251053
2,I1,N2,0.9000000796595493,1.8000001635823437,4.7721067499658e-08,98.1999998378968
2,I1,N3,0.9000000410815417,1.8000000825731817,4.113007562949643e-08,98.19999992696351
2,I1,N4,0.9000000504507295,1.8000001356491957,4.7432101393603194e-08,98.1999998869891
2,I1,N5,54.1400814281726,127.08010407590476,56.202337332643374,22.61777934078856
2,I2,N1,28.311999524703474,75.37559516624088,28.959999423054473,0.6479996177251053
2,I2,N2,0.9000000824436484,1.8000002879426906,8.063009612834644e-11,98.1999998378968
2,I2,N3,0.9000000319549379,1.8000001270934671,0.0,98.19999992696351
2,I2,N4,0.9000000625601626,1.8000002556209052,0.0,98.1999998869891
2,I2,N5,23.242139231038838,106.23051678955933,23.86119995593097,22.61777934078856
3,I1,N1,59.47642640748659,275.12395066212747,54.52060878602166,3.66347197139757
3,I1,N2,0.27000003370800846,0.5400001333522191,1.4014490896617523e-08,92.23989858172055
3,I1,N3,0.2700000156963543,0.5400000581629244,4.8169881760454895e-09,99.4599996962698
3,I1,N4,0.2700000415425883,0.540000110784173,3.772481340887189e-08,99.45999932132248
3,I1,N5,54.572528017300286,232.49341521064343,54.75786226978358,6.6555995225650975
3,I2,N1,36.860101621115845,108.35108693682123,40.52357394814972,3.66347197139757
3,I2,N2,7.490101384571438,14.980203111399124,10.314430514054777,92.23989858172055
3,I2,N3,0.2700002880338394,0.5400010113614128,3.9778194002780444e-07,99.4599996962698
3,I2,N4,0.270000637134929,0.5400016239689907,8.833812573587067e-07,99.45999932132248
3,I2,N5,38.77187246013462,195.67218039683374,45.42747241546138,6.6555995225650975
4,I1,N1,62.04085722793167,262.80532522759967,63.13989900812242,0.32971211429133973
4,I1,N2,2.247153305502034,4.49430664834719,3.0945047076994734,89.64383094534018
4,I1,N3,0.08100002474314712,0.16200007178453762,2.8620344027930175e-08,99.83799918918722
4,I1,N4,0.0810000124627765,0.16200003323525192,0.0,99.83799916853589
4,I1,N5,59.23144811094794,275.36012731619047,61.22812815108264,0.5990035606623536
4,I2,N1,37.629430657777,107.11782067245967,37.95914310206035,0.32971211429133973
4,I2,N2,8.109015749157777,16.21803190633487,8.374264762551922,89.64383094534018
4,I2,N3,0.0810007860696374,0.16200197035724206,9.995135508139332e-07,99.83799918918722
4,I2,N4,0.0810008190013368,0.16200199166855297,8.969440829709052e-07,99.83799916853589
4,I2,N5,40.16954832838971,207.11845507996622,40.768552271927604,0.5990035606623536
5,I1,N1,62.27165614301708,259.97302381616305,62.37056996376798,0.029673730382938857
5,I1,N2,2.43279488567648,4.865589800118158,2.5123555628940997,89.38177135820081
5,I1,N3,0.024300013683330048,0.048600063257944956,8.943408441772226e-09,99.95139929498401
5,I1,N4,0.02430000381411042,0.04860001737488294,1.0753924182304067e-10,99.95139940977005
5,I1,N5,59.650751021479934,311.08180704796575,59.83045226885079,0.06136678723142097
5,I2,N1,37.69867012659997,106.29417946666867,37.72834418466696,0.029673730382938857
5,I2,N2,8.185433756122706,16.370867939993488,8.218184330536248,89.38177135820081
5,I2,N3,0.024300691332652356,0.04860180661069753,6.507310873352499e-07,99.95139929498401
5,I2,N4,0.024300586415839334,0.0486015122306627,4.867363404184937e-07,99.95139940977005
5,I2,N5,40.287882191288645,217.8000595388195,40.338596703959624,0.06136678723142097
6,I1,N1,62.2924281596996,259.7045212271661,62.30133045256353,0.002670251867954221
6,I1,N2,2.4612501687388852,4.922500837574846,2.4734452900513446,89.33026488503842
6,I1,N3,0.0072905752146138,0.014581824230247748,8.158708782643011e-07,99.98541904650044
6,I1,N4,0.007290764787859955,0.014581840152831746,1.0909194668979713e-06,99.9854190148413
6,I1,N5,59.69370817541152,314.3211871117886,59.712118384239346,0.00552260864756704
6,I2,N1,37.704901588432456,106.21082458498728,37.70757221493209,0.002670251867954221
6,I2,N2,8.2084849462227,16.41697002916064,8.218364027694127,89.33026488503842
6,I2,N3,0.007290378284940497,0.01458088826990409,2.441216354123232e-07,99.98541904650044
6,I2,N4,0.0072902203708359705,0.014580549407210958,6.34944059561749e-08,99.9854190148413
6,I2,N5,40.30076921594091,218.7718735311184,40.30629222650617,0.00552260864756704
7,I1,N1,62.29429777056035,259.67951580154266,62.29509903235781,0.0002399300730644427
7,I1,N2,2.4681892928001044,4.93637875319156,2.4711632031120554,89.31761386404223
7,I1,N3,0.002187228765146822,0.004374684457106592,8.028680383106833e-08,99.99562559128648
7,I1,N4,0.002187247841950086,0.004374619384894447,2.6293702998326873e-08,99.99562568538211
7,I1,N5,59.69757441861462,314.61273198048184,59.69923137998738,0.0004966283180181108
7,I2,N1,37.70546229936659,106.20203676993786,37.70570260405264,0.0002399300730644427
7,I2,N2,8.214196843157668,16.428393735720725,8.21664479898694,89.31761386404223
7,I2,N3,0.0021871799483768146,0.004374413072900854,9.494699237864908e-08,99.99562559128648
7,I2,N4,0.002187066775935746,0.004374170468295137,9.495499344665865e-10,99.99562568538211
7,I2,N5,40.30192895306736,218.85933632176483,40.30242598326441,0.0004966283180181108
