sweep,investor,termination,optimal,solve_seconds,best_feasible_objective,best_objective_bound,profit_eur_per_day,old_power_mw,best_response_power_mw,new_power_mw,old_energy_mwh,best_response_energy_mwh,new_energy_mwh,max_raw_deviation_mw,max_raw_deviation_mwh,max_iterate_change_mw,max_iterate_change_mwh,max_raw_bid_deviation_eur_per_mwh,max_iterate_bid_change_eur_per_mwh
1,I1,optimal,True,1.5154799999436364,,,18818.931031679527,0.0,187.18215270019837,121.37085746833229,0.0,547.1951724127086,357.74091269413424,83.87709673457253,233.48983240430294,58.71396771420077,163.44288268301204,0.0,0.0
1,I3,optimal,True,3.289802600047551,,,125752.88665786227,0.0,186.8025086894019,121.06647122876971,0.0,547.1949914922182,359.73885582986105,83.87709673457253,233.48983240430294,58.71396771420077,163.44288268301204,0.0,0.0
1,I4,optimal,True,7.390816000057384,,,183406.669441542,0.0,187.18215114808834,115.50781892031007,0.0,547.1949712783742,344.56856128809244,83.87709673457253,233.48983240430294,58.71396771420077,163.44288268301204,0.0,0.0
2,I1,optimal,True,3.7135268000420183,,,-4.748844990860177e-05,121.37085746833229,2.023508762279012e-06,36.411258059008794,357.74091269413424,4.4874961213502714e-06,107.32227557335997,58.713967416992496,163.4428820453082,41.099777191894745,114.41001743171574,0.0,0.0
2,I3,optimal,True,2.0641640999820083,,,126302.51626653766,121.06647122876971,1.2620795015874813e-06,36.31994120250177,359.73885582986105,2.8432233841780246e-06,107.92165632387336,58.713967416992496,163.4428820453082,41.099777191894745,114.41001743171574,0.0,0.0
2,I4,optimal,True,6.888465499971062,,,187092.3475098653,115.50781892031007,8.090742140324458e-07,34.65234591384275,344.56856128809244,2.3276937697070395e-06,103.3705691352111,58.713967416992496,163.4428820453082,41.099777191894745,114.41001743171574,0.0,0.0
3,I1,optimal,True,14.105200099991634,,,11549.492918138994,36.411258059008794,116.20986316652326,91.08548681776311,107.32227557335997,335.9029759428498,264.52277797638754,48.7804740440119,131.6256237631605,32.96153701430252,92.13793663421235,0.0,0.0
3,I3,optimal,True,15.006715400028042,,,124560.35170199761,36.31994120250177,115.73889799875775,90.98879404909046,107.92165632387336,337.83760428277657,267.0038742627259,48.7804740440119,131.6256237631605,32.96153701430252,92.13793663421235,0.0,0.0
3,I4,optimal,True,5.096444600028917,,,185144.34181201484,34.65234591384275,114.45095342984102,89.74294510791347,103.3705691352111,331.9510415032797,261.67084470645136,48.7804740440119,131.6256237631605,32.96153701430252,92.13793663421235,0.0,0.0
4,I1,optimal,True,5.2706363999750465,,,636.7059423401231,91.08548681776311,6.450410503994093,31.84093310468961,264.52277797638754,18.520462553814404,92.32115651520758,40.09943857920645,106.4843544740304,28.069607005444514,74.53904813182127,0.0,0.0
4,I3,optimal,True,3.428997699986212,,,126162.81259888907,90.98879404909046,6.353718054884931,31.744240312816956,267.0038742627259,21.001344588709,94.80210234661612,40.09943857920645,106.4843544740304,28.069607005444514,74.53904813182127,0.0,0.0
4,I4,optimal,True,2.575130800018087,,,186987.33992508973,89.74294510791347,5.107871384573675,30.498392660290403,261.67084470645136,15.668318507364448,89.46907449939654,40.09943857920645,106.4843544740304,28.069607005444514,74.53904813182127,0.0,0.0
5,I1,optimal,True,11.094597900053486,,,12479.885215401093,31.84093310468961,124.93953087652199,97.00995154497227,92.32115651520758,362.9243002868842,281.7433571553812,50.05358915933712,122.96959009769569,35.037512411535985,86.07871306838697,0.0,0.0
5,I3,optimal,True,4.10377119993791,,,124823.37351336122,31.744240312816956,124.4631769122313,96.64749558444656,94.80210234661612,365.40473917771516,284.2239473693862,50.05358915933712,122.96959009769569,35.037512411535985,86.07871306838697,0.0,0.0
5,I4,optimal,True,3.3088113999692723,,,184943.14794467489,30.498392660290403,123.59698000837594,95.66740276522769,89.46907449939654,360.071715703924,278.8909210308171,50.05358915933712,122.96959009769569,35.037512411535985,86.07871306838697,0.0,0.0
6,I1,optimal,True,2.2796513000503182,,,-3.242284225036116e-05,97.00995154497227,1.0556821125684906e-06,29.102986071010513,281.7433571553812,3.1339644084929758e-06,84.52300863495482,48.14039311814969,117.00749516982022,33.698275182704776,81.90524661887414,0.0,0.0
6,I3,optimal,True,7.023930899915285,,,126302.51558245694,96.64749558444656,9.241973348840556e-09,28.99424868178355,284.2239473693862,8.118268861787141e-08,85.2671842500671,48.14039311814969,117.00749516982022,33.698275182704776,81.90524661887414,0.0,0.0
6,I4,optimal,True,3.1666489000199363,,,187092.343111788,95.66740276522769,2.964777674886212e-06,28.70022198166193,278.8909210308171,6.960305174583503e-06,83.66727900434924,48.14039311814969,117.00749516982022,33.698275182704776,81.90524661887414,0.0,0.0
7,I1,optimal,True,10.852421600022353,,,13008.813586921984,29.102986071010513,129.48769323159263,91.18612296184278,84.52300863495482,378.2610041900364,270.2868395079125,61.98603682382112,165.7246861226795,37.24947540818835,109.95757974282951,0.0,0.0
7,I3,optimal,True,4.84346669993829,,,124814.90510476186,28.99424868178355,128.99930151730638,95.0896600400226,85.2671842500671,379.00471515326785,281.8448819635536,61.98603682382112,165.7246861226795,37.24947540818835,109.95757974282951,0.0,0.0
7,I4,optimal,True,3.6377295999554917,,,184550.32958385357,28.70022198166193,129.0849773211681,90.4528107635793,83.66727900434924,377.40487539943916,267.1756429025501,61.98603682382112,165.7246861226795,37.24947540818835,109.95757974282951,0.0,0.0
8,I1,optimal,True,4.563525600009598,,,70.29115098086325,91.18612296184278,6.481715383898263,31.89303735328224,270.2868395079125,14.683572682622232,91.3645520233458,47.11441760243556,140.1277892030116,32.98009232170489,98.0894524421081,0.0,0.0
8,I3,optimal,True,10.09342310007196,,,126119.47384851244,95.0896600400226,10.833629750017662,36.11043879728205,281.8448819635536,26.635699294470346,103.19845390792678,47.11441760243556,140.1277892030116,32.98009232170489,98.0894524421081,0.0,0.0
8,I4,optimal,True,2.4080101000145078,,,187009.48569402975,90.4528107635793,5.820844430580181,31.210430562647268,267.1756429025501,11.735368499459346,88.36744161467519,47.11441760243556,140.1277892030116,32.98009232170489,98.0894524421081,0.0,0.0
9,I1,optimal,True,80.33082369994372,,,12234.460693698784,31.89303735328224,119.86129443900538,93.47081731328844,91.3645520233458,355.6295907508985,276.3500791326327,70.71010498101678,209.19202152838446,49.497073486711756,146.4344150698691,0.0,0.0
9,I3,optimal,True,6.867573700030334,,,124522.0756584003,36.11043879728205,123.6990350702602,97.42245561309926,103.19845390792678,367.46297699356336,288.1836188542978,70.71010498101678,209.19202152838446,49.497073486711756,146.4344150698691,0.0,0.0
9,I4,optimal,True,4.181957900058478,,,185010.84399625126,31.210430562647268,119.17867589558813,92.78820217617458,88.36744161467519,352.6319656427574,273.3526081427651,70.71010498101678,209.19202152838446,49.497073486711756,146.4344150698691,0.0,0.0
10,I1,optimal,True,3.4073104999260977,,,-4.157808189212848e-05,93.47081731328844,2.953712283264038e-06,28.041247088438237,276.3500791326327,7.038265353761486e-06,82.90502772437263,50.775209438982166,150.4334410428467,35.54264660728751,105.30340872999268,0.0,0.0
10,I3,optimal,True,4.017384700011462,,,126230.41302307967,97.42245561309926,4.8635787912985915,32.63124181609432,288.1836188542978,10.282861514313389,93.65308853382321,50.775209438982166,150.4334410428467,35.54264660728751,105.30340872999268,0.0,0.0
10,I4,optimal,True,1.8580274999840185,,,187092.32529687413,92.78820217617458,6.835232311096249e-05,27.836508499478555,273.3526081427651,0.00015540697425574782,82.00589122771153,50.775209438982166,150.4334410428467,35.54264660728751,105.30340872999268,0.0,0.0
11,I1,optimal,True,9.501736899954267,,,12778.536007445939,28.041247088438237,126.71442715424752,97.11247277723352,82.90502772437263,371.53626058647404,284.9468899431235,36.432065209515216,114.0570667554308,25.502445646660647,79.83994672880156,0.0,0.0
11,I3,optimal,True,6.337569299968891,,,124430.72421268166,32.63124181609432,130.924773582036,101.43671378642586,93.65308853382321,382.28411100715095,295.6948036697118,36.432065209515216,114.0570667554308,25.502445646660647,79.83994672880156,0.0,0.0
11,I4,optimal,True,3.777394699980505,,,184877.63789696145,27.836508499478555,126.50966473655468,96.90771786543185,82.00589122771153,370.63685886965686,284.04756857707326,36.432065209515216,114.0570667554308,25.502445646660647,79.83994672880156,0.0,0.0
12,I1,maxIterations,False,300.6337173000211,,,nan,97.11247277723352,97.11247277723352,97.11247277723352,284.9468899431235,284.9468899431235,284.9468899431235,38.958019991032444,94.04012793465876,27.270613993722705,65.82808955426113,0.0,0.0
12,I3,optimal,True,6.867170499986969,,,126302.5157590342,101.43671378642586,8.248553638464118e-07,30.431014419678213,295.6948036697118,1.9004537442118508e-06,88.70844174887775,38.958019991032444,94.04012793465876,27.270613993722705,65.82808955426113,0.0,0.0
12,I4,optimal,True,2.666665800032206,,,187092.34343957252,96.90771786543185,1.6608968026883404e-06,29.07231317537633,284.04756857707326,4.124470856204841e-06,85.21426575279892,38.958019991032444,94.04012793465876,27.270613993722705,65.82808955426113,0.0,0.0
13,I1,optimal,True,7.497339099994861,,,12837.465097827391,97.11247277723352,127.67882311862522,118.50891780602436,284.9468899431235,373.2724737072707,346.77479807083193,22.64604317506415,65.0477173530495,15.852230222544904,45.53340214713466,0.0,0.0
13,I3,optimal,True,4.288932699942961,,,125537.67962537726,30.431014419678213,60.617715536555586,51.561705152298245,88.70844174887775,178.64681935451415,151.6653059214868,22.64604317506415,65.0477173530495,15.852230222544904,45.53340214713466,0.0,0.0
13,I4,optimal,True,3.247914499952458,,,185922.85869078088,29.07231317537633,59.63871896968819,50.468794276433435,85.21426575279892,173.53972081595666,147.04207535784332,22.64604317506415,65.0477173530495,15.852230222544904,45.53340214713466,0.0,0.0
14,I1,optimal,True,4.520823600003496,,,8545.582579600587,118.50891780602436,85.1516520120893,95.15883146681986,346.77479807083193,248.48780268198493,277.97390054422976,25.447096511131015,64.28730122805638,17.81296755779171,45.00111085963947,0.0,0.0
14,I3,optimal,True,7.034600800019689,,,125943.10013935308,51.561705152298245,18.20443829011506,28.211618321216704,151.6653059214868,53.378095476978714,82.86425852395776,25.447096511131015,64.28730122805638,17.81296755779171,45.00111085963947,0.0,0.0
14,I4,optimal,True,2.172947800019756,,,186763.03639535993,50.468794276433435,17.111529962553167,27.11870772798271,147.04207535784332,48.75486827696725,78.24102685295657,25.447096511131015,64.28730122805638,17.81296755779171,45.00111085963947,0.0,0.0
15,I1,optimal,True,3.3626550000626594,,,13278.723618958516,95.15883146681986,131.85182677122882,120.8439265516098,277.97390054422976,386.08990030379755,353.6550970340095,44.226492346847834,125.10064437482862,30.958544642793484,87.57045106238002,0.0,0.0
15,I3,optimal,True,5.379825899959542,,,125467.97286865601,28.211618321216704,64.5249626320753,53.63095908057556,82.86425852395776,192.94647646229842,159.92181046958206,44.226492346847834,125.10064437482862,30.958544642793484,87.57045106238002,0.0,0.0
15,I4,optimal,True,2.5036857000086457,,,185836.99237104968,27.11870772798271,63.81170215485697,52.80380354809033,78.24102685295657,186.35681179016535,153.92207547135823,44.226492346847834,125.10064437482862,30.958544642793484,87.57045106238002,0.0,0.0
16,I1,optimal,True,2.4820360000012442,,,8023.38043262841,120.8439265516098,80.74738875833751,92.77634904633489,353.6550970340095,233.35129801125308,269.44243552651733,37.867275659516864,106.65249209432871,26.507092961661805,74.65674446603009,0.0,0.0
16,I3,optimal,True,8.444442100008018,,,126035.75770208357,53.63095908057556,13.534419184344754,25.563381153213996,159.92181046958206,39.61779331788961,75.70899846339734,37.867275659516864,106.65249209432871,26.507092961661805,74.65674446603009,0.0,0.0
16,I4,optimal,True,3.3200374000007287,,,187040.62844390873,52.80380354809033,12.707266993411062,24.7362269304674,153.92207547135823,33.61806418283038,69.70926530417074,37.867275659516864,106.65249209432871,26.507092961661805,74.65674446603009,0.0,0.0
17,I1,optimal,True,2.923292899969965,,,13818.933909031415,92.77634904633489,136.88254391690202,123.65068440227137,269.44243552651733,401.77691992374895,362.07657240752206,22.568429533357964,65.43457119556498,15.797900673350574,45.804199836895485,0.0,0.0
17,I3,optimal,True,3.9094790999079123,,,125104.76923230651,25.563381153213996,69.28993148120321,56.17196427346252,75.70899846339734,208.04329463497623,168.34300030485855,22.568429533357964,65.43457119556498,15.797900673350574,45.804199836895485,0.0,0.0
17,I4,optimal,True,5.801704099983908,,,185732.04142788032,24.7362269304674,68.84242203049565,55.61056304258866,69.70926530417074,202.04353749881082,162.34325465330375,22.568429533357964,65.43457119556498,15.797900673350574,45.804199836895485,0.0,0.0
