"investor","node","x_power_mw","x_energy_mwh"
"I1","N1","0.0","0.0"
"I1","N2","0.0","0.0"
"I1","N3","0.0027339449398813063","0.010235785490029849"
"I1","N4","0.0","0.0"
"I1","N5","0.0","0.0"
"I1","N6","19.685756393282965","65.11752992128612"
"I1","N7","0.0","0.0"
"I1","N8","27.101180567155627","71.64919825473726"
"I1","N9","0.005866678818165171","0.02196485962515659"
"I2","N1","0.0","0.0"
"I2","N2","0.0","0.0"
"I2","N3","17.07376489776011","45.809025493810246"
"I2","N4","0.0","0.0"
"I2","N5","0.0","0.0"
"I2","N6","11.438217804899113","40.98175559846728"
"I2","N7","0.0","0.0"
"I2","N8","13.191641281904829","30.94402324158804"
"I2","N9","5.09191359873948","19.06412452581679"
"I3","N1","0.0","0.0"
"I3","N2","0.0","0.0"
"I3","N3","7.696343966515739","28.8151118280441"
"I3","N4","0.0","0.0"
"I3","N5","0.0","0.0"
"I3","N6","6.741888649345321","26.73810829608838"
"I3","N7","0.0","0.0"
"I3","N8","9.418069435308","26.445938987462355"
"I3","N9","9.141968744090285","34.22753099528321"
"I4","N1","0.0","0.0"
"I4","N2","0.0","0.0"
"I4","N3","15.125070724271655","37.13198295364127"
"I4","N4","0.0","0.0"
"I4","N5","0.0","0.0"
"I4","N6","11.015919225919404","40.14256372450065"
"I4","N7","0.0","0.0"
"I4","N8","12.479233167327566","29.52665013941642"
"I4","N9","8.176469331713163","30.00307097281903"
