scenario,probability,hour,node,p_charge_mw,p_discharge_mw,soc_mwh
low,0.25,11,N7,0.0,0.0,-0.0
low,0.25,11,N8,0.0,0.0,-0.0
low,0.25,11,N9,0.0,0.0,-0.0
low,0.25,12,N1,0.0,0.0,-0.0
low,0.25,12,N2,0.0,0.0,-0.0
low,0.25,12,N3,0.0,0.0,-0.0
low,0.25,12,N4,0.0,0.0,-0.0
low,0.25,12,N5,0.0,0.0,-0.0
low,0.25,12,N6,0.0,0.0,-0.0
low,0.25,12,N7,0.0,0.0,-0.0
low,0.25,12,N8,0.0,0.0,-0.0
low,0.25,12,N9,0.0,0.0,-0.0
low,0.25,13,N1,0.0,-0.0,-0.0
low,0.25,13,N2,0.0,0.0,-0.0
low,0.25,13,N3,0.0,0.0,-0.0
low,0.25,13,N4,0.0,0.0,-0.0
low,0.25,13,N5,0.0,0.0,-0.0
low,0.25,13,N6,34.93500000000026,0.0,32.69916000000024
low,0.25,13,N7,0.0,0.0,-0.0
low,0.25,13,N8,0.0,0.0,-0.0
low,0.25,13,N9,0.0,0.0,-0.0
low,0.25,14,N1,0.0,0.0,0.0
low,0.25,14,N2,0.0,0.0,-0.0
low,0.25,14,N3,0.0,0.0,-0.0
low,0.25,14,N4,-0.0,0.0,0.0
low,0.25,14,N5,0.0,0.0,-0.0
low,0.25,14,N6,28.533274941177098,0.0,59.406305344942005
low,0.25,14,N7,0.0,0.0,-0.0
low,0.25,14,N8,0.0,0.0,-0.0
low,0.25,14,N9,23.98472505882316,0.0,22.449702655058477
low,0.25,15,N1,0.0,-0.0,-0.0
low,0.25,15,N2,0.0,0.0,0.0
low,0.25,15,N3,0.0,0.0,-0.0
low,0.25,15,N4,0.0,0.0,-0.0
low,0.25,15,N5,0.0,0.0,-0.0
low,0.25,15,N6,8.670000000000272,0.0,67.52142534494226
low,0.25,15,N7,0.0,0.0,-0.0
low,0.25,15,N8,0.0,0.0,-0.0
low,0.25,15,N9,0.0,0.0,22.449702655058477
low,0.25,16,N1,0.0,0.0,-0.0
low,0.25,16,N2,0.0,0.0,-0.0
low,0.25,16,N3,0.0,0.0,-0.0
low,0.25,16,N4,-0.0,0.0,0.0
low,0.25,16,N5,0.0,0.0,-0.0
low,0.25,16,N6,0.0,0.0,67.52142534494226
low,0.25,16,N7,0.0,0.0,-0.0
low,0.25,16,N8,0.0,0.0,-0.0
low,0.25,16,N9,0.0,0.0,22.449702655058477
low,0.25,17,N1,0.0,0.0,-0.0
low,0.25,17,N2,0.0,0.0,-0.0
low,0.25,17,N3,0.0,0.0,-0.0
low,0.25,17,N4,0.0,0.0,-0.0
low,0.25,17,N5,0.0,0.0,-0.0
low,0.25,17,N6,0.0,0.0,67.52142534494226
low,0.25,17,N7,0.0,0.0,-0.0
low,0.25,17,N8,0.0,0.0,-0.0
low,0.25,17,N9,0.0,0.0,22.449702655058477
low,0.25,18,N1,0.0,-0.0,-0.0
low,0.25,18,N2,0.0,-0.0,-0.0
low,0.25,18,N3,0.0,0.0,-0.0
low,0.25,18,N4,0.0,0.0,-0.0
low,0.25,18,N5,0.0,-0.0,-0.0
low,0.25,18,N6,0.0,0.0,67.52142534494226
