investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,3.8313723649881416e-07,7.652236530144883e-07,1.997257327445532,3.831372364988141e-09
I1,N2,6.318355681294448e-07,1.2624467214842906e-06,1.998062130661267,6.318355681294449e-09
I1,N3,2.700376751138644e-07,5.386317670842373e-07,1.9946541417123265,2.700376751138644e-09
I1,N4,1.5408153114818482e-07,3.0704442511979e-07,1.9927399658593485,1.5408153114818482e-09
I1,N5,1.0144863869104202e-07,2.0360236186756101e-07,2.006950162117249,1.0144863869104202e-09
I1,N6,1.8408938912387038,3.681865730103688,2.000042342270052,0.018408938912387037
I1,N7,60.57436881907245,121.14873872199288,2.000000017892848,0.6057436881907244
I1,N8,64.13849710447442,300.16804149831023,4.679998051862209,0.6413849710447442
I1,N9,7.659736836286311e-08,1.640035135937707e-07,2.1411115955947766,7.659736836286311e-10
I2,N1,0.0015235797040061777,0.003047159176682865,1.9999998481671226,1.5235797040061778e-05
I2,N2,11.42955196872045,22.85910393459357,1.99999999975088,0.1142955196872045
I2,N3,8.483202738564973e-07,1.6966251299243804e-06,1.9999818255096695,8.483202738564974e-09
I2,N4,3.6019579234017403e-07,7.199775905301525e-07,1.9988506413484015,3.6019579234017402e-09
I2,N5,3.4547284543272296e-07,6.893824328017657e-07,1.9954750189939758,3.4547284543272296e-09
I2,N6,0.1271205430890282,0.2542410811238417,1.9999999602407716,0.001271205430890282
I2,N7,39.42563117675654,78.85126303402438,2.000000017260632,0.39425631176756537
I2,N8,33.920168713005864,158.7463601667444,4.679999132960591,0.33920168713005866
I2,N9,3.638675852435631e-07,8.036207567337795e-07,2.2085527519464465,3.6386758524356313e-09
