investor,time,charge_offer_mw,discharge_offer_mw
I1,1,10.0,9.99949716944234
I1,2,10.0,9.999497169442916
I1,3,10.0,9.999497169443927
I1,4,10.0,9.99949692418488
I1,5,10.0,6.2201570759607065
I1,6,10.0,9.99949716982822
I2,1,10.0,9.999989286026102
I2,2,10.0,9.999989286026102
I2,3,10.0,9.999989286026102
I2,4,10.0,9.999989286025986
I2,5,10.0,7.379422077469812
I2,6,10.0,9.999989286026102
I3,1,10.0,9.999952169481165
I3,2,10.0,9.999952169481167
I3,3,10.0,9.999952169481164
I3,4,10.0,9.999952169479746
I3,5,10.0,6.736581731498346
I3,6,10.0,9.999952169482004
I4,1,10.0,9.99998262038822
I4,2,10.0,9.99998262038822
I4,3,10.0,9.99998262038822
I4,4,10.0,9.999982621176901
I4,5,10.0,9.999999958521371
I4,6,10.0,9.999982620394224
