investor,optimal,termination,max_raw_deviation_mw,profit_eur_per_day,max_complementarity_product,max_complementarity_violation,absolute_primal_dual_gap_eur_per_day,recleared_profit_eur_per_day,embedded_reclear_profit_gap_eur_per_day,maximum_lmp_reclear_gap_eur_per_mwh,profitable_deviation_eur_per_day
I1,True,optimal,0.0004923552992153191,-23.384439463306506,9.99385855730069e-06,0.0,0.0015499251348956022,-23.3902877368603,0.005848273553795025,0.0008288685599353585,0.0
I2,True,optimal,3.542827018421235e-07,-39.95676973178949,9.993831968566175e-06,5.018097380813824e-16,0.0015163490788836498,-39.96369327303614,0.006923541246649734,0.0008290127135666125,0.0
I3,True,optimal,3.711639984693704e-05,3300.511401098776,9.995452401078286e-06,1.2881884230432323e-15,0.001421148146619089,3300.5038977831305,0.007503315645408293,0.0008136325141663292,0.0
I4,True,optimal,6.665491378399224e-06,4863.141886070232,9.99999966176294e-06,2.2001053160091302e-17,0.0014322330462164246,4860.998435337471,2.1434507327612664,0.06354686562347212,0.00018493420702725416
