time,node,demand_mw,lmp_eur_per_mwh,generation_mw,charge_mw,discharge_mw,net_injection_mw,demand_adjustment_mw
1,N1,45.0,28.575731289938265,107.3988617287622,0,0,62.45601319133062,0.05715146256844625
1,N2,35.0,43.98680867817967,0.0,0,0,-34.91202638266124,0.08797361733876466
1,N3,25.0,59.39764349228287,0.0,2.662782095630189,0.0,-27.543986808669384,0.1187952869608067
2,N1,45.0,28.795942685316824,109.89832988709568,0,0,64.95592177245479,0.057591885359115295
2,N2,40.0,44.07822755403935,0.0,0,0,-39.91184354490954,0.08815645509044741
2,N3,30.0,59.36005399232647,15.0,10.162798335506144,0.0,-25.04407822754524,0.11872010796090897
3,N1,45.0,51.38616254374612,112.0,0,0,67.10277232506692,0.10277232506693776
3,N2,50.0,55.34031306596161,5.683774723756374,0,0,-44.205544650133845,0.11068062610978709
3,N3,45.0,59.29587812685985,45.0,23.015819431163088,0.0,-22.897227674933088,0.11859175623000139
4,N1,55.0,28.804628341036043,105.11547073711269,0,0,50.173079993783226,0.057609256670550224
4,N2,55.0,57.67231417689703,44.538495384102816,0,0,-10.346159987566452,0.11534462833072513
4,N3,60.0,86.53999690891207,20.0,0.0,0.0,-39.826920006216774,0.1730799937832081
5,N1,65.0,28.43773357562246,99.94312453286014,0,0,35.000000000000014,0.05687546713986982
5,N2,45.0,58.892939335504515,64.88221412135253,0,0,19.99999999999999,0.11778587864745185
5,N3,90.0,110.35545070472688,4.443128255184451,0.0,30.336160843450237,-55.0,0.22071090136531155
6,N1,55.0,28.40449946079546,105.11227373902793,0,0,50.16908273793811,0.05680899891022912
6,N2,35.0,56.47293577404297,24.548888652598517,0,0,-10.338165475875952,0.11294587152549676
6,N3,40.0,84.54136898584697,0.0,0.0,0.0,-39.830917262062115,0.1690827379378774
