sweep,order,all_updates_optimal,all_audits_optimal,max_update_raw_deviation_mw,max_nash_deviation_mw,max_complementarity_violation,max_absolute_primal_dual_gap_eur_per_day,max_embedded_reclear_profit_gap_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_profitable_deviation_eur_per_day,market_objective_eur_per_day,update_solve_seconds,audit_solve_seconds,stable_sweeps,profit_I1_eur_per_day,profit_I2_eur_per_day,profit_I3_eur_per_day,profit_I4_eur_per_day
1,I1->I2->I3->I4,False,False,3.887507062790128,2.5272207163239955,9.764379940546495e-16,0.0017633392853895202,0.00029490168799384264,4.9968040045200723e-05,0.0567383327345965,23712.01135394066,0.6158052997197956,0.9077651998959482,0,-170.46179001672607,-214.47864522476124,3189.3022899724483,5536.895094423882
2,I2->I3->I4->I1,False,False,2.258945645816918,4.471911320508671,1.064680854011987e-13,0.0016646834264975041,0.0003630116575550346,7.148564189307649e-05,0.07817681130481446,23712.01135394066,0.6989923999644816,0.9128214996308088,0,-170.46179001672652,-214.47864522476183,3189.3022899724474,5536.895094423884
3,I3->I4->I1->I2,True,True,4.735242111898478,3.0779073818213005,8.927237149528878e-16,0.0016535002941964194,0.004734104077485313,0.0007695653046297934,124.34229828832319,23712.01188266257,0.8171462998725474,1.0703218998387456,0,-170.44267017131028,-214.45933155183303,3189.315709982091,5536.817208259807
4,I4->I1->I2->I3,True,True,2.7327143227982855,0.896497076692345,1.7753554418515543e-15,0.001587570022820728,0.006024659717240866,0.0007700543553497141,158.18184102735268,23712.07040516038,1.2732053997460753,0.6942818998359144,0,-170.1584180537987,-214.11495240525858,3189.534036316585,5535.452834726028
5,I1->I2->I3->I4,True,False,0.8964373683656746,0.24638527781158448,3.441504701581839e-16,0.0015135709290916566,0.008148236367560457,0.0009382800218062926,143.2650417833741,23712.121651889694,0.7944137000013143,0.5703835997264832,0,-170.06346068853657,-213.98453323548526,3189.6170325901726,5534.900347459022
6,I2->I3->I4->I1,False,True,0.24638527781158448,0.10409784384176923,1.5125503078760053e-15,0.0015136421279748902,0.030245362770983775,0.0009406215660021644,117.02381375805848,23712.313228665524,0.5592447998933494,0.5408361996524036,0,-123.5235871023152,-159.05254023226718,3224.8382911858575,5322.651799506499
7,I3->I4->I1->I2,False,False,0.10409784384176923,0.04406148573049684,3.963136795782661e-16,0.0015138778981054202,0.05753261069821747,0.0017459638823709156,41.64536273919413,23713.0446914425,0.5387537004426122,0.486445999937132,0,-65.53354904189737,-90.14260145376511,3268.4235408827067,5056.398007632398
8,I4->I1->I2->I3,False,False,0.0441387486482947,0.018649740704058004,2.125294095137968e-14,0.0016920333546295296,0.109403828356335,0.003287304940116087,20.936498307404378,23713.52268083964,0.49669899977743626,0.4394990000873804,0,-41.23404513450495,-61.18397981839908,3286.9876366409762,4943.703579194452
9,I1->I2->I3->I4,True,True,0.018648621024934364,0.005173852931116052,7.2638129755727105e-16,0.0015146148289204575,0.28972842954499356,0.00862127328137774,5.804650073816788,23713.816828746218,0.5644220001995564,0.5219884996768087,0,-28.358954654199437,-45.83415816006095,3296.769375871308,4883.940397685015
10,I2->I3->I4->I1,True,False,0.00517367985199968,0.0014429485005322817,9.550807382272755e-16,0.0015150256513152272,0.7458783390075041,0.022135895328759148,1.6183279480307817,23713.9032221454,0.5572321999352425,0.5869587999768555,0,-24.775022835274882,-41.60246797982464,3299.4657884432218,4867.394925708943
