sweep,order,all_updates_optimal,all_audits_optimal,max_update_raw_deviation_mw,max_nash_deviation_mw,max_complementarity_violation,max_absolute_primal_dual_gap_eur_per_day,max_embedded_reclear_profit_gap_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_profitable_deviation_eur_per_day,market_objective_eur_per_day,update_solve_seconds,audit_solve_seconds,stable_sweeps,profit_I1_eur_per_day,profit_I2_eur_per_day,profit_I3_eur_per_day,profit_I4_eur_per_day
11,I3->I4->I1->I2,False,False,0.0014429485005322817,0.0006238284376989256,5.913973884137194e-16,0.001515383646619739,0.0064083992324412975,0.0007701685637542255,0.699701309119007,23713.922475153777,0.5406829998828471,0.6053385003469884,0,-23.984424876459826,-40.67241585534907,3300.051667660592,4863.763439018315
12,I4->I1->I2->I3,False,False,0.0006237900365215765,0.00017143126192742386,7.900111138453477e-16,0.0015153835847740993,0.007174869688697072,0.0007701729951250513,0.19208406399476985,23713.93316215444,0.6474756998941302,0.6420070000458509,0,-23.55270004692332,-40.15746497748671,3300.3797938139683,4861.7563649310705
13,I1->I2->I3->I4,False,False,0.00017124730296114166,7.235698016661019e-05,3.5984138970119417e-16,0.0015153835665842053,0.006408903977430214,0.0007701078834472241,0.08115533664602026,23713.935501870674,0.592347200261429,0.5938826999627054,0,-23.45864804900637,-40.04512244963672,3300.4519755469664,4861.317755634975
14,I2->I3->I4->I1,True,False,7.235698016661019e-05,2.9122916294532786e-05,5.4728801244956874e-15,0.001515674972324632,0.006411345925599221,0.0007703621869552535,0.03266404687906288,23713.936526153033,0.8795211997348815,0.5076311002485454,0,-23.417286760825363,-39.99621099815198,3300.4831369642193,4861.126364518253
15,I3->I4->I1->I2,False,False,2.912081839667735e-05,2.6549343356663258e-05,2.870030582396109e-16,0.001515674975962611,2.066882610074572,0.06127830421325342,0.1183713124910355,23713.93692429151,0.5273099003825337,0.5917326998896897,0,-23.401293273633,-39.97710710127242,3300.4954116055574,4861.051777946366
16,I4->I1->I2->I3,True,False,2.6549343356663258e-05,0.0021631881331440894,1.8413359145115992e-14,0.001756936664605746,0.006414649367272318,0.0007707562360863562,0.006583475177620812,23713.93707745562,0.6066994001157582,1.2471763999201357,0,-23.395263862055373,-39.96985781396029,3300.5000285909978,4861.023474199139
17,I1->I2->I3->I4,False,False,0.002163202764897676,6.204047231506138e-08,0.0,0.0015370626679214183,0.005418921855564918,0.0007705174470160614,0.0,23713.937217872182,0.4094916002359241,0.48513579997234046,0,-23.38958724927042,-39.96309710814256,3300.504297096219,4860.997171040646
18,I2->I3->I4->I1,False,False,6.204047231506138e-08,4.00477508932795e-08,5.4616290708006405e-16,0.0015165854056249373,0.0064146821592032666,0.000770764268821722,0.0,23713.937217357772,0.47497079987078905,0.5911125000566244,0,-23.38960769631214,-39.96312197620915,3300.5042812478955,4860.997267342121
19,I3->I4->I1->I2,False,False,4.00477508932795e-08,0.000757081310498009,1.3953965608817663e-16,0.0015158801907091402,0.007178967852269125,0.0007708395672594293,0.00010396723837402533,23713.937217025712,0.4580091000534594,0.5185976999346167,0,-23.38962089506245,-39.96313802877151,3300.504271017659,4860.997329505596
20,I4->I1->I2->I3,False,False,0.000757081310498009,0.0004921028518243276,6.946419620655429e-16,0.001515880194347119,0.007178880645369645,0.0007708396472878576,7.3104554303427e-05,23713.937218060502,0.5847951001487672,0.7696245000697672,0,-23.389578475927266,-39.96308796552049,3300.504301666913,4860.997135635766
21,I1->I2->I3->I4,False,False,0.0004921028518243276,0.0018432786877120577,1.5308896455640833e-16,0.0016943364316830412,0.005420730754948977,0.0007708292680774775,0.001994434157040814,23713.937218301453,0.6074765999801457,0.4507408000063151,0,-23.389568065096768,-39.96307593658062,3300.504307903823,4860.997090484181
22,I2->I3->I4->I1,False,True,0.0018432786877120577,0.0009650143944082146,7.004086654365585e-16,0.0015160516450123396,2.1147512769866808,0.06269647080254259,0.050011895315947186,23713.937140465783,0.5549292000941932,0.799517800565809,0,-23.392807609943617,-39.96687038588766,3300.5018663685564,4861.011926899254
23,I3->I4->I1->I2,False,False,0.0009650143944082146,0.0021560663617385956,4.711775118882455e-17,0.0016126419832289685,2.1168165777226022,0.06275885761263567,0.03250774176285631,23713.937076086477,0.5712052998133004,0.434037699829787,0,-23.395448028937125,-39.970002903883426,3300.4998418671094,4861.024150133138
24,I4->I1->I2->I3,False,False,0.0021560663617385956,0.0007617022649935024,1.757089077396969e-16,0.0015162159179453738,2.1230508727576307,0.06294243221788776,0.021132648721504665,23713.937086360744,0.48400160018354654,0.424983800156042,0,-23.395111301872788,-39.96951986392898,3300.5001497342478,4861.022339725714
25,I1->I2->I3->I4,False,False,0.000761702265290154,0.0015358888709453566,7.835829505893775e-15,0.0017411671942682005,2.1269152337254127,0.06305690765719874,0.013736234753196186,23713.937093029323,0.4359374998603016,0.6807290997821838,0,-23.394892831632205,-39.969206360229066,3300.5003495469173,4861.021164803701
26,I2->I3->I4->I1,False,False,0.0015358888709453566,0.0011648204611844903,1.4315647911825952e-15,0.0015162783711275551,0.007210416499219718,0.0007763471215298523,0.001736274746320987,23713.937180212375,0.4956688997335732,0.4980701997410506,0,-23.39135816249845,-39.96498951535193,3300.5029694424707,4861.004835093009
27,I3->I4->I1->I2,False,False,0.0011648204611844903,0.00032181920706797484,6.797571449278204e-16,0.0015163078278419562,2.1369224069721895,0.06335343372059299,0.008928553799705696,23713.93718556135,1.955674499971792,0.8278741000685841,0,-23.39114372779511,-39.96475163163285,3300.5031173087814,4861.003875357899
28,I4->I1->I2->I3,False,False,0.0007571332987286183,0.000492136645210195,1.278677155537722e-15,0.0015163258685788605,0.0072618197391420836,0.0007860385329223618,0.0008579144476641432,23713.937197171883,0.7934213997796178,0.5926895998418331,0,-23.390672519635245,-39.96420878518367,3300.5034616144812,4861.001727049416
29,I1->I2->I3->I4,False,False,0.00020918248488577262,0.000492136645210195,2.675497014360809e-16,0.0015163205571298022,0.007305981338504353,0.0007936488471287362,0.0006778996764182921,23713.937196882256,0.5167614999227226,0.5048338999040425,0,-23.39069247006907,-39.96422905985608,3300.5034513219466,4861.001800353093
30,I2->I3->I4->I1,False,False,0.000492136645210195,0.00013596861460740683,1.4169707111661635e-15,0.0015163001044129487,2.1411218534067302,0.0634778354128116,0.0037723356090282323,23713.937207667106,0.48442840040661395,0.6375161996111274,0,-23.390256190122074,-39.96370745992863,3300.5037763264913,4860.999780459798
31,I3->I4->I1->I2,False,False,0.00013596861460740683,0.0003169688415649574,2.0878746953843102e-14,0.0015159399990807287,0.0073527155059309734,0.0008022430887351106,0.00036231432119393503,23713.937204793212,0.6399556999094784,0.6368157998658717,0,-23.390374393181986,-39.96385180143187,3300.503686958065,4861.000330493522
32,I4->I1->I2->I3,False,False,3.213903765342252e-07,8.837959974528076e-05,9.42048464076589e-16,0.001516339681984391,2.1418476865283083,0.06349934189911721,0.002452028576954035,23713.937209197087,0.56008330010809,0.5386572000570595,0,-23.390197505046473,-39.9636405238129,3300.5038227118266,4860.9995055875215
33,I1->I2->I3->I4,False,False,0.0003198888193800542,5.744673971719294e-05,8.575436226936708e-18,0.0014206236955942586,2.142129320694039,0.06350768027465392,0.00159381856519758,23713.93720795765,0.8434270999860018,0.4406661996617913,0,-23.390248756455065,-39.963702457420595,3300.503781793838,4860.999745586613
34,I2->I3->I4->I1,False,False,5.744673971719294e-05,0.0002079277325979234,7.015759088075541e-16,0.0015163465686782729,2.142271862065172,0.06351193835217117,0.0010359820598750957,23713.937206687675,0.48134880024008453,0.516231999732554,0,-23.390302750967805,-39.96376452169932,3300.5037422419186,4860.999988880621
35,I3->I4->I1->I2,False,False,0.0002079277325979234,0.00013515302618927194,1.6011834089580464e-16,0.001421146524080541,2.1425197997177747,0.06351927220767095,0.0010359820671510533,23713.9372095642,0.5340956998988986,0.48916910006664693,0,-23.390185670547567,-39.96362551762829,3300.5038283929794,4860.999450033224
36,I4->I1->I2->I3,False,False,3.73403808957562e-05,2.3390571257664305e-08,9.81241434042139e-17,0.0015163483694777824,0.006859190303870832,0.0008216979388961931,2.623464288831201e-05,23713.93720839057,0.5159320998936892,0.4979560000356287,0,-23.390234289768216,-39.963682966884335,3300.503791971448,4860.999673269159
37,I1->I2->I3->I4,False,True,2.4271247610840874e-05,0.002164208191777206,2.457604502996149e-15,0.0017063911000150256,2.1426090566483253,0.063521907205633,0.0027484612594719238,23713.937207461153,0.4868502002209425,0.5999328002799302,0,-23.390272582879135,-39.963728299296264,3300.50376316302,4860.999849571773
38,I2->I3->I4->I1,True,True,0.00013515302618927194,8.784946702355967e-05,1.2961122161392647e-15,0.0015163489697442856,2.142752784365257,0.06352615426268216,0.00028451415982999606,23713.937208336472,0.6014364999718964,0.6189681999385357,0,-23.390236765207106,-39.96368639954426,3300.503788431268,4860.999686951332
39,I3->I4->I1->I2,True,False,0.002164198723422217,0.0007574695361327599,2.8841986557875524e-14,0.0015163329662755132,0.007503312068820378,0.0008290699329265294,0.0,23713.937232999284,0.6723784999921918,0.7809548997320235,0,-23.38927020048274,-39.9624815315384,3300.5045463274773,4860.995074412702
40,I4->I1->I2->I3,False,True,0.0007574695361327599,0.0004923552992153191,1.2881884230432323e-15,0.0015499251348956022,2.1434507327612664,0.06354686562347212,0.00018493420702725416,23713.93721604387,0.5471328999847174,0.6935203997418284,0,-23.389952622156073,-39.96329591292226,3300.5040259760763,4860.998250403264
