investor,node,desired_power_mw,desired_energy_mwh,desired_ratio_hours,private_headroom_limit_mw,access_shadow_price_eur_per_mw_day
I1,N1,1.5934070151546684e-06,3.511327502857713e-06,2.203660125418035,100.0,8.45320432677091e-08
I2,N1,4.9550147601402254e-08,1.0917896292868104e-07,2.203403384525767,100.0,8.422254408947302e-08
I3,N1,0.0,0.0,0.0,100.0,9.081817948179445e-08
I4,N1,3.514038259150201e-07,2.2590468964068847e-06,6.42863489185001,100.0,9.091502176477614e-08
I1,N2,7.972867019210686,51.10811914466621,6.410256062407763,100.0,9.907980103371534e-08
I2,N2,0.012120276357333598,0.07767308412474938,6.408524181690943,100.0,2.109279944793193e-06
I3,N2,2.3883458379102636,15.309907937811046,6.410255874503833,100.0,9.30426083364452e-08
I4,N2,8.172871005394956,43.28300480827402,5.295936370426338,100.0,1.3395748863267838e-07
I1,N3,3.925488283417734e-06,8.003085781168789e-06,2.0387491194346112,100.0,9.924252735117028e-08
I2,N3,1.5821020434672725e-05,3.1755075602717503e-05,2.007144591832037,100.0,-1.2771008688772644e-06
I3,N3,7.66630743597403e-07,1.6436672875433368e-06,2.14401431363221,100.0,9.081212887461571e-08
I4,N3,1.0263842445505564e-06,6.0737448989241265e-06,5.917613146510993,100.0,9.099593085282676e-08
I1,N4,1.577648046183656e-06,3.4805029153952167e-06,2.206133949720017,100.0,8.473599467002337e-08
I2,N4,6.407815617892931e-08,1.4186892930049647e-07,2.2139983070728078,100.0,8.431629060860673e-08
I3,N4,0.0,0.0,0.0,100.0,9.081818090804912e-08
I4,N4,3.4549744459131313e-07,2.2175258739832393e-06,6.4183568032068585,100.0,9.091346920080554e-08
I1,N5,1.6126743118942082e-06,3.709293758437615e-06,2.300088574041195,100.0,8.517858622036979e-08
I2,N5,1.4386224928538308e-07,2.9198621406944414e-07,2.0296235845042565,100.0,7.895345421036453e-08
I3,N5,7.715974455789527e-09,6.67227546238025e-08,8.647352969622446,100.0,9.081817199742077e-08
I4,N5,3.5084769198473513e-07,2.2280866016244898e-06,6.350580757764912,100.0,9.092961227424213e-08
I1,N6,1.1144281954912107e-06,2.482319240576535e-06,2.2274375779611297,100.0,9.608289192294325e-08
I2,N6,1.6406233014980424e-07,3.642726035208985e-07,2.2203305486901446,100.0,7.161626338212871e-08
I3,N6,3.0498230179519734e-07,6.956822325054587e-07,2.281057715187111,100.0,9.081682551044285e-08
I4,N6,3.8813140064649124e-07,2.516839772047588e-06,6.484504391696762,100.0,9.093593367210194e-08
I1,N7,7.97464087764618,51.119489379538834,6.410255980658959,100.0,9.890549560643114e-08
I2,N7,2.3762245383680995,15.23218442765769,6.410246246391587,100.0,-1.8941067302791965e-06
I3,N7,2.0236507835345543e-08,1.3779339083566583e-07,6.809148690911619,100.0,9.081826024962843e-08
I4,N7,50.55465694207815,126.14779466882348,2.4952754562918793,100.0,1.4882542384465515e-07
I1,N8,53.87074080594158,107.74148172622856,2.0000000021225883,100.0,3.235142859917894e-07
I2,N8,53.87036646719363,107.7407330693591,2.000000002505493,100.0,2.991567976297153e-06
I3,N8,53.8703959123399,107.74079195267184,2.0000000023759252,100.0,1.969978838046642e-07
I4,N8,56.2587403989144,302.3950895437849,5.375077497284672,100.0,2.0702838292625467e-07
I1,N9,3.916864439972895e-06,7.986027311774485e-06,2.0388827426025875,100.0,9.925121644526859e-08
I2,N9,1.6160906573663024e-05,3.243517968248362e-05,2.0070148623556996,100.0,-1.3229968919399124e-06
I3,N9,8.383093480919339e-07,1.7859774051246543e-06,2.130451496443045,100.0,9.080985373259817e-08
I4,N9,1.0187513738528184e-06,6.033246978365399e-06,5.922197636453973,100.0,9.099412408686273e-08
