Time,Node,Load_MW,RES_MW,RES_Act_MW,RES_Curtail_MW,Conv_MW,Import_MW,Export_MW,Price_EUR,aFRR_Price_Up_EUR,aFRR_Price_Down_EUR,Flow_L12_MW,Limit_L12_MW,Flow_L14_MW,Limit_L14_MW,Flow_L15_MW,Limit_L15_MW,Flow_L23_MW,Limit_L23_MW,Flow_L34_MW,Limit_L34_MW,Flow_L45_MW,Limit_L45_MW,I1_Power_MW,I1_SOC_Perc,I1_Ch_MW,I1_Dis_MW,I1_R_Up_MW,I1_R_Down_MW,I2_Power_MW,I2_SOC_Perc,I2_Ch_MW,I2_Dis_MW,I2_R_Up_MW,I2_R_Down_MW,I3_Power_MW,I3_SOC_Perc,I3_Ch_MW,I3_Dis_MW,I3_R_Up_MW,I3_R_Down_MW,I4_Power_MW,I4_SOC_Perc,I4_Ch_MW,I4_Dis_MW,I4_R_Up_MW,I4_R_Down_MW,Total_BESS_Power_MW
1,N1,41.94,280.83,280.83,0,599.8334973023184,0.0,832.4678459877179,67.99793328021056,644.6173538025682,644.7753332535325,371.63750971297367,400,229.67535627714636,400,231.15497999759788,400,107.416868684697,400,-155.58873312808208,240,-185.27740602156985,240,-1.100103795803304,211.79218345009215,6.91774497104959,5.817641175246286,2.1582300993313126,2.28199651154729,-1.9474888509353914,0.0,2.248718631737924,0.3012297808025325,1.8949873709882081,1.9665781479851887,-1.5977148238506338,0.0,2.690731001013279,1.093016177162645,1.8916953572793564,1.9646532880839414,-1.6029958172739385,0.0,2.8791825716335366,1.2761867543595982,1.8941499076245925,1.9829007913028198,-6.248303287863267
1,N2,251.64,0.0,0.0,0,0.0,264.2206410282766,0.0,68.11337813699846,644.6173538025682,644.7753332535325,371.63750971297367,400,229.67535627714636,400,231.15497999759788,400,107.416868684697,400,-155.58873312808208,240,-185.27740602156985,240,-4.803035476081601,198.9211827467472,9.349990409509186,4.5469549334275845,2.184959649291922,1.9425178874570812,-2.5359043621500086,0.0,2.838188961658398,0.3022845995083892,1.894362549619571,1.7799547987245896,-2.644118035602965,0.0,3.570270403668006,0.9261523680650408,1.895682162748066,1.803431941025126,-2.5975831544808994,0.0,3.697184022415872,1.0996008679349727,1.8916281632397496,1.769205772177534,-12.580641028315474
1,N3,251.64,0.0,0.0,0,0.0,263.0056018127789,0.0,68.10754882845775,644.6173538025682,644.7753332535325,371.63750971297367,400,229.67535627714636,400,231.15497999759788,400,107.416868684697,400,-155.58873312808208,240,-185.27740602156985,240,-4.19122414545053,214.87706180506686,8.92788984250545,4.736665697054921,2.1863782407629917,1.9891492757656934,-2.3751587429119736,0.0,2.678005686613113,0.3028469437011393,1.8940975910770472,1.8263506701252692,-2.417734495552195,0.0,3.3696485897811153,0.9519140942289203,1.8935221942673626,1.8362386837536793,-2.381484428903088,0.0,3.508741207165158,1.12725677826207,1.8922623245109487,1.8215196859772593,-11.365601812817786
1,N4,251.64,0.0,0.0,0,0.0,259.36402917063424,0.0,68.0571176747293,644.6173538025682,644.7753332535325,371.63750971297367,400,229.67535627714636,400,231.15497999759788,400,107.416868684697,400,-155.58873312808208,240,-185.27740602156985,240,-1.986796410217094,213.0454715144615,7.422756109855414,5.43595969963832,2.1697970159465063,2.1788953627097736,-2.043267990553474,0.0,2.344916050035235,0.3016480594817609,1.8945009546298877,1.9354592538666093,-1.847449494234713,0.0,2.883002578419989,1.035553084185276,1.8928770629215128,1.9292326234050852,-1.8465152756671173,0.0,3.0596610457048152,1.213145770037698,1.8948790174848613,1.9391940594435608,-7.724029170672399
1,N5,41.94,0.0,0.0,0,0.0,45.87757397602811,0.0,68.03493972179291,644.6173538025682,644.7753332535325,371.63750971297367,400,229.67535627714636,400,231.15497999759788,400,107.416868684697,400,-155.58873312808208,240,-185.27740602156985,240,1.016311458163143,216.04231603618337,5.92764104920909,6.943952507372233,2.133913291177884,2.439501965860741,-1.9712271298082924,0.0,2.2699550058735865,0.2987278760652941,1.8957210589340012,1.964199134025432,-1.7198758603946294,0.0,2.7652848431258814,1.045408982731252,1.9009468214981624,1.9407885951271808,-1.6882801703096846,0.0,2.931080583947007,1.2428004136373223,1.901786603289918,1.9619759974106075,-4.363071702349464
2,N1,40.440000000000005,325.6,325.6,0,599.7798922656223,0.0,865.4540050448024,61.02174420164653,644.6173538025682,644.7753332535325,383.11979467162746,400,236.24941725972616,400,246.08479311344894,400,110.04603374990394,400,-160.6794986557582,240,-188.78921241648493,240,-4.833390494914273,219.63820575769236,9.396280172244024,4.562889677329752,2.1582300993313126,2.28199651154729,-5.167126604912983,0.0,5.458337746071345,0.29121114115836233,1.8949873709882081,1.9665781479851887,-4.760921235789726,0.0,5.5917378169416745,0.8308165811519486,1.8916953572793564,1.9646532880839414,-4.716320001679869,0.0,5.727482002593613,1.0111620009137432,1.8941499076245925,1.9829007913028198,-19.47775833729685
2,N2,242.64000000000001,0.0,0.0,0,0.0,273.0737609217234,0.0,61.21636176912663,644.6173538025682,644.7753332535325,383.11979467162746,400,236.24941725972616,400,246.08479311344894,400,110.04603374990394,400,-160.6794986557582,240,-188.78921241648493,240,-8.430761996346279,213.72724208031744,12.167396118085941,3.736634121739663,2.184959649291922,1.9425178874570812,-7.24883585526937,0.0,7.536750138448477,0.28791428317910717,1.894362549619571,1.7799547987245896,-7.337517279037075,0.0,8.088760109661093,0.7512428306240182,1.895682162748066,1.803431941025126,-7.4166457911055845,0.0,8.33359881249863,0.9169530213930462,1.8916281632397496,1.769205772177534,-30.433760921758306
2,N3,242.64000000000001,0.0,0.0,0,0.0,270.7255324056621,0.0,61.19606843598388,644.6173538025682,644.7753332535325,383.11979467162746,400,236.24941725972616,400,246.08479311344894,400,110.04603374990394,400,-160.6794986557582,240,-188.78921241648493,240,-7.980920861907341,228.80673574606928,11.830223740912007,3.8493028790046666,2.1863782407629917,1.9891492757656934,-6.631231099754338,0.0,6.920209083463891,0.2889779837095529,1.8940975910770472,1.8263506701252692,-6.734255198424007,0.0,7.5002550248674735,0.7659998264434664,1.8935221942673626,1.8362386837536793,-6.7391252456113,0.0,7.673356805064249,0.9342315594529498,1.8922623245109487,1.8215196859772593,-28.085532405696988
2,N4,242.64000000000001,0.0,0.0,0,0.0,264.35913102045293,0.0,61.10527143069885,644.6173538025682,644.7753332535325,383.11979467162746,400,236.24941725972616,400,246.08479311344894,400,110.04603374990394,400,-160.6794986557582,240,-188.78921241648493,240,-5.766646067448762,222.70186353096992,10.091789402776286,4.325143335327524,2.1697970159465063,2.1788953627097736,-5.468514762121389,0.0,5.759326763932081,0.2908120018106921,1.8945009546298877,1.9354592538666093,-5.251787592778141,0.0,6.061948133659083,0.8101605408809422,1.8928770629215128,1.9292326234050852,-5.2321825981387855,0.0,6.217288238666534,0.9851056405277481,1.8948790174848613,1.9391940594435608,-21.719131020487076
2,N5,40.440000000000005,0.0,0.0,0,0.0,57.29558069696409,0.0,61.0654265631322,644.6173538025682,644.7753332535325,383.11979467162746,400,236.24941725972616,400,246.08479311344894,400,110.04603374990394,400,-160.6794986557582,240,-188.78921241648493,240,-2.3064623693482194,218.88377217417053,7.894569228298106,5.588106858949887,2.133913291177884,2.439501965860741,-5.1876629072306555,0.0,5.4776232792142245,0.28996037198356894,1.8957210589340012,1.964199134025432,-4.869424958510468,0.0,5.685709366451238,0.8162844079407706,1.9009468214981624,1.9407885951271808,-4.813102688857871,0.0,5.811270422874449,0.9981677340165775,1.901786603289918,1.9619759974106075,-17.176652923947213
