iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,6.035114600323141,18509.611524845877,0.011196955223567784,149.45565687315073,439.96323643538045,4.2,8.472800080365273,60.0
1,I2,optimal,9.245325000025332,7889.302106123994,0.01117463014088571,100.59132497521732,257.98896910862226,1.2599999999999998,2.0772828867788857,18.0
1,I3,optimal,14.997622900176793,404072.08256428863,0.01114988885819912,61.48352251349123,203.39669540369582,0.6999998961843913,2.322825689936752,9.999998516919876
1,I4,optimal,6.09361770004034,351612.4312785749,0.01052276964765042,56.67723956706277,187.01915955284886,0.6999967356122287,2.3404664948360407,9.999953365888983
2,I1,optimal,6.764512800145894,9412.46244757716,0.011073122499510646,131.9742029692418,442.0688297760265,0.6999999502034905,0.6999999312836539,14.249677860480823
2,I2,optimal,7.757035799790174,4894.745600252672,0.01104248670162633,88.5414321997448,258.620645837151,1.1786519382197056,0.6999998909565408,24.157855457959535
2,I3,optimal,7.28720960021019,404165.50501310406,0.011122651223558933,53.03005333099337,203.58620317037904,0.6999997229741106,0.7116258178587809,5.736157161197058
2,I4,optimal,5.817164599895477,351618.0812675967,0.011131078761536628,54.14119984903465,187.07601363110325,0.7228403885719695,0.7451607290137803,16.944444524978216
3,I1,optimal,7.159938199911267,8926.184828090285,0.011085502163041383,133.16409022538673,442.0858807715189,0.6474610475398183,0.6731754942350698,5.283237396711321
3,I2,optimal,7.34357580030337,4852.972856568336,0.011055595125071704,88.39443003077169,258.62575986496614,0.9186101817538334,0.9065820494039584,15.226285036093715
3,I3,optimal,5.571667299605906,404163.1120404713,0.011125369521323591,51.53922072648959,203.58774193177263,0.6300007718696097,0.6300008008442264,11.393425605140095
3,I4,optimal,4.519461600109935,351617.3633930249,0.011135261913295835,53.69395107031102,187.07647724724026,0.6300083897810846,0.6300114031615806,4.273889051389894
4,I1,optimal,7.797432400286198,8848.580822824311,0.011092836910393089,133.61512519232846,442.0860145874627,0.5447823571176998,0.720994991925095,4.757087515703745
4,I2,optimal,6.939800600055605,4839.755007786762,0.01106708636507392,88.37372969540563,258.62579873763315,0.69999968366173,0.6999996777481463,9.030365739021292
4,I3,optimal,6.941104399971664,404163.0824712281,0.011128308833576739,51.10381091383806,203.58775844302454,0.2584806858401441,0.4257860534711148,7.084186962487635
4,I4,optimal,10.459932699799538,351617.3544646631,0.011141362017951906,53.5633289948314,187.0764828453551,0.6999999656781134,0.6999999553758396,7.196687759040877
5,I1,optimal,5.61345830000937,8847.382180734696,0.011100294243078679,133.75150167561193,442.08601203328425,0.5059478163934551,0.49298168944501886,6.824818927305861
5,I2,optimal,5.142469999846071,4842.257213620513,0.011072436056565493,88.36301824779862,258.625796692356,0.6999991668019815,0.6999987605686081,8.981954832090171
