investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,76.87348934950096,166.74209225374452,2.169045449409237,0.7687348934950096
I1,N2,0.0034301666498776557,0.01604236341637245,4.676846653192386,3.4301666498776555e-05
I1,N3,0.005214898387508732,0.013699659621303536,2.6270233096235183,5.2148983875087314e-05
I1,N4,0.005046137477269874,0.013144107630293448,2.604785876227225,5.046137477269874e-05
I1,N5,0.00542057197298735,0.014593201255602536,2.6921884495447492,5.4205719729873505e-05
I1,N6,0.005423445586088214,0.01455987220546715,2.6846166287378197,5.423445586088214e-05
I1,N7,46.06650570744433,215.18406023869778,4.67116089953235,0.4606650570744433
I1,N8,0.004502170120041536,0.017260966718835015,3.83392147755531,4.502170120041537e-05
I1,N9,0.0004048867699425238,0.0018928518235349627,4.675015248840224,4.048867699425239e-06
I2,N1,0.0008730228080799785,0.004085312429715013,4.6795025191836155,8.730228080799784e-06
I2,N2,0.007564192919508822,0.03540007984240846,4.679954652016881,7.564192919508823e-05
I2,N3,0.006207782471709099,0.029051993543593575,4.679930985983004,6.207782471709099e-05
I2,N4,4.4861536048665976e-05,0.00020952918942447165,4.670575461285444,4.4861536048665977e-07
I2,N5,0.006087450942371687,0.028488862820966427,4.679933044333839,6.0874509423716874e-05
I2,N6,64.75635762981936,202.02716318742583,3.1198043031128617,0.6475635762981936
I2,N7,0.0012241275762741744,0.005728453247945952,4.679621110555653,1.2241275762741743e-05
I2,N8,19.672039483248906,45.110564246348105,2.293131034266201,0.19672039483248904
I2,N9,2.7361071626184354e-07,9.097908751504431e-07,3.3251288092085534,2.7361071626184354e-09
I3,N1,1.0220565445912286e-06,2.9467388145966514e-06,2.883146563848088,1.0220565445912286e-08
I3,N2,9.9679830733807e-07,2.917381553717638e-06,2.926752114485876,9.967983073380699e-09
I3,N3,9.476511496195758e-07,2.7910507779576147e-06,2.945230192648478,9.476511496195758e-09
I3,N4,1.2032219111361332e-06,3.307438396719956e-06,2.748818290382472,1.2032219111361333e-08
I3,N5,9.975415838754938e-07,2.922204926688768e-06,2.9294066271762533,9.975415838754939e-09
I3,N6,8.957428150243867e-07,2.6990143210664735e-06,3.013157656188392,8.957428150243866e-09
I3,N7,1.553265064757197e-06,3.6465099730384797e-06,2.34764178746819,1.553265064757197e-08
I3,N8,63.847242471157294,239.94137798460065,3.7580538907846033,0.638472424711573
I3,N9,9.622545455308534e-07,2.8399539191256922e-06,2.951354121750556,9.622545455308534e-09
I4,N1,8.617694426682415e-07,2.3194791093203533e-06,2.6915309298258463,8.617694426682415e-09
I4,N2,8.601299588720775e-07,2.313981154646294e-06,2.6902692212705963,8.601299588720775e-09
I4,N3,8.64302911763131e-07,2.3246719937299238e-06,2.689649614841305,8.64302911763131e-09
I4,N4,7.909636521525928e-07,2.2062214213145625e-06,2.7892829402594823,7.909636521525927e-09
I4,N5,8.58687967302101e-07,2.3137926786807334e-06,2.6945674875943637,8.58687967302101e-09
I4,N6,8.631482026969378e-07,2.3317451434266895e-06,2.7014423897785655,8.631482026969378e-09
I4,N7,39.15563766658455,175.7635364664767,4.488843674648502,0.39155637666584553
I4,N8,16.177283241264654,46.413063313855325,2.869027056129296,0.16177283241264653
I4,N9,8.521319884058099e-07,2.299353518288876e-06,2.698353716999364,8.521319884058099e-09
