iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw
1,I3,optimal,19.96825910000007,141580.03039901578,6.040087798227483e-07,0.00030498503474518657,36.91676967085688,101.71577112283887,0.6999999790021377,0.6999999559724791,,,,,35.906179404471054
1,I4,optimal,3.367755000001125,211093.26793542076,3.903168817657218e-06,0.001362886803690344,60.34431341615691,208.13490604555662,0.6999996018627969,0.699999578202957,,,,,39.38846616098794
1,I1,optimal,4.865250799999558,2578.0705044465585,21.585441802883693,0.0008507356396876276,75.17239035949933,223.26588483637175,0.592120949639617,0.5986755908277646,,,,,29.505238677936227
1,I2,optimal,136.49548480000158,3541.619505710822,35.36048384615624,0.0002287409151904285,35.239164590827755,130.24531726787094,0.6999996742614489,0.6999996589411823,,,,,30.16852851616751
2,I3,optimal,4.1530180999998265,141220.37592043815,18.431498688925114,0.0010403656051494181,34.99797347905153,99.86357277983525,0.699996311293279,0.699996142127264,,,,,7.984222225906503
2,I4,optimal,3.0818099999996775,210781.1676142542,18.530335105084017,0.001457583624869585,62.0332873440144,210.49625475200284,0.620597219653723,0.6279194373248925,,,,,9.138678373901522
2,I1,optimal,7.581006200000047,7054.362104673866,0.012422419152083641,0.001783118408638984,67.34524786599245,204.70623996713883,0.6317174991538023,0.6348187056183744,,,,,12.839349237327196
2,I2,optimal,101.35656759999802,3819.7194752653113,35.36019526452988,0.00024102849420160055,32.46220054320074,121.7902368433206,0.6999996890399806,0.6999996439766084,,,,,9.050568572980406
3,I3,optimal,8.804974700000457,141186.27415769553,18.431698965241058,0.0010147907887585461,36.01746607007162,102.207128715785,0.699998240231617,0.6999977449144048,,,,,5.6159235004233885
3,I4,optimal,2.7866955999998027,210770.9418026952,18.53188383335925,0.001461976207792759,63.01852918874951,212.07444613832868,0.6864611372568727,0.6874676217082084,,,,,4.309395799289327
3,I1,optimal,3.4249777999993967,7075.977898457027,17.97150232906475,0.00031760422280058265,65.13358228251542,199.6317069158623,0.6000864520802052,0.6038144061786523,,,,,4.4917441434494805
3,I2,optimal,145.13982510000096,3822.5840265654083,35.36116558081999,0.020180858147796243,31.67715106581977,119.49979127102564,0.7,0.7,,,,,2.715174592417308
4,I3,optimal,4.172397500000443,141186.40329779242,18.431763287986236,0.001050954160746187,36.33771385306897,102.8846634483495,0.6999869383517329,0.6999867746640667,,,,,4.879555072859517
4,I4,optimal,3.036420899999939,210770.9787900434,18.533324755670773,0.00146315130405128,63.3184215390648,212.54024492955617,0.6496627899657968,0.6996133537590057,,,,,1.3564905138761958
4,I1,optimal,4.128913900000043,7079.717715827103,32.92493188766218,0.0002820869558490813,64.47140796787835,198.18580930580225,0.6997058828845152,0.6996112383380997,,,,,2.094511892496039
4,I2,optimal,2.53939790000004,3822.9932101809563,35.36117048635507,0.00024752074386924505,31.44202078605928,118.85411689688354,0.5701830877124667,0.5701828494177537,,,,,0.8145472681606668
5,I3,optimal,3.70716689999972,141186.49308055436,18.437361377535264,0.0010488731786608696,36.43391479734503,103.07741651739927,0.699767433584011,0.6997669207941116,,,,,1.4637518407716605
5,I4,optimal,4.2000251000008575,210771.00599332724,18.540594819728568,0.001463452645111829,63.408420408440186,212.6768200107777,0.19508062576923157,0.21006577401874998,,,,,0.40725607658824003
5,I1,optimal,3.9471878000003926,7080.46299128035,32.92848673544325,0.0002866813447326422,64.27276264959598,197.77452258783777,0.440346408917719,0.45325254096674217,,,,,0.6290662984538843
5,I2,optimal,3.921334599999682,3823.202541367189,35.36122012862908,0.00025183154502883554,31.371480907562074,118.66716791639587,0.1710561985957666,0.17105617816138874,,,,,0.2930505034418456
6,I3,optimal,3.9894750000003114,141186.49346821243,18.45205245850231,0.0010407821973785758,36.46279153565249,103.13522242832626,0.21574948171687292,0.2157494937283358,,,,,0.43678856498191365
6,I4,optimal,4.221269100000427,210770.38981780142,18.478116090469662,0.0017647072672843933,63.4354209915387,212.7177798264193,0.05810033695410584,0.06259590303235728,,,,,0.12157253334223483
6,I1,optimal,4.410877199999959,7080.531427997868,32.927983937651106,0.0002803837996907532,64.2131560855725,197.6531701749024,0.1317559030144031,0.13550481598779526,,,,,0.18822271859200443
6,I2,optimal,2.5409923999995954,3823.2215989661545,35.361148529730066,0.0002370610018260777,31.350319640334124,118.61171681071852,0.3288697611165197,0.31660522747751024,,,,,4.15935245689268
7,I3,optimal,5.242329200000313,141186.49290480462,18.514309288889695,0.0010509986313991249,36.47142992116157,103.15254855585347,0.06520277611670842,0.0652027776763348,,,,,0.1317421128413585
7,I4,optimal,3.0398060999996233,210771.00610907195,18.680816698291625,0.0014685170608572662,63.443525870516304,212.73008957244795,0.01787478775549795,0.01922343114956855,,,,,0.0371135969081422
7,I1,optimal,3.331579999998212,7080.536002549583,32.92883192780638,0.0002845584531314671,64.19528748361206,197.6169298609459,0.03983710110242508,0.04107168472236124,,,,,0.056910144432035834
7,I2,optimal,3.354112700000769,3823.2234533480296,35.36148795478406,0.00023827911354601383,31.343971634829032,118.59513780556561,0.04677667188688291,0.03453116966299232,,,,,0.45621462136871926
8,I3,optimal,3.98986590000095,141186.49274168338,18.70390293721395,0.0010496252216398716,36.47408300991877,103.15790803993832,0.020698993863254314,0.020698984244282008,,,,,0.04113265945100153
8,I4,optimal,4.007970499998919,210771.00716254627,19.073219108851855,0.00146806106204167,63.445953952930864,212.73378792587997,0.005172270039186068,0.005576873831719554,,,,,0.010857427244641116
8,I1,optimal,4.319696900000054,7080.532492885977,32.92848829665648,0.0002923603169620037,64.1898953829633,197.60597307545328,0.011945093872460906,0.012316621246730013,,,,,0.017064419817801296
8,I2,maxIterations,361.276877899998,nan,nan,nan,31.343971634829032,118.59513780556561,0.0,0.0,,,,,0.0
9,I3,optimal,3.8077692999995634,141186.45058877728,18.87531160362092,0.0009961093310266733,36.47691989642244,103.16362531440207,0.006197221115934028,0.006197211584415132,,,,,0.015286336798521205
9,I4,optimal,3.697464699998818,210770.9931461661,19.13131764019851,0.001467494119424373,63.44730479672486,212.73615232710407,0.000742635938501511,0.00086401435075871,,,,,0.002990498584541257
9,I1,optimal,3.9139844000001176,7080.331535687306,32.92812235909205,0.0002787711564451456,64.18526981510041,197.59659947161208,0.0036788264436224336,0.003821232661106377,,,,,0.005255466348032048
9,I2,maxIterations,360.28524879999895,nan,nan,nan,31.343971634829032,118.59513780556561,0.0,0.0,,,,,0.0
10,I3,optimal,4.246491199999582,141186.40425935725,18.95441759742806,0.0010509606217965484,36.48002440438889,103.16987676304629,0.0019803085343426167,0.0019802998285429266,,,,,0.008034016346172734
10,I4,optimal,3.9429612000003544,210770.36356079415,19.217726716571907,0.0017925628344528377,63.44839714692317,212.738234947142,0.0012793764575708825,0.001316315345706829,,,,,0.003387990788965567
10,I1,optimal,4.012582100000145,7080.136621132652,32.91860326310185,0.0017812452279031277,64.1809262203089,197.5878403548444,0.001169385125960779,0.0012363716481658387,,,,,0.004534777368927934
10,I2,optimal,3.264608899999075,3823.2437426574133,35.36048925394749,0.0017675880226306617,31.34236296757775,118.59078284186101,0.4054623574587573,0.2948692405364326,,,,,3.658699489242764
11,I3,optimal,7.911536600000545,141186.40325847146,20.119545611816175,0.0010508847190067172,36.48089319179436,103.17166140862653,0.0007332919356308665,0.0007327764602238742,,,,,0.0026217322130399623
11,I4,optimal,3.819321900000432,210770.98003207412,20.357862263745655,0.00146862881956622,63.44872763188195,212.73888221535472,0.00035700725195201416,0.0003675413221224322,,,,,0.0009819070792538298
11,I1,optimal,3.5927641999987827,7080.1364887972995,32.928601086914135,0.00023538689129054546,64.1796821871061,197.58527255719437,0.005314668623895423,0.006789045271725416,,,,,0.009369752233450157
11,I2,optimal,2.5639248000006774,3823.2438459370787,35.361166247645734,0.00020415731705725193,31.341868352246124,118.5894512872469,0.39749969845640337,0.21121395133731977,,,,,2.129819099793961
12,I3,optimal,3.674173299999893,141186.27612087489,23.633719417965477,0.001779395854100585,36.48117392116554,103.17227125146269,0.00023621590548317242,0.00023699433837104784,,,,,0.0007386700119980105
12,I4,optimal,2.9727785000013682,210770.9825588688,25.61424793464699,0.001468392729293555,63.44881203089698,212.739058718169,0.00034917631687010153,0.0003464683371353528,,,,,0.0004988233098144309
12,I1,optimal,4.143732200000159,7080.137052783859,32.92781998646208,0.00023367482936009765,64.179339639304,197.5845324227184,0.004027099389978207,0.005062994369659209,,,,,0.0057529991285402956
12,I2,maxIterations,360.9391734000001,nan,nan,nan,31.341868352246124,118.5894512872469,0.0,0.0,,,,,0.0
