scenario,probability,embedded_spot_revenue_eur_per_day,embedded_degradation_eur_per_day,embedded_operating_profit_eur_per_day,reference_spot_revenue_eur_per_day,reference_degradation_eur_per_day,reference_operating_profit_eur_per_day,max_embedded_vs_reference_lmp_diff_eur_per_mwh,max_embedded_vs_reference_charge_diff_mw,max_embedded_vs_reference_discharge_diff_mw,embedded_lower_level_objective_eur_per_day,reference_lower_level_objective_eur_per_day,strong_duality_gap_eur_per_day
low,0.25,3507.790801303157,1352.520562037334,2155.270239265823,1937.045658287219,1352.5198185600111,584.525839727208,29.90870059753528,5.141045868128913e-06,18.09699488183241,430862.2137025415,430862.2156208894,0.00012739980593323708
base,0.5,10161.021700022584,2724.5814143789494,7436.4402856436345,9081.897427337552,2724.580835065637,6357.3165922719145,29.908698342302777,1.8528447103260959e-06,29.59580588095465,406108.38735651126,406108.3891551586,0.00010322767775505781
high,0.25,10514.45330819178,2814.493191010228,7699.960117181552,10514.453866517475,2814.49248541492,7699.961381102556,2.9350292023585575e-05,12.150544309817306,28.805338202123682,386700.13869514136,386700.1404371902,8.092791540548205e-05
