scenario,hour,node,embedded_charge_mw,embedded_discharge_mw,reference_charge_mw,reference_discharge_mw
low,1,N1,2.2611372485237358e-07,2.0831618282856305e-07,0.0,0.0
low,1,N2,2.200385682167017e-07,2.1331439841549842e-07,0.0,0.0
low,1,N3,1.5794559575863001e-07,0.06569371637102403,0.0,0.0
low,1,N4,2.261137668846998e-07,2.0831621034232645e-07,0.0,0.0
low,1,N5,2.2374471778114932e-07,2.0953916337217306e-07,0.0,0.0
low,1,N6,1.5794533418803326e-07,0.7288422448486934,0.0,0.0
low,1,N7,2.2032425242623264e-07,2.1367643682820047e-07,0.0,0.0
low,1,N8,1.579453633765581e-07,0.38979885063270164,0.0,0.0
low,1,N9,1.5794559455038445e-07,0.06592759379462736,0.0,0.0
low,2,N1,2.2639422153940095e-07,2.0803925142857155e-07,0.0,0.0
low,2,N2,2.2026612691209284e-07,2.130689120047321e-07,0.0,0.0
low,2,N3,1.5794559612524395e-07,0.06563718282366236,0.0,0.0
low,2,N4,2.2639426370058236e-07,2.080392788377296e-07,0.0,0.0
low,2,N5,2.240045900841056e-07,2.0927513376480392e-07,0.0,0.0
low,2,N6,1.5794533424513363e-07,0.7284312122766409,0.0,0.0
low,2,N7,2.2055252592834157e-07,2.134300194911979e-07,0.0,0.0
low,2,N8,1.5794536349611312e-07,0.3893095916946261,0.0,0.0
low,2,N9,1.5794559491639302e-07,0.06587063898414487,0.0,0.0
low,3,N1,2.2636408164245488e-07,2.0806895525692238e-07,0.0,0.0
low,3,N2,2.1989697476139356e-07,2.134676674386909e-07,0.0,0.0
low,3,N3,1.579455946812315e-07,0.06589966628509389,0.0,0.0
low,3,N4,2.2636412368661652e-07,2.080689827775284e-07,0.0,0.0
low,3,N5,2.2385444140289302e-07,2.0942757340678416e-07,0.0,0.0
low,3,N6,1.5794533451474827e-07,0.7239357156500383,0.0,0.0
low,3,N7,2.2018233044973433e-07,2.1383016218240509e-07,0.0,0.0
low,3,N8,1.5794536380068237e-07,0.3878044861576163,0.0,0.0
low,3,N9,1.5794559346334614e-07,0.06613763148882942,0.0,0.0
low,4,N1,2.2602172578002546e-07,2.0840730298931164e-07,0.0,-0.0
low,4,N2,2.189147878646298e-07,2.1454067827898246e-07,0.0,0.0
low,4,N3,1.579455913763218e-07,0.0664973176647624,0.0,0.0
low,4,N4,2.2602176746058834e-07,2.0840733084049084e-07,0.0,-0.0
low,4,N5,2.2328676797772887e-07,2.1000723343943549e-07,0.0,0.0
low,4,N6,1.5794533497335327e-07,0.7159161012217445,0.0,-0.0
low,4,N7,2.1919735358014333e-07,2.149069522919519e-07,0.0,0.0
low,4,N8,1.579453642666859e-07,0.385425058423778,0.0,0.0
low,4,N9,1.5794559014498806e-07,0.06674475958116219,0.0,-0.0
low,5,N1,2.2534926347266772e-07,2.0907730291814925e-07,0.0,0.0
low,5,N2,2.1727674601857374e-07,2.1637026605480733e-07,0.0,0.0
low,5,N3,1.579455841293435e-07,0.06778386751242299,0.0,0.0
low,5,N4,2.2534930448702997e-07,2.090773313815021e-07,0.0,0.0
low,5,N5,2.2227340739819476e-07,2.1105540448019215e-07,0.0,0.0
low,5,N6,1.5794533360695855e-07,0.7418587175570666,0.0,0.0
low,5,N7,2.1755480574449828e-07,2.1674292136169908e-07,0.0,0.0
low,5,N8,1.57945362875867e-07,0.39291842596553006,0.0,0.0
low,5,N9,1.5794558289361698e-07,0.06804750295640041,0.0,0.0
low,6,N1,2.2431195699521628e-07,2.1012511850964433e-07,0.0,0.0
low,6,N2,2.1491338002565344e-07,2.1910211834657714e-07,0.0,0.0
low,6,N3,1.5794557500827096e-07,0.0694908861071882,0.0,0.0
low,6,N4,2.2431199695247607e-07,2.1012514797354935e-07,0.0,0.0
low,6,N5,2.20764957677944e-07,2.126483561156653e-07,0.0,0.0
low,6,N6,1.579453325800934e-07,0.7625392292494865,0.0,0.0
low,6,N7,2.1518527672798265e-07,2.1948413731004532e-07,0.0,0.0
low,6,N8,1.5794536178691067e-07,0.39894012233920073,0.0,0.0
low,6,N9,1.5794557380642425e-07,0.06977073580186367,0.0,0.0
low,7,N1,2.228572183492413e-07,2.1162460310935932e-07,0.0,0.0
low,7,N2,2.1172845966162792e-07,2.2296673295427266e-07,0.0,0.0
low,7,N3,1.579455637346284e-07,0.07173467959067646,0.0,0.0
low,7,N4,2.2285725670491442e-07,2.116246341528977e-07,0.0,0.0
low,7,N5,2.1868986092709175e-07,2.1490607170156343e-07,0.0,0.0
low,7,N6,1.579453317711725e-07,0.7796302542695075,0.0,0.0
low,7,N7,2.1199263657922883e-07,2.2336171849572375e-07,0.0,0.0
low,7,N8,1.5794536087258273e-07,0.4040728782519947,0.0,0.0
low,7,N9,1.5794556266642139e-07,0.07201717645625075,0.0,0.0
low,8,N1,2.2091328593000945e-07,2.1368503318241488e-07,0.0,0.0
low,8,N2,2.0759906715325582e-07,2.2831808004607194e-07,0.0,0.0
low,8,N3,1.5794555003269824e-07,0.07467756327447869,0.0,0.0
low,8,N4,2.2091332209353345e-07,2.1368506651741015e-07,0.0,0.0
low,8,N5,2.1595337517332336e-07,2.1800729134753955e-07,0.0,0.0
low,8,N6,1.5794533113411397e-07,0.7938626101375357,0.0,0.0
low,8,N7,2.0785412233572828e-07,2.2873063098863641e-07,0.0,0.0
low,8,N8,1.5794536010783038e-07,0.408394974182734,0.0,0.0
low,8,N9,1.579455493016589e-07,0.07491532902747991,0.0,0.0
low,9,N1,2.1838773161836625e-07,2.1646367785869952e-07,0.0,0.0
low,9,N2,2.0237565371734053e-07,2.357040939379711e-07,0.0,0.0
low,9,N3,1.5794553424684058e-07,0.07842502232911318,0.0,0.0
low,9,N4,2.183877649380184e-07,2.1646371439337443e-07,0.0,0.0
low,9,N5,2.124366413838417e-07,2.2221490272182456e-07,0.0,0.0
low,9,N6,1.5794533137359596e-07,0.7895508796488506,0.0,0.0
low,9,N7,2.0262040159652528e-07,2.3614044884992179e-07,0.0,0.0
low,9,N8,1.5794536022750025e-07,0.4074886480600063,0.0,0.0
low,9,N9,1.5794553418416543e-07,0.07850366024825513,0.0,0.0
low,10,N1,2.1516602509143233e-07,2.201862263177044e-07,0.0,0.0
low,10,N2,1.958809950912902e-07,2.46001490194034e-07,0.0,0.0
low,10,N3,1.579455205084335e-07,0.08224050839495287,0.0,0.0
low,10,N4,2.1516605451453548e-07,2.2018626758516464e-07,0.0,0.0
low,10,N5,2.0799600785136388e-07,2.279196700348365e-07,0.0,0.0
low,10,N6,1.5794533718286664e-07,0.6822073336284117,0.0,0.0
low,10,N7,1.961145178742917e-07,2.464707410336057e-07,0.0,0.0
low,10,N8,1.5794536577412718e-07,0.3773140125885333,0.0,0.0
low,10,N9,1.5794552157149333e-07,0.08190679193571437,0.0,0.0
low,11,N1,3.674170882160023e-07,1.4860389560373172e-07,0.0,0.0
low,11,N2,3.123286541125242e-07,1.6516614367617526e-07,0.0,0.0
low,11,N3,2.535296488887797e-07,4.530306475163201e-07,0.0,0.0
low,11,N4,3.6741717749623284e-07,1.4860391788919654e-07,0.0,0.0
low,11,N5,3.464247620652328e-07,1.5365024075845577e-07,0.0,0.0
low,11,N6,2.5352925379405507e-07,4.530327097782539e-07,0.0,0.0
low,11,N7,3.13053693874052e-07,1.6535253507874333e-07,0.0,0.0
low,11,N8,2.5352931694496645e-07,4.530324842214392e-07,0.0,0.0
low,11,N9,2.5352964955235904e-07,4.530306462220444e-07,0.0,0.0
