investor,node,power_mw,energy_mwh
I1,N1,0.0,0.0
I1,N2,0.0,0.0
I1,N3,2.178089407774176e-05,5.510420109386805e-05
I1,N4,0.0,0.0
I1,N5,0.0,0.0
I1,N6,0.002293085533367314,0.004618057107128265
I1,N7,0.0,0.0
I1,N8,2.2828038807043356e-05,5.58706207023577e-05
I1,N9,2.4567415352636058e-05,6.353199340097301e-05
I2,N1,0.0,0.0
I2,N2,0.0,0.0
I2,N3,2.377119522454474e-05,6.20558544116836e-05
I2,N4,0.0,0.0
I2,N5,0.0,0.0
I2,N6,5.303685638943882e-05,0.00013379742806699727
I2,N7,0.0,0.0
I2,N8,0.00011705177901293448,0.0002432000074643305
I2,N9,3.192485144112454e-05,8.370045378851848e-05
I3,N1,0.0,0.0
I3,N2,0.0,0.0
I3,N3,17.707784135663395,54.69555949882819
I3,N4,0.0020549128623693277,0.004109861595458894
I3,N5,0.0,0.0
I3,N6,32.640293753423485,88.94755657377257
I3,N7,0.0,0.0
I3,N8,8.216616884702942,22.799582324698306
I3,N9,17.576356057743016,51.37339732625533
I4,N1,10.349792518775136,20.69958507354538
I4,N2,0.0,0.0
I4,N3,20.79465091291969,63.81101414231455
I4,N4,10.272553317279826,20.545106670496136
I4,N5,0.0,0.0
I4,N6,41.34475432301653,91.98104606862623
I4,N7,0.0,0.0
I4,N8,33.08692288492634,89.16793460108977
I4,N9,25.63209336687569,84.40595561292818
