fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
final_gamma1e4,hard_min_norm,,N1,1,60.00000059602806,60.00000059602806,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,2,60.00000059540318,60.00000059540318,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,3,60.000000594938,60.000000594938,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,4,60.0000005947238,60.0000005947238,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,5,60.00000059516778,60.00000059516778,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,6,60.00000059626607,60.00000059626607,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,7,60.000000598038376,60.000000598038376,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,8,60.00000059940591,60.00000059940591,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,9,60.00000059991497,60.00000059991497,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,10,52.200000550144956,52.200000550144956,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,11,60.00000059186339,60.00000059186339,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,12,60.00000058684511,60.00000058684511,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,13,60.00000058978897,60.00000058978897,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,14,60.00000057101784,60.00000057101784,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,15,60.00000057396442,60.00000057396442,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,16,60.00000058980814,60.00000058980814,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,17,52.20000054039812,52.20000054039812,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,18,60.00000059628223,60.00000059628223,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,19,60.000000598214385,60.000000598214385,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,20,60.000000599009674,60.000000599009674,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,21,60.000000599058595,60.000000599058595,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,22,60.000000598395644,60.000000598395644,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,23,60.00000059748019,60.00000059748019,0.0,0.0
final_gamma1e4,hard_min_norm,,N1,24,60.0000005967435,60.0000005967435,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,1,60.00000058348825,60.00000058348825,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,2,60.00000058259449,60.00000058259449,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,3,60.00000058202133,60.00000058202133,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,4,60.000000581813175,60.000000581813175,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,5,60.000000582480084,60.000000582480084,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,6,60.00000058396425,60.00000058396425,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,7,60.000000586322905,60.000000586322905,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,8,60.00000058787203,60.00000058787203,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,9,60.000000587704385,60.000000587704385,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,10,52.2000005331478,52.2000005331478,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,11,52.20000051827382,52.20000051827382,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,12,52.20000051694929,52.20000051694929,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,13,52.200000515795026,52.200000515795026,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,14,52.200000514918266,52.200000514918266,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,15,52.20000051421266,52.20000051421266,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,16,52.20000051469648,52.20000051469648,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,17,52.2000005292824,52.2000005292824,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,18,60.00000058233659,60.00000058233659,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,19,60.0000005866749,60.0000005866749,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,20,60.00000058873973,60.00000058873973,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,21,60.00000058907483,60.00000058907483,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,22,60.00000058798616,60.00000058798616,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,23,60.00000058639243,60.00000058639243,0.0,0.0
final_gamma1e4,hard_min_norm,,N2,24,60.00000058503768,60.00000058503768,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,1,60.00000061108061,60.00000061108061,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,2,60.00000061051385,60.00000061051385,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,3,60.000000610196615,60.000000610196615,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,4,60.00000061015027,60.00000061015027,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,5,60.000000610678406,60.000000610678406,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,6,60.00000061157317,60.00000061157317,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,7,60.00000061275471,60.00000061275471,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,8,60.00000061361061,60.00000061361061,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,9,60.00000061380511,60.00000061380511,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,10,52.20000055429555,52.20000055429555,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,11,46.72097608321039,46.72097608321039,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,12,35.04173464259981,35.04173464259981,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,13,35.041734638675806,35.041734638675806,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,14,35.04173463884805,35.04173463884805,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,15,35.04173464582469,35.04173464582469,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,16,35.041734661346,35.041734661346,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,17,52.20000054656478,52.20000054656478,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,18,60.00000061169433,60.00000061169433,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,19,60.0000006132459,60.0000006132459,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,20,60.000000614211984,60.000000614211984,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,21,60.000000614450116,60.000000614450116,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,22,60.0000006140029,60.0000006140029,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,23,60.000000613201465,60.000000613201465,0.0,0.0
final_gamma1e4,hard_min_norm,,N3,24,60.00000061237904,60.00000061237904,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,1,60.00000061059473,60.00000061059473,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,2,60.00000060970098,60.00000060970098,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,3,60.00000060912782,60.00000060912782,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,4,60.00000060891966,60.00000060891966,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,5,60.00000060958658,60.00000060958658,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,6,60.000000611070746,60.000000611070746,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,7,60.00000061342939,60.00000061342939,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,8,60.000000614978525,60.000000614978525,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,9,60.000000614810894,60.000000614810894,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,10,52.20000055429563,52.20000055429563,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,11,60.00000059728462,60.00000059728462,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,12,60.00000059036655,60.00000059036655,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,13,60.00000059344816,60.00000059344816,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,14,60.00000057504554,60.00000057504554,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,15,60.000000578697694,60.000000578697694,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,16,60.00000059507409,60.00000059507409,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,17,52.20000054656484,52.20000054656484,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,18,60.00000060944309,60.00000060944309,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,19,60.00000061378138,60.00000061378138,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,20,60.0000006158462,60.0000006158462,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,21,60.00000061618131,60.00000061618131,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,22,60.00000061509264,60.00000061509264,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,23,60.00000061349892,60.00000061349892,0.0,0.0
final_gamma1e4,hard_min_norm,,N4,24,60.00000061214417,60.00000061214417,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,1,60.00000064413896,60.00000064413896,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,2,60.00000064172047,60.00000064172047,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,3,60.000000640130814,60.000000640130814,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,4,60.00000063941442,60.00000063941442,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,5,60.00000064109782,60.00000064109782,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,6,60.00000064563146,60.00000064563146,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,7,60.00000065408906,60.00000065408906,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,8,60.00000066072066,60.00000066072066,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,9,60.00000066207775,60.00000066207775,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,10,52.20000060003774,52.20000060003774,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,11,57.304878665658066,57.304878665658066,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,12,57.30487865919857,57.30487865919857,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,13,57.30487865940126,57.30487865940126,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,14,57.30487864624313,57.30487864624313,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,15,57.30487864814576,57.30487864814576,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,16,57.30487866021448,57.30487866021448,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,17,52.200000591798705,52.200000591798705,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,18,60.0000006572182,60.0000006572182,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,19,60.00000066460597,60.00000066460597,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,20,60.00000066616255,60.00000066616255,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,21,60.00000066395643,60.00000066395643,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,22,60.000000658293544,60.000000658293544,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,23,60.0000006521256,60.0000006521256,0.0,0.0
final_gamma1e4,hard_min_norm,,N5,24,60.00000064772138,60.00000064772138,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,1,60.000000614088265,60.000000614088265,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,2,60.000000613489306,60.000000613489306,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,3,60.000000613126176,60.000000613126176,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,4,60.00000061304232,60.00000061304232,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,5,60.000000613512675,60.000000613512675,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,6,60.00000061435302,60.00000061435302,0.0,0.0
final_gamma1e4,hard_min_norm,,N6,7,60.00000061533132,60.00000061533132,0.0,0.0
