fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I1,N1,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,7,0.0,0.0,0.0
