hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
1,N1,-9.996900450594705e-09,0.0,4000.0,-57624.67672296931
1,N2,-9.996900423448112e-09,0.0,4000.0,-57624.68482614696
1,N3,-9.99690043148497e-09,0.0,4000.0,-57624.68242718268
1,N4,-9.996900423448113e-09,0.0,4000.0,-78809.43025401542
1,N5,-9.996899913636487e-09,371.25,3999.999999730723,9.967159605853701e-09
1,N6,-9.996899940087257e-09,35.64,3999.9999971950338,9.657912560976019e-09
1,N7,-9.996900423448112e-09,0.0,4000.0,-57624.68482614695
1,N8,-9.99689993977555e-09,39.6,3999.99999747553,9.69212130487842e-09
1,N9,-9.996900423448113e-09,0.0,4000.0,-57624.68482614687
2,N1,-9.99690045472398e-09,0.0,4000.0,-57624.675490381276
2,N2,-9.996900427267182e-09,0.0,4000.0,-57624.68368617442
2,N3,-9.996900433394497e-09,0.0,4000.0,-57624.68185719649
2,N4,-9.996900427267182e-09,0.0,4000.0,-57624.68368617437
2,N5,-9.996899918786987e-09,354.375,3999.9999997179007,9.96559577756102e-09
2,N6,-9.996899944035003e-09,34.02,3999.999997061464,9.641622682927257e-09
2,N7,-9.996900427267182e-09,0.0,4000.0,-57624.68368617443
2,N8,-9.996899943737507e-09,37.8,3999.9999973553176,9.677460414634535e-09
2,N9,-9.996900427267182e-09,0.0,4000.0,-57624.68368617435
3,N1,-9.996900457787092e-09,0.0,4000.0,-57624.67457604009
3,N2,-9.996900430020072e-09,0.0,4000.0,-57624.68286444898
3,N3,-9.996900434770937e-09,0.0,4000.0,-57624.68144633378
3,N4,-9.996900430020073e-09,0.0,4000.0,-57624.682864448856
3,N5,-9.996899922427561e-09,343.125,3999.9999997086516,9.964467770267938e-09
3,N6,-9.996899946873731e-09,32.94,3999.9999969651185,9.629872606957658e-09
3,N7,-9.996900430020072e-09,0.0,4000.0,-57624.68286444899
3,N8,-9.99689994658571e-09,36.6,3999.9999972686064,9.666885346261895e-09
3,N9,-9.996900430020073e-09,0.0,4000.0,-57624.682864448834
4,N1,-9.996900458525712e-09,0.0,4000.0,-57624.67435556182
4,N2,-9.996900430314831e-09,0.0,4000.0,-57624.68277646486
4,N3,-9.996900435036828e-09,0.0,4000.0,-57624.68136696665
4,N4,-9.996900430551853e-09,0.0,4000.0,-57624.682705714564
4,N5,-9.996899923402906e-09,337.5,3999.9999997037958,9.96387556643907e-09
4,N6,-9.996899947448163e-09,32.4,3999.999996914537,9.623703817073619e-09
4,N7,-9.996900430314831e-09,0.0,4000.0,-57624.68277646487
4,N8,-9.99689994716488e-09,36.0,3999.9999972230835,9.66133343536626e-09
4,N9,-9.996900430551855e-09,0.0,4000.0,-57624.68270571455
5,N1,-9.996900455951056e-09,0.0,4000.0,-57624.67512409867
5,N2,-9.996900427991527e-09,0.0,4000.0,-57624.683469960895
5,N3,-9.996900433852906e-09,0.0,4000.0,-57624.6817203632
5,N4,-9.996900428184002e-09,0.0,4000.0,-57624.68341250773
5,N5,-9.996899920147499e-09,348.75,3999.9999997133505,9.965040870747487e-09
5,N6,-9.9968999449946e-09,33.48,3999.999997014068,9.635842403619632e-09
5,N7,-9.996900427991527e-09,0.0,4000.0,-57624.6834699609
5,N8,-9.996899944701842e-09,37.2,3999.9999973126614,9.672258163257671e-09
5,N9,-9.996900428184002e-09,0.0,4000.0,-57624.683412507715
6,N1,-9.996900448462394e-09,0.0,4000.0,-57624.67735946277
6,N2,-9.996900421315764e-09,0.0,4000.0,-57624.685462640795
6,N3,-9.996900430418803e-09,0.0,4000.0,-57624.68274542952
6,N4,-9.996900421315764e-09,0.0,4000.0,-57624.6854626407
6,N5,-9.99689991061665e-09,382.5,3999.999999738643,9.96812549979918e-09
6,N6,-9.996899937869241e-09,36.72,3999.9999972775327,9.667973956241432e-09
6,N7,-9.996900421315764e-09,0.0,4000.0,-57624.685462640795
