unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_reference_eur_per_mwh,spot_revenue_eur,degradation_cost_eur
I1,1,N1,9.536322463579861,7.034959650223794e-08,-9.536322393230265,40.00000010294171,-381.4528967108959,71.52241900447093
I1,1,N2,8.965159815435907,7.034959657575512e-08,-8.96515974508631,40.00000011332108,-358.606390819394,67.23869914339127
I1,1,N3,1.0013418795612632e-05,7.008932178204863e-08,-9.943329473830584e-06,40.00000011351226,-0.00039773318008191314,7.56263108804601e-05
I1,1,N4,2.0297318477382476,7.034959559771795e-08,-2.029731777388652,40.00000010846123,-81.18927131569329,15.222989385658822
I1,1,N5,17.115716781488683,7.034959509170198e-08,-17.115716711139086,40.000000104516104,-684.6286702344315,128.3678763887871
I1,2,N1,35.45707620305984,7.034959599688735e-08,-35.45707613271025,40.000000015389865,-1418.2830458540896,265.92807205057073
I1,2,N2,31.04503046999689,7.03495961176745e-08,-31.045030399647295,40.00000002623747,-1241.801216800435,232.83772905259866
I1,2,N3,6.682634678597239e-06,7.061626935534578e-08,-6.612018409241893e-06,40.0000000262568,-0.00026448073654328615,5.0649382109644384e-05
I1,2,N4,1.6028050944016716,7.03495970918327e-08,-1.6028050240520746,40.000000020819286,-64.11220099545224,12.021038735634516
I1,2,N5,20.61011028537205,7.034959420801884e-08,-20.610110215022456,40.000000016998996,-824.4044089512494,154.5758276679123
I1,3,N1,38.884839044910066,7.034959596739966e-08,-38.88483897456047,40.00000000470162,-1555.3935591652407,291.63629336444745
I1,3,N2,36.690368499971875,7.034959608401534e-08,-36.69036842962228,40.00000001461604,-1467.6147377211591,275.17776427741103
I1,3,N3,5.861504133142548e-06,7.080049670939955e-08,-5.7907036364331485e-06,40.000000014735576,-0.0002316281455426553,4.449228472388961e-05
I1,3,N4,1.4136443322504753,7.034959785670721e-08,-1.4136442619008773,40.000000009725774,-56.54577048978388,10.602333019500549
