hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
1,N1,-9.991261285444965e-09,79.2,3999.999998738477,9.56471933210187e-09
1,N2,-9.991261285448549e-09,221.76,3999.9999995494563,9.844542618607821e-09
1,N3,-9.991261285448671e-09,237.6,3999.9999995794924,9.854906444033967e-09
1,N4,-9.991261285447984e-09,174.24,3999.9999994265804,9.802145150955407e-09
1,N5,-9.9912612854449e-09,79.2,3999.999998738477,9.56471933210187e-09
2,N1,-9.991261285444719e-09,75.6,3999.9999986784046,9.543991681249576e-09
2,N2,-9.991261285448461e-09,211.68,3999.999999528002,9.837139886160574e-09
2,N3,-9.99126128544859e-09,226.8,3999.999999559468,9.847997227083203e-09
2,N4,-9.99126128544787e-09,166.32,3999.9999993992747,9.792723491477092e-09
2,N5,-9.991261285444623e-09,75.6,3999.9999986784046,9.543991681249576e-09
3,N1,-9.991261285444555e-09,73.2,3999.9999986350736,9.529040588831527e-09
3,N2,-9.991261285448398e-09,204.96,3999.9999995125263,9.831800210296987e-09
3,N3,-9.991261285448532e-09,219.6,3999.9999995450244,9.843013529610522e-09
3,N4,-9.991261285447784e-09,161.04,3999.999999379579,9.78592754037798e-09
3,N5,-9.991261285444398e-09,73.2,3999.9999986350736,9.529040588831528e-09
4,N1,-9.991261285444504e-09,72.0,3999.999998612325,9.521191265312051e-09
4,N2,-9.991261285448367e-09,201.6,3999.999999504402,9.828996880468602e-09
4,N3,-9.991261285448504e-09,216.0,3999.9999995374415,9.840397088437363e-09
4,N4,-9.991261285447736e-09,158.4,3999.9999993692386,9.782359666050946e-09
4,N5,-9.991261285444237e-09,72.0,3999.999998612325,9.521191265312051e-09
5,N1,-9.991261285444788e-09,74.4,3999.9999986570883,9.536636708366503e-09
5,N2,-9.991261285448446e-09,208.32,3999.999999520389,9.834513110130906e-09
5,N3,-9.991261285448578e-09,223.2,3999.9999995523626,9.845545569455512e-09
5,N4,-9.991261285447824e-09,163.68,3999.999999389586,9.789380321984788e-09
5,N5,-9.991261285444333e-09,74.4,3999.9999986570883,9.536636708366503e-09
