investor,node,desired_power_mw,desired_energy_mwh,desired_ratio_hours,private_headroom_limit_mw,access_shadow_price_eur_per_mw_day
I1,N1,3.2820931594339313e-06,6.8726799557460544e-06,2.0939929556817938,100.0,1.942262898614053e-06
I2,N1,4.585276809666393e-06,9.476918890341096e-06,2.066815000211645,100.0,1.1769531382856474e-06
I3,N1,1.6282336273345358e-08,6.051470311877568e-08,3.716586004788511,100.0,9.08259574788241e-08
I4,N1,4.134452372548197e-06,8.372628367208452e-06,2.0250876325969456,100.0,8.798021321049432e-08
I1,N2,14.948896614502754,95.82625399281825,6.410255985037176,100.0,9.049316768783535e-08
I2,N2,15.430616400946954,30.861331927620075,2.0000064239641238,100.0,5.972326739568752e-08
I3,N2,11.548045730199318,74.02589671268304,6.410253166827852,100.0,9.640001653759365e-08
I4,N2,8.210173279878644,31.393496684526895,3.823731316544263,100.0,9.9965946147067e-08
I1,N3,6.481266481451053e-06,1.3083082131737575e-05,2.018599631596768,100.0,1.1949763570977166e-06
I2,N3,8.656477285789341e-06,1.7429016009297944e-05,2.0134074674821583,100.0,1.7461187839807847e-06
I3,N3,2.974497424422777e-06,5.949786362692906e-06,2.0002661000278072,100.0,8.868544658731013e-08
I4,N3,3.609608920004818,7.219218001534967,2.000000044748707,100.0,9.724940693288558e-08
I1,N4,3.25825023940639e-06,6.825718030736795e-06,2.094902947657068,100.0,1.9286826069335252e-06
I2,N4,3.797654652857609e-06,7.901889991712673e-06,2.0807289535310334,100.0,1.0437631007535225e-06
I3,N4,1.895819930905031e-08,8.951804786576735e-08,4.7218644770251466,100.0,9.083841047009024e-08
I4,N4,4.04017278575515e-06,8.181645274685896e-06,2.0250731116086813,100.0,8.813921212052619e-08
I1,N5,3.003734533499006e-06,6.799617653818143e-06,2.2637212370087076,100.0,2.1540062676840837e-06
I2,N5,3.4132328116260144e-06,7.371595729005013e-06,2.159710789107671,100.0,8.126354830162051e-07
I3,N5,1.8234942668938227e-08,7.384902773334459e-08,4.049863444821273,100.0,9.082821801079413e-08
I4,N5,1.0069874302402369e-05,2.202389638720402e-05,2.187107378485328,100.0,8.769741714709534e-08
I1,N6,2.3455971852356817e-06,4.84847885318457e-06,2.0670551975860265,100.0,6.464988267586244e-07
I2,N6,3.268723483197178e-06,6.673370658943497e-06,2.0415831113423493,100.0,5.764134809594512e-07
I3,N6,4.024356621603119e-08,8.92059802556795e-08,2.21665196808885,100.0,9.081536487026294e-08
I4,N6,3.2906179296859053e-06,6.686010582115938e-06,2.0318404399972767,100.0,9.027069369291678e-08
I1,N7,0.9986111727985008,6.401347544228586,6.410250274177782,100.0,2.155366607970323e-08
I2,N7,0.5168899869014728,1.0338791079690697,2.0001917896818204,100.0,2.24169820514719e-08
I3,N7,5.821146290362867,37.31500286753951,6.410249975905252,100.0,9.380349332237977e-08
I4,N7,50.517353539611356,219.0435499115014,4.3360060368116145,100.0,1.8294175155367e-07
I1,N8,53.87073905743173,107.7414782292051,2.0000000021225186,100.0,-1.4022029426474733e-05
I2,N8,53.87073254849087,107.7414652154585,2.000000002199279,100.0,-8.390791984863275e-06
I3,N8,38.889545734532604,77.77909146998275,2.0000000000235936,100.0,1.6160261643329209e-07
I4,N8,20.314992564814133,114.08899815881965,5.615999995807209,100.0,1.1399829132212861e-07
I1,N9,5.379392425784805e-06,1.0888175940082891e-05,2.024053104564946,100.0,6.621750947569559e-07
I2,N9,8.602312366283745e-06,1.7320818936204735e-05,2.013507322065246,100.0,1.7261918102912832e-06
I3,N9,2.8659173602744436e-06,5.732621880193362e-06,2.0002746623665377,100.0,8.883001944127525e-08
I4,N9,3.66675913101984,7.333518423565013,2.0000000440512524,100.0,9.721627506703494e-08
