investor,node,projection_scale,projected_power_mw,projected_energy_mwh,projected_ratio_hours
I1,N1,1.0,0.0,0.0,0.0
I2,N1,1.0,0.0,0.0,0.0
I3,N1,1.0,0.0,0.0,0.0
I4,N1,1.0,0.0,0.0,0.0
I1,N2,1.0,14.948896614502754,95.82625399281825,6.410255985037176
I2,N2,1.0,15.430616400946954,30.861331927620075,2.0000064239641238
I3,N2,1.0,11.548045730199318,74.02589671268304,6.410253166827852
I4,N2,1.0,8.210173279878644,31.393496684526895,3.823731316544263
I1,N3,1.0,0.0,0.0,0.0
I2,N3,1.0,0.0,0.0,0.0
I3,N3,1.0,0.0,0.0,0.0
I4,N3,1.0,3.609608920004818,7.219218001534967,2.000000044748707
I1,N4,1.0,0.0,0.0,0.0
I2,N4,1.0,0.0,0.0,0.0
I3,N4,1.0,0.0,0.0,0.0
I4,N4,1.0,0.0,0.0,0.0
I1,N5,1.0,0.0,0.0,0.0
I2,N5,1.0,0.0,0.0,0.0
I3,N5,1.0,0.0,0.0,0.0
I4,N5,1.0,0.0,0.0,0.0
I1,N6,1.0,0.0,0.0,0.0
I2,N6,1.0,0.0,0.0,0.0
I3,N6,1.0,0.0,0.0,0.0
I4,N6,1.0,0.0,0.0,0.0
I1,N7,1.0,0.9986111727985008,6.401347544228586,6.410250274177782
I2,N7,1.0,0.5168899869014728,1.0338791079690697,2.0001917896818204
I3,N7,1.0,5.821146290362867,37.31500286753951,6.410249975905252
I4,N7,1.0,50.517353539611356,219.0435499115014,4.3360060368116145
I1,N8,0.5989960470258816,32.26835974576437,64.53671956001894,2.0000000021225186
I2,N8,0.5989960470258816,32.268355846934526,64.53671176483617,2.000000002199279
I3,N8,0.5989960470258816,23.294684165617266,46.58936833178413,2.000000000023593
I4,N8,0.5989960470258816,12.168600241683842,68.33885890627606,5.615999995807209
I1,N9,1.0,0.0,0.0,0.0
I2,N9,1.0,0.0,0.0,0.0
I3,N9,1.0,0.0,0.0,0.0
I4,N9,1.0,3.66675913101984,7.333518423565013,2.0000000440512524
