investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,90.69555408940184,200.26339670940155,2.208083943254757,0.4534777704470092
I1,N2,0.004981827539622536,0.01821203597272776,3.6556937846362407,2.490913769811268e-05
I1,N3,1.3490307579806646,3.4949625938231863,2.590721207168561,0.0067451537899033236
I1,N4,2.8900984703549565e-07,1.0703049778169039e-06,3.7033512483934534,1.4450492351774783e-09
I1,N5,4.85218096885734,31.088548635664637,6.4071288427203505,0.0242609048442867
I2,N1,51.00704550622517,106.49656537026482,2.0878795137677093,0.25503522753112584
I2,N2,0.1424556340637842,0.6540170275080709,4.591022544009991,0.000712278170318921
I2,N3,0.14072339834765654,0.6585776671208677,4.679944308151616,0.0007036169917382828
I2,N4,3.4245451178537705e-07,1.2910469006210925e-06,3.7699807016419653,1.7122725589268853e-09
I2,N5,0.43441489449545945,2.784695544943933,6.410221150861204,0.0021720744724772973
I3,N1,0.0007951203996551823,0.002959698823848756,3.7223278702600013,3.975601998275911e-06
I3,N2,0.0006342470929723089,0.002258014399980223,3.560149388148331,3.1712354648615444e-06
I3,N3,0.003379960659150778,0.01034487247179589,3.060648781159205,1.6899803295753888e-05
I3,N4,0.00042335116821308537,0.0014266249548049517,3.3698382381382457,2.116755841065427e-06
I3,N5,122.37596825907589,606.3550055996017,4.954853589521094,0.6118798412953794
I4,N1,2.3034279875206583e-06,6.03154136988167e-06,2.618506592156954,1.1517139937603291e-08
I4,N2,2.535553819193348e-06,6.39361426517036e-06,2.521584916388957,1.267776909596674e-08
I4,N3,2.41211302929886e-06,6.029092281978572e-06,2.4995065358653927,1.2060565146494299e-08
I4,N4,2.2910861856012995e-06,5.876563885116085e-06,2.5649684948773634,1.1455430928006498e-08
I4,N5,55.592413995673496,205.05451599545648,3.6885341228645863,0.2779620699783675
