investor,node,power_mw,energy_mwh
I1,N1,0.0,0.0
I1,N2,0.0,0.0
I1,N3,9.700695524679386,36.3190082813331
I1,N4,0.0,0.0
I1,N5,0.0,0.0
I1,N6,13.80488467806878,43.11349710469037
I1,N7,0.0,0.0
I1,N8,17.183204014969114,34.530480754496935
I1,N9,6.105176149984494,22.83924300444277
I2,N1,0.0,0.0
I2,N2,0.0,0.0
I2,N3,10.354252862087574,38.69315942004778
I2,N4,0.0,0.0
I2,N5,0.0,0.0
I2,N6,13.766625385315876,42.99066647915923
I2,N7,0.0,0.0
I2,N8,17.118714541205254,34.323326499656545
I2,N9,5.554345423446923,20.795076350460015
I3,N1,0.0,0.0
I3,N2,0.0,0.0
I3,N3,15.504793245085828,40.6712589243528
I3,N4,0.0,0.0
I3,N5,0.0,0.0
I3,N6,8.265099357928843,33.915490445774395
I3,N7,0.0,0.0
I3,N8,7.829177913132882,19.016450024372254
I3,N9,15.201317027663073,43.192206318450616
I4,N1,0.0,0.0
I4,N2,0.0,0.0
I4,N3,13.379688539707114,39.37062517623487
I4,N4,0.0,0.0
I4,N5,0.0,0.0
I4,N6,8.265967505616658,33.229752471829684
I4,N7,0.0,0.0
I4,N8,7.841600303549454,17.86259780023245
I4,N9,17.30688187152151,46.33255166574541
