sweep,investor,termination,optimal,solve_seconds,best_feasible_objective,best_objective_bound,proximal_penalty,complementarity_epsilon,complementarity_max_product,complementarity_max_violation,primal_dual_gap_eur_per_day,profit_eur_per_day,old_power_mw,best_response_power_mw,new_power_mw,old_energy_mwh,best_response_energy_mwh,new_energy_mwh,max_raw_deviation_mw,max_raw_deviation_mwh,max_iterate_change_mw,max_iterate_change_mwh,max_raw_bid_deviation_eur_per_mwh,max_iterate_bid_change_eur_per_mwh
1,I1,optimal,True,25.889805399929173,,,0.0,0.001,0.0010036427287724587,3.642728772458711e-06,0.8820363523554988,18818.955258357797,0.0,187.18207728219213,46.7955185402341,0.0,547.1952442152239,136.79880939836863,76.88124167524586,190.51098901685683,19.220310418811465,47.627747254214206,0.0,0.0
1,I2,optimal,True,37.098152599995956,,,0.0,0.001,0.001003642745393503,3.642745393502879e-06,0.8916088726255111,17872.703660811578,0.0,187.1820762665988,46.795518485189596,0.0,547.1952424153662,136.79880935935597,76.88124167524586,190.51098901685683,19.220310418811465,47.627747254214206,0.0,0.0
1,I3,optimal,True,38.498049299931154,,,0.0,0.001,0.0010000194305905814,1.9430590581393653e-08,0.8398167675477453,123736.99315167469,0.0,187.18214582556539,46.79553591843799,0.0,547.1950550568886,136.79876231427363,76.88124167524586,190.51098901685683,19.220310418811465,47.627747254214206,0.0,0.0
1,I4,optimal,True,10.792407099972479,,,0.0,0.001,0.0010013325027776788,1.3325027776788043e-06,0.850716924353037,183790.4435118992,0.0,187.18203562486173,46.79550803245813,0.0,547.1950083016775,136.79874816449058,76.88124167524586,190.51098901685683,19.220310418811465,47.627747254214206,0.0,0.0
2,I1,optimal,True,77.60185879992787,,,0.0,0.001,0.001001452499803268,1.452499803267877e-06,1.8835165118216537,4704.794748234462,46.7955185402341,46.795514108029884,46.795516809822075,136.79880939836863,136.79979477914614,136.7990544254689,9.225389957860157,34.54012967772832,2.3063474894650398,8.635032419432079,0.0,0.0
2,I2,optimal,True,45.748618399957195,,,0.0,0.001,0.001001452557261982,1.452557261981879e-06,1.82781003031414,4468.229326135042,46.795518485189596,46.795514645236736,46.79551671056504,136.79880935935597,136.7998047097647,136.7990565288806,9.225389957860157,34.54012967772832,2.3063474894650398,8.635032419432079,0.0,0.0
2,I3,optimal,True,90.9855694998987,,,0.0,0.001,0.0010003802492238134,3.8024922381337325e-07,1.8815981130464934,125694.07292313021,46.79553591843799,46.796812565309594,46.795854771823784,136.79876231427363,136.7983625404967,136.7986616737507,9.225389957860157,34.54012967772832,2.3063474894650398,8.635032419432079,0.0,0.0
2,I4,optimal,True,45.559857800020836,,,0.0,0.001,0.0010003633466295944,3.633466295943546e-07,1.8996821984183043,186355.75514700596,46.79550803245813,46.79556224668699,46.795520815701416,136.79874816449058,136.79832549810354,136.79864003854132,9.225389957860157,34.54012967772832,2.3063474894650398,8.635032419432079,0.0,0.0
3,I1,optimal,True,98.16936439997517,,,0.0,0.001,0.0010014525294747526,1.4525294747525473e-06,1.9192148797446862,4704.793298380551,46.795516809822075,46.79518350749645,46.795433024009164,136.7990544254689,136.79974627185084,136.79922640911167,6.916546634278168,25.895765220082627,1.7291366585695425,6.473941305020656,0.0,0.0
3,I2,optimal,True,72.83376700000372,,,0.0,0.001,0.0010014525796249712,1.4525796249711606e-06,1.892186613054946,4468.228662725962,46.79551671056504,46.79518354610246,46.79543284717447,136.7990565288806,136.7997490019259,136.7992284687584,6.916546634278168,25.895765220082627,1.7291366585695425,6.473941305020656,0.0,0.0
3,I3,optimal,True,88.25848399999086,,,0.0,0.001,0.0010003338170194544,3.338170194544087e-07,1.826781646872405,125701.40293306661,46.795854771823784,46.79687908562069,46.79611034137809,136.7986616737507,136.79795891958196,136.79848455749706,6.916546634278168,25.895765220082627,1.7291366585695425,6.473941305020656,0.0,0.0
3,I4,optimal,True,44.40751469996758,,,0.0,0.001,0.0010003103661540358,3.1036615403580436e-07,1.8602162179304287,186363.20418216495,46.795520815701416,46.79523281215174,46.795447714749685,136.79864003854132,136.79794504395315,136.79846241566622,6.916546634278168,25.895765220082627,1.7291366585695425,6.473941305020656,0.0,0.0
4,I1,optimal,True,56.68509249994531,,,0.0,0.001,0.0010014525042918573,1.4525042918572817e-06,1.910915567772463,4704.800263709209,46.795433024009164,46.7950852162146,46.795345529933904,136.79922640911167,136.7999297055781,136.79940109709557,5.187849394168306,19.42346773076375,1.2969623485420763,4.855866932690937,0.0,0.0
4,I2,optimal,True,46.04343229997903,,,0.0,0.001,0.001001452552570387,1.4525525703868933e-06,1.8357312530861236,4468.235487259087,46.79543284717447,46.79508558094625,46.7953452801608,136.7992284687584,136.79993328477943,136.79940311304296,5.187849394168306,19.42346773076375,1.2969623485420763,4.855866932690937,0.0,0.0
4,I3,optimal,True,32.02828999992926,,,0.0,0.001,0.0010003239254844636,3.2392548446357784e-07,1.7378095223684795,125701.35527514189,46.79611034137809,46.797122194615426,46.79636221768171,136.79848455749706,136.79778233900817,136.79830675682496,5.187849394168306,19.42346773076375,1.2969623485420763,4.855866932690937,0.0,0.0
4,I4,optimal,True,45.05196770001203,,,0.0,0.001,0.001000273143455259,2.7314345525902665e-07,1.8722393937641755,186363.12325080356,46.795447714749685,46.795145269718326,46.79537116355795,136.79846241566622,136.79777622867869,136.79828740163907,5.187849394168306,19.42346773076375,1.2969623485420763,4.855866932690937,0.0,0.0
5,I1,optimal,True,82.52887170005124,,,0.0,0.001,0.0010014524910784077,1.452491078407633e-06,1.9053169639664702,4704.805681836623,46.795345529933904,46.79499747406051,46.795257968661005,136.79940109709557,136.80010805542932,136.7995766565518,17.785830166417504,50.27694716470939,4.446457541604376,12.569236791177346,0.0,0.0
5,I2,optimal,True,36.51225589995738,,,0.0,0.001,0.001001452529927172,1.4525299271718993e-06,1.821852502063848,4468.241113527394,46.7953452801608,46.7949987958988,46.79525782379855,136.79940311304296,136.80011191578657,136.7995786007723,17.785830166417504,50.27694716470939,4.446457541604376,12.569236791177346,0.0,0.0
5,I3,optimal,True,130.41565510001965,,,0.0,0.001,0.0010003198226340708,3.198226340708158e-07,1.8702772806282155,125701.30162137341,46.79636221768171,46.79737084045932,46.79661399108266,136.79830675682496,136.79759307384217,136.79812731030023,17.785830166417504,50.27694716470939,4.446457541604376,12.569236791177346,0.0,0.0
