node,x_power_mw,x_energy_mwh,ratio_hours,charge_mwh,discharge_mwh,share_of_node_limit
N1,2.578224653236361e-05,5.298808491589274e-05,2.0552159738825915,8.270112629660676e-06,7.2454125943953245e-06,2.578224653236361e-07
N2,2.5888707855276788e-05,5.3196946085256913e-05,2.054832028799537,1.1685256316777535e-05,1.0237406318103533e-05,2.588870785527679e-07
N3,69.31327267324752,177.32599784918872,2.5583267245961436,189.45085330490087,165.97713477701043,0.6931327267324753
N4,2.5782247445787694e-05,5.298808675743895e-05,2.0552159724964607,8.270129863616777e-06,7.245427692995213e-06,2.5782247445787694e-07
N5,2.57663600438247e-05,5.2956494963611885e-05,2.055257121050116,7.786810332092412e-06,6.82199338470484e-06,2.57663600438247e-07
N6,2.591275250578257e-05,5.32489608281e-05,2.0549326365933998,1.168180090349816e-05,1.0234379044351244e-05,2.591275250578257e-07
N7,2.588880538715583e-05,5.3197131811724945e-05,2.0548314615597345,1.1684718302265299e-05,1.0236934965741387e-05,2.588880538715583e-07
N8,100.00000088956891,471.12632615096845,4.7112632195997515,503.3400936864928,440.9742427183616,1.000000008895689
N9,69.61078504154843,178.40962128432156,2.562959477871635,190.60857064960754,166.99140631183857,0.6961078504154843
