unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_reference_eur_per_mwh,spot_revenue_eur,degradation_cost_eur
I1,1,N1,1.0737218614657963e-06,1.718035789981367e-07,-9.019182824676596e-07,54.94614399360087,-4.955693181892921e-05,9.341440803479497e-06
I1,1,N2,0.0,0.0,0.0,55.01320002545164,0.0,0.0
I1,1,N3,0.0,0.0,0.0,55.02798403802336,0.0,0.0
I1,1,N4,0.0,0.0,0.0,55.02164803903093,0.0,0.0
I1,1,N5,1.0709645176377154e-06,1.7180753746912289e-07,-8.991569801685925e-07,55.01214404442599,-4.946455331158569e-05,9.320790413301287e-06
I1,2,N1,1.0780732889960845e-06,1.7167864993662374e-07,-9.063946390594607e-07,54.93509195035341,-4.9792872840038866e-05,9.373139541995312e-06
I1,2,N2,0.0,0.0,0.0,55.00809998517401,0.0,0.0
I1,2,N3,0.0,0.0,0.0,55.01771199646866,0.0,0.0
I1,2,N4,0.0,0.0,0.0,55.0116639951467,0.0,0.0
I1,2,N5,1.074310774494639e-06,1.717121546937008e-07,-9.025986198009383e-07,55.00259199848185,-4.964526362330385e-05,9.345171968912547e-06
I1,3,N1,1.0817434775779316e-06,1.715736913921561e-07,-9.101697861857756e-07,54.926223897886175,-4.9992189461131095e-05,9.399878767275659e-06
I1,3,N2,0.0,0.0,0.0,55.004199935930245,0.0,0.0
I1,3,N3,0.0,0.0,0.0,55.009863946408316,0.0,0.0
I1,3,N4,0.0,0.0,0.0,55.00400794306121,0.0,0.0
I1,3,N5,1.076967743836989e-06,1.716366846445658e-07,-9.053310591924233e-07,54.99522394505486,-4.978888434470104e-05,9.364533213611662e-06
I1,4,N1,1.084224168048369e-06,1.715022220904151e-07,-9.127219459579538e-07,54.92103979750035,-5.0127638318008743e-05,9.417947926040879e-06
I1,4,N2,0.0,0.0,0.0,55.00199983786962,0.0,0.0
I1,4,N3,0.0,0.0,0.0,55.005439847935335,0.0,0.0
I1,4,N4,0.0,0.0,0.0,54.99967984328025,0.0,0.0
I1,4,N5,1.0785991635481192e-06,1.7159014513468032e-07,-9.07009018413439e-07,54.991039844562295,-4.987736907095076e-05,9.376419815120995e-06
I1,5,N1,1.0825799643849112e-06,1.7154450562209982e-07,-9.110354587628114e-07,54.92840791937112,-5.0041727307935114e-05,9.405933525052584e-06
I1,5,N2,0.0,0.0,0.0,55.00539995706198,0.0,0.0
I1,5,N3,0.0,0.0,0.0,55.01228796794712,0.0,0.0
I1,5,N4,0.0,0.0,0.0,55.00633596539423,0.0,0.0
I1,5,N5,1.0767971740081433e-06,1.7163931969308467e-07,-9.051578543150586e-07,54.997407968157674,-4.978133578934751e-05,9.36327370275921e-06
I1,6,N1,1.0761389569879318e-06,1.7172053003508315e-07,-9.044184269528486e-07,54.95051202729976,-4.9698255647984035e-05,9.358946152672612e-06
I1,6,N2,0.0,0.0,0.0,55.01560005885877,0.0,0.0
I1,6,N3,0.0,0.0,0.0,55.03283207234858,0.0,0.0
I1,6,N4,0.0,0.0,0.0,55.02630407467628,0.0,0.0
I1,6,N5,1.0708936310901426e-06,1.7180421116120751e-07,-8.99089419928935e-07,55.01651208186378,-4.9464763934196154e-05,9.320233816885125e-06
I1,7,N1,1.4573896486899337e-07,0.0003652053098679316,0.0003650595709030626,74.9539997175384,0.02736267497435284,0.0027401328662460048
I1,7,N2,0.0,0.0,0.0,75.01227978031949,0.0,0.0
I1,7,N3,0.0,0.0,0.0,75.03369979289658,0.0,0.0
I1,7,N4,0.0,0.0,0.0,75.01325988754064,0.0,0.0
I1,7,N5,1.4566200123682978e-07,0.0006947749400503826,0.0006946292780491458,75.01375971673676,0.052106753755788944,0.005211904515387146
I1,8,N1,1.4565000202991987e-07,20.89489520366956,20.894895058019557,74.969712064475,1566.4842661171479,156.71171511989672
I1,8,N2,0.0,0.0,0.0,75.02724158350412,0.0,0.0
I1,8,N3,0.0,0.0,0.0,75.04690159540586,0.0,0.0
I1,8,N4,0.0,0.0,0.0,75.0203807952072,0.0,0.0
I1,8,N5,1.4562081412408754e-07,8.297344537588275,8.29734439196746,75.02077183411637,622.4731804588758,62.230085124068175
I1,9,N1,1.4566821609983664e-07,2.7762523655371565,2.7762522198689403,74.9672550293104,208.12800819260397,20.821893834040296
I1,9,N2,0.0,0.0,0.0,75.01862068098406,0.0,0.0
I1,9,N3,0.0,0.0,0.0,75.03385269101415,0.0,0.0
I1,9,N4,0.0,0.0,0.0,75.01596233826393,0.0,0.0
I1,9,N5,1.4569684652686848e-07,0.0003873672109945068,0.0003872215141479799,75.00117261714308,0.029042067623684154,0.0029063468088077527
I1,10,N1,6.24723356120985e-07,2.0024610213042476e-07,-4.244772539905603e-07,54.97054020574838,-2.3333743956913762e-05,6.187270936885574e-06
I1,10,N2,0.0,0.0,0.0,55.01874026835199,0.0,0.0
I1,10,N3,0.0,0.0,0.0,55.02764029065048,0.0,0.0
I1,10,N4,0.0,0.0,0.0,55.03100032590507,0.0,0.0
I1,10,N5,2.7465839070627813e-07,3.828477563436151e-07,1.0818936563733696e-07,54.988280169533496,5.949147149029984e-06,4.931296102874199e-06
I1,11,N1,20.898667688392244,1.0095495771784921e-07,-20.898667587437288,37.34578158938112,-780.4770752295113,156.740008420104
I1,11,N2,0.0,0.0,0.0,52.8123424349645,0.0,0.0
I1,11,N3,0.0,0.0,0.0,58.71810002031066,0.0,0.0
I1,11,N4,0.0,0.0,0.0,75.00421364036212,0.0,0.0
I1,11,N5,6.838469426369585,1.743297822404208e-07,-6.838469252039802,25.921408279994157,-177.26275349230997,51.288522005245255
I1,12,N1,20.8986678418967,8.067289007405974e-08,-20.89866776122381,30.016967758668017,-627.3146363877697,156.74000941927193
I1,12,N2,0.0,0.0,0.0,48.4761457532531,0.0,0.0
