hour,node,lambda_reference_eur_per_mwh
1,N1,54.94614399360087
1,N2,55.01320002545164
1,N3,55.02798403802336
1,N4,55.02164803903093
1,N5,55.01214404442599
2,N1,54.93509195035341
2,N2,55.00809998517401
2,N3,55.01771199646866
2,N4,55.0116639951467
2,N5,55.00259199848185
3,N1,54.926223897886175
3,N2,55.004199935930245
3,N3,55.009863946408316
3,N4,55.00400794306121
3,N5,54.99522394505486
4,N1,54.92103979750035
4,N2,55.00199983786962
4,N3,55.005439847935335
4,N4,54.99967984328025
4,N5,54.991039844562295
5,N1,54.92840791937112
5,N2,55.00539995706198
5,N3,55.01228796794712
5,N4,55.00633596539423
5,N5,54.997407968157674
6,N1,54.95051202729976
6,N2,55.01560005885877
6,N3,55.03283207234858
6,N4,55.02630407467628
6,N5,55.01651208186378
7,N1,74.9539997175384
7,N2,75.01227978031949
7,N3,75.03369979289658
7,N4,75.01325988754064
7,N5,75.01375971673676
8,N1,74.969712064475
8,N2,75.02724158350412
8,N3,75.04690159540586
8,N4,75.0203807952072
8,N5,75.02077183411637
9,N1,74.9672550293104
9,N2,75.01862068098406
9,N3,75.03385269101415
9,N4,75.01596233826393
9,N5,75.00117261714308
10,N1,54.97054020574838
10,N2,55.01874026835199
10,N3,55.02764029065048
10,N4,55.03100032590507
10,N5,54.988280169533496
11,N1,37.34578158938112
11,N2,52.8123424349645
11,N3,58.71810002031066
11,N4,75.00421364036212
11,N5,25.921408279994157
12,N1,30.016967758668017
12,N2,48.4761457532531
12,N3,55.533351927831646
12,N4,75.00321214611473
12,N5,16.339790252748234
13,N1,30.009425523014357
13,N2,48.46622381375358
13,N3,55.522647848574984
13,N4,75.00163411235097
13,N5,0.0559202480149682
14,N1,30.00662656871932
14,N2,48.463097832136846
14,N3,55.519012259109
14,N4,75.0006026674694
14,N5,0.055800199285688454
15,N1,30.004492602546847
15,N2,48.463278529031925
15,N3,55.521749713883885
15,N4,75.00173713216425
15,N5,16.309991661796353
16,N1,30.01925294670434
16,N2,48.48303761871765
16,N3,55.54098598382716
16,N4,75.00203690070106
16,N5,16.366214013264845
17,N1,41.07521466257449
17,N2,55.00887219559425
17,N3,60.33796660326834
17,N4,75.00051697190858
17,N5,30.811028617338643
18,N1,74.93672053467839
18,N2,74.99811443050827
18,N3,75.01337044563327
18,N4,75.00567319770886
18,N5,74.97877348972318
19,N1,74.97673027389607
19,N2,75.0414201837323
19,N3,75.06182020066382
19,N4,75.02711012803776
19,N5,75.03202002581601
20,N1,106.06905449083973
20,N2,106.13552841733417
20,N3,106.157654438574
20,N4,106.11840036174516
20,N5,106.13068424743633
21,N1,74.96811422417291
21,N2,75.0345081228538
21,N3,75.05676413882468
21,N4,75.02387007138738
21,N5,75.0313639929154
22,N1,74.9464642744855
22,N2,75.01191412527193
22,N3,75.03395413969429
22,N4,75.01289705932889
22,N5,75.01154101657568
23,N1,74.93345565400081
23,N2,74.99587174395403
23,N3,75.01769575903297
23,N4,75.00519985126974
23,N5,74.99945573680154
24,N1,54.953380092061764
24,N2,55.01750012419351
24,N3,55.036680138680715
24,N4,55.02996014239777
24,N5,55.01988015192972
