line,node,ptdf
L12,N1,0.5477391729320463
L12,N2,-0.09976831605515762
L12,N3,-0.043837193228628536
L12,N4,-0.022173888089023378
L12,N5,0.0
L12,N6,0.16639496172959084
L12,N7,0.09142467182368931
L12,N8,0.021391321302429808
L12,N9,-0.05262969330544937
L23,N1,0.08300268061551185
L23,N2,0.22852717611787007
L23,N3,-0.5390369808256753
L23,N4,-0.2726576408835365
L23,N5,0.0
L23,N6,-0.07443307252582924
L23,N7,-0.1574307671799326
L23,N8,-0.02064378181233769
L23,N9,0.12393178635198857
L34,N1,0.12888370903976495
L34,N2,0.14937996743784251
L34,N3,0.24624518196225673
L34,N4,-0.3812669961455475
L34,N5,0.0
L34,N6,0.10670982095074155
L34,N7,0.1376358267002457
L34,N8,0.11770851193581273
L34,N9,0.09664654579689241
L45,N1,0.12888370903976493
L45,N2,0.1493799674378425
L45,N3,0.2462451819622567
L45,N4,0.6187330038544528
L45,N5,0.0
L45,N6,0.10670982095074157
L45,N7,0.1376358267002457
L45,N8,0.1177085119358127
L45,N9,0.09664654579689246
L56,N1,-0.3462990397461991
L56,N2,-0.18886811635894316
L56,N3,-0.21593468818651743
L56,N4,-0.10922486723577587
L56,N5,0.0
L56,N6,-0.5166157682505615
L56,N7,-0.4013469427887986
L56,N8,-0.27281888956098466
L56,N9,-0.1369725130177079
L67,N1,0.10596178732175453
L67,N2,-0.0890998003037855
L67,N3,-0.17209749495788887
L67,N4,-0.08705097914675249
L67,N5,0.0
L67,N6,0.31698927001984784
L67,N7,-0.4927716146124879
L67,N8,-0.2942102108634145
L67,N9,-0.08434281971225857
L78,N1,0.060080758897501356
L78,N2,-0.009952591623758087
L78,N3,0.042620342254178725
L78,N4,0.021558376115258487
L78,N5,0.0
L78,N6,0.13584637654327675
L78,N7,0.2121617915073334
L78,N8,-0.43256250461156515
L78,N9,-0.0570575791571626
L89,N1,0.06008075889750139
L89,N2,-0.009952591623758054
L89,N3,0.04262034225417877
L89,N4,0.021558376115258484
L89,N5,0.0
L89,N6,0.13584637654327675
L89,N7,0.21216179150733344
L89,N8,0.5674374953884349
L89,N9,-0.057057579157162586
L29,N1,0.46473649231653397
L29,N2,0.6717045078269719
L29,N3,0.4951997875970467
L29,N4,0.25048375279451274
L29,N5,0.0
L29,N6,0.24082803425541988
L29,N7,0.24885543900362156
L29,N8,0.04203510311476751
L29,N9,-0.17656147965743804
L37,N1,-0.04588102842425296
L37,N2,0.07914720868002761
L37,N3,0.2147178372120678
L37,N4,0.10860935526201103
L37,N5,0.0
L37,N6,-0.1811428934765708
L37,N7,-0.2950665938801783
L37,N8,-0.13835229374815053
L37,N9,0.02728524055509598
L16,N1,0.45226082706795356
L16,N2,0.0997683160551576
L16,N3,0.04383719322862846
L16,N4,0.02217388808902339
L16,N5,0.0
L16,N6,-0.1663949617295909
L16,N7,-0.09142467182368928
L16,N8,-0.021391321302429905
L16,N9,0.05262969330544934
L59,N1,-0.5248172512140354
L59,N2,-0.661751916203214
L59,N3,-0.5378201298512255
L59,N4,-0.2720421289097713
L59,N5,0.0
L59,N6,-0.3766744107986967
L59,N7,-0.4610172305109553
L59,N8,-0.6094725985032023
L59,N9,-0.7663809411853995
