iteration,investor,update_rule,selection,termination,solve_seconds,profit_eur_per_day,selected_tick_price_eur_per_mw_day,access_payment_eur_per_day,embedded_vs_common_clearing_price_deviation_eur_per_mw_day,auction_strong_duality_gap,spot_strong_duality_gap,max_abs_price_dual_fraction_of_bound,max_abs_internal_dual_fraction_of_bound,embedded_storage_pair_count,variable_count,constraint_count,selected_total_bid_quantity_mw,embedded_active_award_mw,selected_total_award_mw,common_reclear_max_award_change_mw,max_quantity_change_mw,max_price_change_eur_per_mw_day,max_duration_change_hours,max_award_change_mw
1,I1,seidel,candidate,optimal,12.802400500047952,15934.80861790124,,3547.9995656928336,3.417763640017988,-5.206857167650014e-10,0.0036841375986114144,0.2013671462052583,0.7931925132034606,12,3200,3193,99.99999358378157,99.99998863566515,0.0,100.00000100017206,6.4162184258975685e-06,2.7420317201262208,0.711263290177385,99.99999354724874
1,I2,seidel,retain_after_solver_failure,internalSolverError,6.437936899950728,0.0006845867828883717,,0.00021970667561959305,0.0,3.54503899870906e-05,-119902.30392374616,0.20136714442605236,0.010068357221302619,12,3200,3193,100.0,6.19240912118357e-06,0.0,100.00000100017206,0.0,0.0,0.0,0.0
1,I3,seidel,candidate,optimal,29.294654799974523,136856.1763539684,,3579.2031179674923,3.105731923649131,2.1136111172381788e-07,0.001192009774968028,0.2013671463298331,0.14602584519045628,12,3200,3193,99.99999988062147,99.99999936944558,0.0,100.00000100017206,1.193785266195846e-07,5.997763329012294,0.7112633134856088,99.99999819448365
1,I4,seidel,candidate,optimal,32.14103930001147,158030.4383657794,,3889.7763006451805,3.4817360727856794e-07,2.8656822905759327e-06,0.004529143567197025,0.20136714637381495,0.954347096810258,12,3200,3193,100.0,100.00000006584729,100.00000100017206,100.00000100017206,0.0,13.209969377368509,0.7112633093790919,99.99999977555406
2,I1,seidel,retain_after_solver_failure,internalSolverError,10.273086900007911,-3.51469025597929e-07,,3.359106470433925e-08,0.0,4.795827953785192e-05,-119454.88986036234,0.20136714442605239,0.01006835722130262,12,3200,3193,99.99999358378157,1.1839502883370514e-08,0.0,100.00000100017206,0.0,0.0,0.0,0.0
2,I2,seidel,candidate,optimal,12.138534800033085,13875.74975938159,,4824.996924097589,19.659117958107068,1.554885966470465e-05,0.014862068288493901,0.20136714624902596,0.9898072141051967,12,3200,3193,100.0,100.00000067878823,0.0,100.00000100017206,0.0,32.429086871567854,0.7112632300003048,100.00000072736941
2,I3,seidel,candidate,optimal,32.25100199994631,133644.49549979265,,6790.9082958473045,7.188655644085884e-07,3.028617356903851e-10,0.0049660661607049406,0.20136714632982983,0.9121313061297995,12,3200,3193,99.99999791322121,99.99999529631538,99.99999891294642,100.00000100017206,1.9674002658121026e-06,29.41522449552828,1.725142517727818e-08,99.99999529631538
2,I4,seidel,retain_after_solver_failure,internalSolverError,24.6033128000563,147038.2354091728,,0.0,0.0,6.895999740663683e-05,-119450.86029906233,0.20136714442605236,0.010068357221302619,12,3200,3193,100.0,2.6328794837589282e-08,0.0,100.00000100017206,0.0,0.0,0.0,0.0
3,I1,seidel,candidate,optimal,21.560445200069807,12651.497511132538,,6831.298288039027,3.8607861378608703,4.689245542977005e-07,0.009609524393454194,0.20136714623879323,0.9834135180031982,12,3200,3193,99.99999503753739,99.99999382482123,0.0,2.0828765485703116e-06,1.453755814395663e-06,36.13163978011124,6.975941779785444e-08,99.99999382155447
3,I2,seidel,candidate,optimal,6.189158899942413,11508.334314559457,,7192.367130688724,0.2501023570888634,-9.79558262770297e-06,0.005263711616862565,0.20136714640362996,0.34076673940022645,12,3200,3193,100.0,100.0000008640412,0.0,2.0828765485703116e-06,0.0,4.231610839970372,1.0879084300086106e-09,100.00000059096574
3,I3,seidel,candidate,optimal,10.254986400017515,133221.25137823806,,7214.069747505057,0.03307614796533187,-1.042048643284943e-05,0.01929391868179664,0.20136714717473264,0.600076574042784,12,3200,3193,100.0,100.00000053240969,100.00000099582297,2.0828765485703116e-06,2.086778792431687e-06,3.9745422336521727,3.747915666707513e-08,100.00000053240969
3,I4,seidel,candidate,optimal,9.495580099988729,147062.61725190878,,1.6655669813631096e-06,0.0,-1.0071779797726776e-05,0.023594694735947996,0.20136714642572284,0.660185003445821,12,3200,3193,51.24773680925419,1.1474644307867595e-07,0.0,2.0828765485703116e-06,48.75226319074581,23.923803861563336,0.0,2.846795865707463e-07
4,I1,seidel,candidate,optimal,12.883873800048605,12254.064814972116,,7228.752792263253,8.257470196438135,9.094947017729282e-13,0.003968571429140866,0.20136714624905255,0.8099336204924414,12,3200,3193,99.99999881481595,99.9999981110244,0.0,100.00000099582297,3.7772785645984186e-06,5.6723212341636895,2.6246134154916945e-09,100.00000002282157
4,I2,seidel,candidate,optimal,9.332132900017314,10941.134738225468,,7759.598558077278,2.9490076118397752,5.839938239660114e-07,0.014522220939397812,0.20136714620514545,0.8784162206214374,12,3200,3193,99.99999572812206,99.99999189139574,0.0,100.00000099582297,4.271877941164348e-06,5.937433571083986,9.10748099158809e-09,99.99999095845698
4,I3,seidel,candidate,optimal,30.119743600022048,132627.59190262316,,7807.812847171664,2.4668690488322227,1.7298589227721095e-09,0.005189373739995062,0.20136714632982977,0.9102902938682488,12,3200,3193,99.99999867445071,99.99999748455095,0.0,100.00000099582297,1.3255492916641742e-06,8.257469426371713,2.9528173683956993e-08,99.99999748455095
4,I4,seidel,candidate,optimal,32.06419740000274,153865.74277459178,,8054.498914019249,9.121866213490648e-07,1.420630724169314e-09,0.005731278681196272,0.20136714637381484,0.9607344039585894,12,3200,3193,99.99999462455551,99.99998828954558,99.99999560328811,100.00000099582297,48.75225781530132,8.475503849853979,4.143112874999133e-08,99.99998801070383
5,I1,seidel,candidate,optimal,9.190943399909884,11417.883392686668,,8064.926441918968,3.765878938708056,8.86757334228605e-10,0.003489926049951464,0.2013671462228322,0.7246778468823748,12,3200,3193,99.99999274136538,99.99998537594398,0.0,99.99999965593467,6.073450578014672e-06,3.237538776968009,1.702223428878824e-08,99.99998775897159
5,I2,seidel,candidate,optimal,13.168943800032139,10617.367217522826,,8083.352066424345,3.5816244845505594,8.185452315956354e-12,0.003579388197977096,0.2013671462443145,0.7335526758611303,12,3200,3193,99.99999178956425,99.99998762481489,0.0,99.99999965593467,3.938557810556631e-06,3.586499757804873,1.8594709771946327e-08,99.99998467310031
5,I3,seidel,candidate,optimal,15.511193700018339,132268.9409688651,,8166.46281077489,2.7505250175936737,-8.003553375601768e-11,0.005034186644479632,0.20136714632982985,0.9084371151780035,12,3200,3193,99.99999865603513,99.99999751820282,99.99999965593467,99.99999965593467,1.8415576619190688e-08,4.011034636884787,4.6122039520923863e-10,99.99999460526645
5,I4,seidel,candidate,optimal,17.312628700048663,147062.61728226472,,3.113033905475185e-06,0.0,8.637543942313641e-07,0.0016348367789760232,0.2013671464136499,0.7652891826892475,12,3200,3193,51.329036279287806,6.450480754992977e-08,0.0,99.99999965593467,48.67095834526771,3.765878063307241,0.0,2.863577103031459e-06
